"BusStopKeyName","Days","Time"
"Balneario Thompson","Habiles","05:10:00"
"Balneario Thompson","Habiles","05:31:00"
"Balneario Thompson","Habiles","05:51:00"
"Balneario Thompson","Habiles","06:10:00"
"Balneario Thompson","Habiles","06:24:00"
"Balneario Thompson","Habiles","06:32:00"
"Balneario Thompson","Habiles","06:44:00"
"Balneario Thompson","Habiles","06:57:00"
"Balneario Thompson","Habiles","07:08:00"
"Balneario Thompson","Habiles","07:23:00"
"Balneario Thompson","Habiles","07:36:00"
"Balneario Thompson","Habiles","07:48:00"
"Balneario Thompson","Habiles","08:00:00"
"Balneario Thompson","Habiles","08:12:00"
"Balneario Thompson","Habiles","08:23:00"
"Balneario Thompson","Habiles","08:35:00"
"Balneario Thompson","Habiles","08:47:00"
"Balneario Thompson","Habiles","08:59:00"
"Balneario Thompson","Habiles","09:11:00"
"Balneario Thompson","Habiles","09:23:00"
"Balneario Thompson","Habiles","09:34:00"
"Balneario Thompson","Habiles","09:46:00"
"Balneario Thompson","Habiles","09:58:00"
"Balneario Thompson","Habiles","10:10:00"
"Balneario Thompson","Habiles","10:22:00"
"Balneario Thompson","Habiles","10:33:00"
"Balneario Thompson","Habiles","10:45:00"
"Balneario Thompson","Habiles","10:57:00"
"Balneario Thompson","Habiles","11:09:00"
"Balneario Thompson","Habiles","11:21:00"
"Balneario Thompson","Habiles","11:32:00"
"Balneario Thompson","Habiles","11:44:00"
"Balneario Thompson","Habiles","11:56:00"
"Balneario Thompson","Habiles","12:08:00"
"Balneario Thompson","Habiles","12:20:00"
"Balneario Thompson","Habiles","12:31:00"
"Balneario Thompson","Habiles","12:43:00"
"Balneario Thompson","Habiles","12:55:00"
"Balneario Thompson","Habiles","13:07:00"
"Balneario Thompson","Habiles","13:19:00"
"Balneario Thompson","Habiles","13:27:00"
"Balneario Thompson","Habiles","13:39:00"
"Balneario Thompson","Habiles","13:55:00"
"Balneario Thompson","Habiles","14:11:00"
"Balneario Thompson","Habiles","14:27:00"
"Balneario Thompson","Habiles","14:43:00"
"Balneario Thompson","Habiles","14:59:00"
"Balneario Thompson","Habiles","15:15:00"
"Balneario Thompson","Habiles","15:31:00"
"Balneario Thompson","Habiles","15:50:00"
"Balneario Thompson","Habiles","16:06:00"
"Balneario Thompson","Habiles","16:22:00"
"Balneario Thompson","Habiles","16:37:00"
"Balneario Thompson","Habiles","16:52:00"
"Balneario Thompson","Habiles","17:04:00"
"Balneario Thompson","Habiles","17:16:00"
"Balneario Thompson","Habiles","17:28:00"
"Balneario Thompson","Habiles","17:39:00"
"Balneario Thompson","Habiles","17:51:00"
"Balneario Thompson","Habiles","18:03:00"
"Balneario Thompson","Habiles","18:15:00"
"Balneario Thompson","Habiles","18:27:00"
"Balneario Thompson","Habiles","18:38:00"
"Balneario Thompson","Habiles","18:50:00"
"Balneario Thompson","Habiles","19:02:00"
"Balneario Thompson","Habiles","19:14:00"
"Balneario Thompson","Habiles","19:26:00"
"Balneario Thompson","Habiles","19:37:00"
"Balneario Thompson","Habiles","19:49:00"
"Balneario Thompson","Habiles","20:01:00"
"Balneario Thompson","Habiles","20:12:00"
"Balneario Thompson","Habiles","20:24:00"
"Balneario Thompson","Habiles","20:35:00"
"Balneario Thompson","Habiles","20:47:00"
"Balneario Thompson","Habiles","21:07:00"
"Balneario Thompson","Habiles","21:26:00"
"Balneario Thompson","Habiles","21:50:00"
"Balneario Thompson","Habiles","22:16:00"
"Balneario Thompson","Habiles","22:41:00"
"Balneario Thompson","Habiles","23:13:00"
"Balneario Thompson","Habiles","23:45:00"
"Balneario Thompson","Habiles","00:14:00"
"Balneario Thompson","Habiles","00:39:00"
"ORO VERDE","Habiles","04:52:00"
"ORO VERDE","Habiles","05:12:00"
"ORO VERDE","Habiles","05:30:00"
