"Bus Line","From Direction","To Direction","Direction"
1,"Barrio Policial","Hospital Roballo / Toma Nueva","Ida"
1,"Hospital Roballo Toma Nueva","Barrio Policial","Vuelta"
5,"Barrio AATRA","Calle Croacia (Ex Fabrica Llave)","Ida"
5,"Calle Croacia (Ex Fabrica Llave)","Barrio AATRA","Vuelta"
6,"Oro Verde","Balneario Thompson","Ida"
6,"Balneario Thompson","Oro Verde","Vuelta"
10,"Barrio Santa Lucía","Toma Nueva","Ida"
10,"Toma Nueva","Barrio Santa Lucía","Vuelta"
"11 21","Barrio Santa Lucía / Divina Providencia","La Milagrosa / Barrio Hernandarias","Ida"
"11 21","La Milagrosa / Barrio Hernandarias","Barrio Santa Lucía / Divina Providencia","Vuelta"
15,"Escuela Alberdi / I.N.T.A.","Hospital de Niños","Ida"
15,"Hospital de Niños","Escuela Alberdi / I.N.T.A.","Vuelta"
