"ID","Name","GeoPoint","Address","Lines","Direction"
1,"Oro Verde","-31.826048,-60.522471","Oro Verde",6,"Ida,Vuelta"
2,"Km. 5 1/2","-31.77810,-60.51991","Km. 5 1/2",6,"Ida,Vuelta"
3,"Plaza 1ro de Mayo","-31.73345,-60.53025","San Martin y 25 de Mayo",6,"Ida"
4,"Balneario Thompson","-31.71859,-60.51060","Du Gratty y Soler",6,"Ida,Vuelta"
5,"Av. Americas y M. Lebhenson","-31.76331,-60.52839","Av. Americas y M. Lebhenson",6,"Ida,Vuelta"
6,"Av. Americas y Bv. Racedo","-31.74714,-60.52490","Av. Americas y Bv. Racedo",6,"Ida,Vuelta"
7,"Plaza Alvear","-31.72754, -60.53008","Buenos Aires y Laprida",6,"Vuelta"
8,"Plaza Alberdi","-31.73401, -60.52535","Gral. Urquiza y Arturo Illia",6,"Vuelta"
23,"Seminario","-31.738398,-60.480469","Lopez Jordan y Av. Don Bosco",5,"Ida,Vuelta"
22,"Barrio 41 Viviendas","-31.749615,-60.479988","Bazán y Bustos y Av. Churruarín",5,"Ida,Vuelta"
9,"Barrio AATRA","-31.73672, -60.49085","Don Bosco y F. Beiro",5,"Ida,Vuelta"
10,"Don Bosco y Rondeau","-31.73557, -60.49884","Don Bosco y Rondeau",5,"Ida,Vuelta"
11,"Alte. Brown y P. Grella","-31.73884, -60.50894","Alte. Brown y P. Grella",5,"Ida,Vuelta"
12,"5 Esquinas","-31.74227, -60.51894","Gualeguaychu y Av. Ramirez",5,"Ida,Vuelta"
13,"Plaza 1ro de Mayo","-31.73433, -60.53004","Monte Caseros y 25 de Mayo",5,"Vuelta"
14,"Cervantes y Cordoba","-31.72886, -60.53306","Cervantes y Cordoba",5,"Vuelta"
15,"WalMart","-31.72196, -60.54647","Larramendi y A. Medina",5,"Ida,Vuelta"
16,"Bajada Grande","-31.70603, -60.56626","Estrada y Croacia",5,"Ida,Vuelta"
19,"Casa de Gobierno","-31.72750, -60.53246","Laprida y Córdoba",5,"Vuelta"
17,"B. Mitre y S. del Estero","-31.72013, -60.53295","B. Mitre y S. del Estero",1,"Vuelta"
18,"Tucumán y Malvinas","-31.72254, -60.53201","Tucumán y Malvinas",1,"Vuelta"
30,"Barrio Policial","-31.75204, -60.48560","Quinquela Martin y Astomi",1,"Ida,Vuelta"
31,"Churruarin y Rondeau","-31.74517, -60.50094","Churruarin y Rondeau",1,"Ida,Vuelta"
32,"5 Esquinas","-31.74111, -60.51764","Urdinarrain y Av. Ramírez",1,"Ida"
33,"Plaza 1ro de Mayo","-31.73348, -60.53025","25 de Mayo y Montecaseros",1,"Ida"
34,"Hospital Roballos / Toma Nueva","-31.71166, -60.49362","Rondeau y J. Jozami",1,"Ida,Vuelta"
35,"Plaza Alvear","-31.72747, -60.53012","Buenos Aires y Laprida",1,"Vuelta"
20,"Antonio Crespo y Av. Ramirez","-31.72354, -60.51298","Antonio Crespo y Av. Ramirez",10,"Ida,Vuelta"
21,"Barrio Hernandarias","-31.72790, -60.49155","Blas Pareras",10,"Ida,Vuelta"
36,"Barrio Santa Lucía","-31.77221, -60.51875","División Los Andes y Jorge Newbery",10,"Ida,Vuelta"
37,"Av. Americas y Bv. Racedo","-31.74684, -60.52493","Av. Americas y Bv. Racedo",10,"Ida"
38,"Plaza 1ro de Mayo","-31.73340, -60.53021","Monte Caseros y 25 de Mayo",10,"Ida"
39,"Toma Vieja","-31.70383, -60.48328","Blas Pareras",10,"Ida,Vuelta"
40,"Toma Nueva","-31.71151, -60.49352","Rondeau y J. Jozami",10,"Ida,Vuelta"
41,"Plaza Alvear","-31.72756, -60.53019","Buenos Aires y Laprida",10,"Vuelta"
24,"Barrio A.S.S.V.E.R.","-31.77493, -60.51272","-",10,"Ida,Vuelta"
42,"Av. Américas y Lebhenson","-31.763160, -60.52851","Av. Américas y Lebhenson","11-21","Ida"
43,"Monte Caseros y Alem","-31.73501, -60.53019","Monte Caseros y Alem","11-21","Ida"
44,"5 Esquinas","-31.74205, -60.51924","Gualeguaychu y Av. Ramirez","11-21","Ida"
45,"Barrio Hernandarias","-31.72643, -60.48841","Blas Pareras","11-21","Ida,Vuelta"
46,"Barrio La Milagrosa","-31.75351, -60.49463","El Talar y Los Naranjos","11-21","Ida,Vuelta"
47,"Barrio Santa Lucia","-31.77150, -60.51872","Division Los Andes y Jorge Newbery","11-21","Ida,Vuelta"
48,"Barrio Divina Providencia","-31.77530, -60.54892","Barrio Divina Providencia","11-21","Ida,Vuelta"
49,"Terminal de Omnibus","-31.738035, -60.51804","25 de Mayo y Av. Ramírez","11-21","Vuelta"
50,"Plaza 1ro de Mayo","-31.733436, -60.530275","25 de Mayo y San Martín","11-21","Vuelta"
51,"Plaza Alvear","-31.727764, -60.530082","Buenos Aires y Laprida","11-21","Vuelta"
52,"Cementerio Solar del Rio","-31.77646, -60.5549","Cementerio Solar del Rio","11-21","Ida,Vuelta"
53,"Escuela Alberdi","-31.84081, -60.51725","Escuela Alberdi",15,"Ida,Vuelta"
54,"Facultad de Informática","-31.83348, -60.52150","Facultad de Informática",15,"Ida,Vuelta"
55,"Terminal de Omnibus","-31.73975, -60.51740","Av. Ramirez y Saravi",15,"Ida"
56,"Hospital de Niños","-31.73032, -60.52220","La Rioja y La Paz",15,"Ida"
57,"I.N.T.A","-31.84488, -60.5415","I.N.T.A",15,"Ida,Vuelta"
58,"Plaza Alberdi","-31.73401, -60.52535","Gral. Urquiza y Arturo Illia",15,"Vuelta"
