BusStop Name (ignored),BusStop ID,Line,Days,Time,Comment,Direction
Av. Américas y Lebhenson,42,1121,Domingos,06:12:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,06:38:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,07:05:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,07:32:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,07:59:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,08:26:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,08:53:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,09:20:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,09:47:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,10:14:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,10:41:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,11:08:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,11:35:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,12:02:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,12:29:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,12:56:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,13:23:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,13:50:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,14:17:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,14:44:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,15:11:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,15:38:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,16:05:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,16:32:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,16:59:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,17:26:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,17:53:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,18:20:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,18:47:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,19:14:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,19:41:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,20:09:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,20:39:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,21:07:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,21:37:00,,Ida
Av. Américas y Lebhenson,42,1121,Domingos,22:07:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,06:23:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,06:49:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,07:16:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,07:43:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,08:10:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,08:37:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,09:04:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,09:31:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,09:58:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,10:25:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,10:52:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,11:19:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,11:46:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,12:13:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,12:40:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,13:07:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,13:34:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,14:01:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,14:28:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,14:55:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,15:22:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,15:49:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,16:16:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,16:43:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,17:10:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,17:37:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,18:04:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,18:31:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,18:58:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,19:25:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,19:52:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,20:20:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,20:50:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,21:18:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,21:48:00,,Ida
Monte Caseros y Alem,43,1121,Domingos,22:18:00,,Ida
5 Esquinas,44,1121,Domingos,06:37:00,,Ida
5 Esquinas,44,1121,Domingos,07:03:00,,Ida
5 Esquinas,44,1121,Domingos,07:30:00,,Ida
5 Esquinas,44,1121,Domingos,07:57:00,,Ida
5 Esquinas,44,1121,Domingos,08:24:00,,Ida
5 Esquinas,44,1121,Domingos,08:51:00,,Ida
5 Esquinas,44,1121,Domingos,09:18:00,,Ida
5 Esquinas,44,1121,Domingos,09:45:00,,Ida
5 Esquinas,44,1121,Domingos,10:12:00,,Ida
5 Esquinas,44,1121,Domingos,10:39:00,,Ida
5 Esquinas,44,1121,Domingos,11:06:00,,Ida
5 Esquinas,44,1121,Domingos,11:33:00,,Ida
5 Esquinas,44,1121,Domingos,12:00:00,,Ida
5 Esquinas,44,1121,Domingos,12:27:00,,Ida
5 Esquinas,44,1121,Domingos,12:54:00,,Ida
5 Esquinas,44,1121,Domingos,13:21:00,,Ida
5 Esquinas,44,1121,Domingos,13:48:00,,Ida
5 Esquinas,44,1121,Domingos,14:15:00,,Ida
5 Esquinas,44,1121,Domingos,14:42:00,,Ida
5 Esquinas,44,1121,Domingos,15:09:00,,Ida
5 Esquinas,44,1121,Domingos,15:36:00,,Ida
5 Esquinas,44,1121,Domingos,16:03:00,,Ida
5 Esquinas,44,1121,Domingos,16:30:00,,Ida
5 Esquinas,44,1121,Domingos,16:57:00,,Ida
5 Esquinas,44,1121,Domingos,17:24:00,,Ida
5 Esquinas,44,1121,Domingos,17:51:00,,Ida
5 Esquinas,44,1121,Domingos,18:18:00,,Ida
5 Esquinas,44,1121,Domingos,18:45:00,,Ida
5 Esquinas,44,1121,Domingos,19:12:00,,Ida
5 Esquinas,44,1121,Domingos,19:39:00,,Ida
5 Esquinas,44,1121,Domingos,20:06:00,,Ida
5 Esquinas,44,1121,Domingos,20:34:00,,Ida
5 Esquinas,44,1121,Domingos,21:04:00,,Ida
5 Esquinas,44,1121,Domingos,21:32:00,,Ida
5 Esquinas,44,1121,Domingos,22:02:00,,Ida
5 Esquinas,44,1121,Domingos,22:32:00,,Ida
Barrio Hernandarias,45,1121,Domingos,06:50:00,,Ida
Barrio Hernandarias,45,1121,Domingos,07:43:00,,Ida
Barrio Hernandarias,45,1121,Domingos,08:37:00,,Ida
Barrio Hernandarias,45,1121,Domingos,09:31:00,,Ida
Barrio Hernandarias,45,1121,Domingos,10:25:00,,Ida
Barrio Hernandarias,45,1121,Domingos,11:19:00,,Ida
Barrio Hernandarias,45,1121,Domingos,12:13:00,,Ida
Barrio Hernandarias,45,1121,Domingos,13:07:00,,Ida
Barrio Hernandarias,45,1121,Domingos,14:01:00,,Ida
Barrio Hernandarias,45,1121,Domingos,14:55:00,,Ida
Barrio Hernandarias,45,1121,Domingos,15:49:00,,Ida
Barrio Hernandarias,45,1121,Domingos,16:43:00,,Ida
Barrio Hernandarias,45,1121,Domingos,17:37:00,,Ida
Barrio Hernandarias,45,1121,Domingos,18:31:00,,Ida
Barrio Hernandarias,45,1121,Domingos,19:25:00,,Ida
Barrio Hernandarias,45,1121,Domingos,20:19:00,,Ida
Barrio Hernandarias,45,1121,Domingos,21:17:00,,Ida
Barrio Hernandarias,45,1121,Domingos,22:15:00,,Ida
Barrio La Milagrosa,46,1121,Domingos,07:16:00,,Ida
Barrio La Milagrosa,46,1121,Domingos,08:10:00,,Ida
Barrio La Milagrosa,46,1121,Domingos,09:04:00,,Ida
Barrio La Milagrosa,46,1121,Domingos,09:58:00,,Ida
Barrio La Milagrosa,46,1121,Domingos,10:52:00,,Ida
Barrio La Milagrosa,46,1121,Domingos,11:46:00,,Ida
Barrio La Milagrosa,46,1121,Domingos,12:40:00,,Ida
Barrio La Milagrosa,46,1121,Domingos,13:34:00,,Ida
Barrio La Milagrosa,46,1121,Domingos,14:28:00,,Ida
Barrio La Milagrosa,46,1121,Domingos,15:22:00,,Ida
Barrio La Milagrosa,46,1121,Domingos,16:16:00,,Ida
Barrio La Milagrosa,46,1121,Domingos,17:10:00,,Ida
Barrio La Milagrosa,46,1121,Domingos,18:04:00,,Ida
Barrio La Milagrosa,46,1121,Domingos,18:58:00,,Ida
Barrio La Milagrosa,46,1121,Domingos,19:52:00,,Ida
Barrio La Milagrosa,46,1121,Domingos,20:47:00,,Ida
Barrio La Milagrosa,46,1121,Domingos,21:45:00,,Ida
Barrio La Milagrosa,46,1121,Domingos,22:45:00,,Ida
Santa Lucia,47,1121,Domingos,06:31:00,,Ida
Santa Lucia,47,1121,Domingos,07:25:00,,Ida
Santa Lucia,47,1121,Domingos,08:19:00,,Ida
Santa Lucia,47,1121,Domingos,09:13:00,,Ida
Santa Lucia,47,1121,Domingos,10:07:00,,Ida
Santa Lucia,47,1121,Domingos,11:01:00,,Ida
Santa Lucia,47,1121,Domingos,11:55:00,,Ida
Santa Lucia,47,1121,Domingos,12:49:00,,Ida
Santa Lucia,47,1121,Domingos,13:43:00,,Ida
Santa Lucia,47,1121,Domingos,14:37:00,,Ida
Santa Lucia,47,1121,Domingos,15:31:00,,Ida
Santa Lucia,47,1121,Domingos,16:25:00,,Ida
Santa Lucia,47,1121,Domingos,17:19:00,,Ida
Santa Lucia,47,1121,Domingos,18:13:00,,Ida
Santa Lucia,47,1121,Domingos,19:07:00,,Ida
Santa Lucia,47,1121,Domingos,20:02:00,,Ida
Santa Lucia,47,1121,Domingos,21:00:00,,Ida
Santa Lucia,47,1121,Domingos,21:30:00,,Ida
 Divina Providencia,48,1121,Domingos,06:05:00,,Ida
 Divina Providencia,48,1121,Domingos,06:58:00,,Ida
 Divina Providencia,48,1121,Domingos,07:52:00,,Ida
 Divina Providencia,48,1121,Domingos,08:46:00,,Ida
 Divina Providencia,48,1121,Domingos,10:34:00,,Ida
 Divina Providencia,48,1121,Domingos,12:22:00,,Ida
 Divina Providencia,48,1121,Domingos,13:16:00,,Ida
 Divina Providencia,48,1121,Domingos,14:10:00,,Ida
 Divina Providencia,48,1121,Domingos,15:04:00,,Ida
 Divina Providencia,48,1121,Domingos,16:52:00,,Ida
 Divina Providencia,48,1121,Domingos,18:40:00,,Ida
 Divina Providencia,48,1121,Domingos,19:34:00,,Ida
 Divina Providencia,48,1121,Domingos,20:32:00,,Ida
 Divina Providencia,48,1121,Domingos,22:00:00,,Ida
Cementerio Solar del Rio,52,1121,Domingos,09:37:00,,Ida
Cementerio Solar del Rio,52,1121,Domingos,11:25:00,,Ida
Cementerio Solar del Rio,52,1121,Domingos,15:55:00,,Ida
Cementerio Solar del Rio,52,1121,Domingos,17:43:00,,Ida
