BusStop Name (ignored),BusStop ID,Line,Days,Time,Comment,Direction
Av. Américas y Lebhenson,42,1121,Sabados,05:24:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,05:37:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,05:52:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,06:07:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,06:22:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,06:37:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,06:52:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,07:07:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,07:23:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,07:38:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,07:53:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,08:08:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,08:23:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,08:38:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,08:53:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,09:08:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,09:23:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,09:38:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,09:53:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,10:08:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,10:23:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,10:38:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,10:53:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,11:08:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,11:23:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,11:38:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,11:53:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,12:08:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,12:23:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,12:38:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,12:53:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,13:08:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,13:23:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,13:38:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,13:53:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,14:08:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,14:23:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,14:38:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,14:53:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,15:08:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,15:23:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,15:38:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,15:53:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,16:08:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,16:23:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,16:38:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,16:53:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,17:08:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,17:23:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,17:38:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,17:53:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,18:08:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,18:23:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,18:38:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,18:53:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,19:08:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,19:23:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,19:38:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,19:53:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,20:10:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,20:28:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,20:47:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,21:07:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,21:27:00,,Ida
Av. Américas y Lebhenson,42,1121,Sabados,21:47:00,,Ida
Monte Caseros y Alem,43,1121,Sabados,05:35:00,,Ida
Monte Caseros y Alem,43,1121,Sabados,05:48:00,,Ida
Monte Caseros y Alem,43,1121,Sabados,06:03:00,,Ida
Monte Caseros y Alem,43,1121,Sabados,06:18:00,,Ida
Monte Caseros y Alem,43,1121,Sabados,06:33:00,,Ida
