BusStop Name (ignored),BusStop ID,Line,Days,Time,Comment,Direction
"(3) a Esc. Alberdi
",53,15,Sabados,6:20:00,,Vuelta
"(3) a Esc. Alberdi
",53,15,Sabados,7:50:00,,Vuelta
"(3) a Esc. Alberdi
",53,15,Sabados,9:20:00,,Vuelta
"(3) a Esc. Alberdi
",53,15,Sabados,10:50:00,,Vuelta
"(3) a Esc. Alberdi
",53,15,Sabados,12:20:00,,Vuelta
"(3) a Esc. Alberdi
",53,15,Sabados,13:50:00,,Vuelta
"(3) a Esc. Alberdi
",53,15,Sabados,15:20:00,,Vuelta
"(3) a Esc. Alberdi
",53,15,Sabados,16:50:00,,Vuelta
"(3) a Esc. Alberdi
",53,15,Sabados,18:20:00,,Vuelta
"(3) a Esc. Alberdi
",53,15,Sabados,19:50:00,,Vuelta
"(3) a Esc. Alberdi
",53,15,Sabados,21:20:00,,Vuelta
Facultad de Informática,54,15,Sabados,06:16:00,,Vuelta
Facultad de Informática,54,15,Sabados,06:57:00,7:01 (4),Vuelta
Facultad de Informática,54,15,Sabados,07:46:00,,Vuelta
Facultad de Informática,54,15,Sabados,08:31:00,8:35 (4),Vuelta
Facultad de Informática,54,15,Sabados,09:16:00,,Vuelta
Facultad de Informática,54,15,Sabados,10:01:00,10:05 (4),Vuelta
Facultad de Informática,54,15,Sabados,10:46:00,,Vuelta
Facultad de Informática,54,15,Sabados,11:31:00,11:35 (4),Vuelta
Facultad de Informática,54,15,Sabados,12:16:00,,Vuelta
Facultad de Informática,54,15,Sabados,13:01:00,13:05 (4),Vuelta
Facultad de Informática,54,15,Sabados,13:46:00,,Vuelta
Facultad de Informática,54,15,Sabados,14:31:00,14:35 (4),Vuelta
Facultad de Informática,54,15,Sabados,15:16:00,,Vuelta
Facultad de Informática,54,15,Sabados,16:01:00,16:05 (4),Vuelta
Facultad de Informática,54,15,Sabados,16:46:00,,Vuelta
Facultad de Informática,54,15,Sabados,17:31:00,17:35 (4),Vuelta
Facultad de Informática,54,15,Sabados,18:16:00,,Vuelta
Facultad de Informática,54,15,Sabados,19:01:00,19:05 (4),Vuelta
Facultad de Informática,54,15,Sabados,19:46:00,,Vuelta
Facultad de Informática,54,15,Sabados,20:31:00,20:35 (4),Vuelta
Facultad de Informática,54,15,Sabados,21:16:00,,Vuelta
Facultad de Informática,54,15,Sabados,21:47:00,21:51 (4),Vuelta
Plaza Alberdi,58,15,Sabados,05:50:00,,Vuelta
Plaza Alberdi,58,15,Sabados,06:31:00,7:01 (4),Vuelta
Plaza Alberdi,58,15,Sabados,07:20:00,,Vuelta
Plaza Alberdi,58,15,Sabados,08:03:00,8:35 (4),Vuelta
Plaza Alberdi,58,15,Sabados,08:48:00,,Vuelta
Plaza Alberdi,58,15,Sabados,09:33:00,10:05 (4),Vuelta
Plaza Alberdi,58,15,Sabados,10:18:00,,Vuelta
Plaza Alberdi,58,15,Sabados,11:03:00,11:35 (4),Vuelta
Plaza Alberdi,58,15,Sabados,11:48:00,,Vuelta
Plaza Alberdi,58,15,Sabados,12:33:00,13:05 (4),Vuelta
Plaza Alberdi,58,15,Sabados,13:18:00,,Vuelta
Plaza Alberdi,58,15,Sabados,14:03:00,14:35 (4),Vuelta
Plaza Alberdi,58,15,Sabados,14:48:00,,Vuelta
Plaza Alberdi,58,15,Sabados,15:33:00,16:05 (4),Vuelta
Plaza Alberdi,58,15,Sabados,16:18:00,,Vuelta
Plaza Alberdi,58,15,Sabados,17:03:00,17:35 (4),Vuelta
Plaza Alberdi,58,15,Sabados,17:48:00,,Vuelta
Plaza Alberdi,58,15,Sabados,18:33:00,19:05 (4),Vuelta
Plaza Alberdi,58,15,Sabados,19:18:00,,Vuelta
Plaza Alberdi,58,15,Sabados,20:03:00,20:35 (4),Vuelta
Plaza Alberdi,58,15,Sabados,20:48:00,,Vuelta
Plaza Alberdi,58,15,Sabados,21:22:00,21:51 (4),Vuelta
Plaza Alberdi,58,15,Sabados,22:07:00,,Vuelta
