"BusStop Name (ignored)","BusStop ID","Line","Days","Time","Comment","Direction"
"Barrio Policial",30,1,"Domingos",5:25:00,,"Ida"
"Barrio Policial",30,1,"Domingos",5:45:00,,"Ida"
"Barrio Policial",30,1,"Domingos",6:04:00,,"Ida"
"Barrio Policial",30,1,"Domingos",6:22:00,,"Ida"
"Barrio Policial",30,1,"Domingos",6:40:00,,"Ida"
"Barrio Policial",30,1,"Domingos",6:57:00,,"Ida"
"Barrio Policial",30,1,"Domingos",7:13:00,,"Ida"
"Barrio Policial",30,1,"Domingos",7:29:00,,"Ida"
"Barrio Policial",30,1,"Domingos",7:44:00,,"Ida"
"Barrio Policial",30,1,"Domingos",7:58:00,,"Ida"
"Barrio Policial",30,1,"Domingos",8:13:00,,"Ida"
"Barrio Policial",30,1,"Domingos",8:28:00,,"Ida"
"Barrio Policial",30,1,"Domingos",8:41:00,,"Ida"
"Barrio Policial",30,1,"Domingos",8:56:00,,"Ida"
"Barrio Policial",30,1,"Domingos",9:12:00,,"Ida"
"Barrio Policial",30,1,"Domingos",9:28:00,,"Ida"
"Barrio Policial",30,1,"Domingos",9:44:00,,"Ida"
"Barrio Policial",30,1,"Domingos",10:00:00,,"Ida"
"Barrio Policial",30,1,"Domingos",10:17:00,,"Ida"
"Barrio Policial",30,1,"Domingos",10:33:00,,"Ida"
"Barrio Policial",30,1,"Domingos",10:49:00,,"Ida"
"Barrio Policial",30,1,"Domingos",11:06:00,,"Ida"
"Barrio Policial",30,1,"Domingos",11:23:00,,"Ida"
"Barrio Policial",30,1,"Domingos",11:39:00,,"Ida"
"Barrio Policial",30,1,"Domingos",11:56:00,,"Ida"
"Barrio Policial",30,1,"Domingos",12:12:00,,"Ida"
"Barrio Policial",30,1,"Domingos",12:28:00,,"Ida"
"Barrio Policial",30,1,"Domingos",12:51:00,,"Ida"
"Barrio Policial",30,1,"Domingos",13:14:00,,"Ida"
"Barrio Policial",30,1,"Domingos",13:37:00,,"Ida"
"Barrio Policial",30,1,"Domingos",14:00:00,,"Ida"
"Barrio Policial",30,1,"Domingos",14:23:00,,"Ida"
