BusStop Name (ignored),BusStop ID,Line,Days,Time,Comment,Direction
Barrio Policial,30,1,Domingos,06:32:00,,Vuelta
Barrio Policial,30,1,Domingos,07:05:00,,Vuelta
Barrio Policial,30,1,Domingos,07:25:00,,Vuelta
Barrio Policial,30,1,Domingos,07:45:00,,Vuelta
Barrio Policial,30,1,Domingos,08:04:00,,Vuelta
Barrio Policial,30,1,Domingos,08:21:00,,Vuelta
Barrio Policial,30,1,Domingos,08:38:00,,Vuelta
Barrio Policial,30,1,Domingos,08:55:00,,Vuelta
Barrio Policial,30,1,Domingos,09:12:00,,Vuelta
Barrio Policial,30,1,Domingos,09:29:00,,Vuelta
Barrio Policial,30,1,Domingos,09:46:00,,Vuelta
Barrio Policial,30,1,Domingos,10:02:00,,Vuelta
Barrio Policial,30,1,Domingos,10:18:00,,Vuelta
Barrio Policial,30,1,Domingos,10:34:00,,Vuelta
Barrio Policial,30,1,Domingos,10:51:00,,Vuelta
Barrio Policial,30,1,Domingos,11:08:00,,Vuelta
Barrio Policial,30,1,Domingos,11:24:00,,Vuelta
Barrio Policial,30,1,Domingos,11:41:00,,Vuelta
Barrio Policial,30,1,Domingos,11:57:00,,Vuelta
Barrio Policial,30,1,Domingos,12:13:00,,Vuelta
Barrio Policial,30,1,Domingos,12:30:00,,Vuelta
Barrio Policial,30,1,Domingos,12:47:00,,Vuelta
Barrio Policial,30,1,Domingos,13:04:00,,Vuelta
Barrio Policial,30,1,Domingos,13:20:00,,Vuelta
Barrio Policial,30,1,Domingos,13:36:00,,Vuelta
Barrio Policial,30,1,Domingos,13:53:00,,Vuelta
Barrio Policial,30,1,Domingos,14:08:00,,Vuelta
Barrio Policial,30,1,Domingos,14:30:00,,Vuelta
Barrio Policial,30,1,Domingos,14:53:00,,Vuelta
Barrio Policial,30,1,Domingos,15:16:00,,Vuelta
Barrio Policial,30,1,Domingos,15:39:00,,Vuelta
Barrio Policial,30,1,Domingos,16:02:00,,Vuelta
Barrio Policial,30,1,Domingos,16:25:00,,Vuelta
Barrio Policial,30,1,Domingos,16:48:00,,Vuelta
Barrio Policial,30,1,Domingos,17:11:00,,Vuelta
Barrio Policial,30,1,Domingos,17:34:00,,Vuelta
Barrio Policial,30,1,Domingos,17:50:00,,Vuelta
Barrio Policial,30,1,Domingos,18:04:00,,Vuelta
Barrio Policial,30,1,Domingos,18:17:00,,Vuelta
Barrio Policial,30,1,Domingos,18:30:00,,Vuelta
Barrio Policial,30,1,Domingos,18:43:00,,Vuelta
Barrio Policial,30,1,Domingos,18:56:00,,Vuelta
Barrio Policial,30,1,Domingos,19:09:00,,Vuelta
Barrio Policial,30,1,Domingos,19:22:00,,Vuelta
Barrio Policial,30,1,Domingos,19:35:00,,Vuelta
Barrio Policial,30,1,Domingos,19:48:00,,Vuelta
Barrio Policial,30,1,Domingos,20:01:00,,Vuelta
Barrio Policial,30,1,Domingos,20:14:00,,Vuelta
Barrio Policial,30,1,Domingos,20:27:00,,Vuelta
Barrio Policial,30,1,Domingos,20:41:00,,Vuelta
Barrio Policial,30,1,Domingos,20:55:00,,Vuelta
Barrio Policial,30,1,Domingos,21:09:00,,Vuelta
Barrio Policial,30,1,Domingos,21:23:00,,Vuelta
Barrio Policial,30,1,Domingos,21:37:00,,Vuelta
Barrio Policial,30,1,Domingos,21:51:00,,Vuelta
Barrio Policial,30,1,Domingos,22:06:00,,Vuelta
Barrio Policial,30,1,Domingos,22:21:00,,Vuelta
Barrio Policial,30,1,Domingos,22:38:00,,Vuelta
Barrio Policial,30,1,Domingos,22:55:00,,Vuelta
Barrio Policial,30,1,Domingos,23:13:00,,Vuelta
Barrio Policial,30,1,Domingos,23:34:00,,Vuelta
Barrio Policial,30,1,Domingos,23:49:00,,Vuelta
Barrio Policial,30,1,Domingos,00:14:00,,Vuelta
Barrio Policial,30,1,Domingos,00:39:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,06:23:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,06:56:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,07:16:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,07:36:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,07:55:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,08:12:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,08:29:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,08:46:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,09:03:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,09:20:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,09:36:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,09:51:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,10:06:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,10:22:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,10:39:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,10:56:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,11:12:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,11:29:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,11:45:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,12:01:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,12:18:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,12:35:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,12:52:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,13:08:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,13:24:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,13:41:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,13:56:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,14:18:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,14:41:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,15:04:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,15:27:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,15:50:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,16:13:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,16:36:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,16:59:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,17:22:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,17:38:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,17:52:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,18:05:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,18:18:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,18:31:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,18:44:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,18:57:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,19:10:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,19:23:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,19:36:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,19:49:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,20:02:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,20:15:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,20:29:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,20:43:00,,Vuelta
Churruarin y Rondeau,31,1,Domingos,20:57:00,,Vuelta
