BusStop Name (ignored),BusStop ID,Line,Days,Time,Comment,Direction
Barrio Policial,30,1,Habiles,05:55:00,,Vuelta
Barrio Policial,30,1,Habiles,06:12:00,,Vuelta
Barrio Policial,30,1,Habiles,06:22:00,,Vuelta
Barrio Policial,30,1,Habiles,06:34:00,,Vuelta
Barrio Policial,30,1,Habiles,06:42:00,,Vuelta
Barrio Policial,30,1,Habiles,06:47:00,,Vuelta
Barrio Policial,30,1,Habiles,07:04:00,,Vuelta
Barrio Policial,30,1,Habiles,07:11:00,,Vuelta
Barrio Policial,30,1,Habiles,07:17:00,,Vuelta
Barrio Policial,30,1,Habiles,07:27:00,,Vuelta
Barrio Policial,30,1,Habiles,07:29:00,,Vuelta
Barrio Policial,30,1,Habiles,07:36:00,,Vuelta
Barrio Policial,30,1,Habiles,07:45:00,,Vuelta
Barrio Policial,30,1,Habiles,07:52:00,,Vuelta
Barrio Policial,30,1,Habiles,07:57:00,,Vuelta
Barrio Policial,30,1,Habiles,08:04:00,,Vuelta
Barrio Policial,30,1,Habiles,08:10:00,,Vuelta
Barrio Policial,30,1,Habiles,08:19:00,,Vuelta
Barrio Policial,30,1,Habiles,08:22:00,,Vuelta
Barrio Policial,30,1,Habiles,08:28:00,,Vuelta
Barrio Policial,30,1,Habiles,08:35:00,,Vuelta
Barrio Policial,30,1,Habiles,08:43:00,,Vuelta
Barrio Policial,30,1,Habiles,08:46:00,,Vuelta
Barrio Policial,30,1,Habiles,08:52:00,,Vuelta
Barrio Policial,30,1,Habiles,08:58:00,,Vuelta
Barrio Policial,30,1,Habiles,09:06:00,,Vuelta
Barrio Policial,30,1,Habiles,09:10:00,,Vuelta
Barrio Policial,30,1,Habiles,09:17:00,,Vuelta
Barrio Policial,30,1,Habiles,09:24:00,,Vuelta
Barrio Policial,30,1,Habiles,09:32:00,,Vuelta
Barrio Policial,30,1,Habiles,09:36:00,,Vuelta
Barrio Policial,30,1,Habiles,09:42:00,,Vuelta
Barrio Policial,30,1,Habiles,09:48:00,,Vuelta
Barrio Policial,30,1,Habiles,09:56:00,,Vuelta
Barrio Policial,30,1,Habiles,10:00:00,,Vuelta
Barrio Policial,30,1,Habiles,10:06:00,,Vuelta
Barrio Policial,30,1,Habiles,10:12:00,,Vuelta
Barrio Policial,30,1,Habiles,10:20:00,,Vuelta
Barrio Policial,30,1,Habiles,10:24:00,,Vuelta
Barrio Policial,30,1,Habiles,10:30:00,,Vuelta
Barrio Policial,30,1,Habiles,10:36:00,,Vuelta
Barrio Policial,30,1,Habiles,10:44:00,,Vuelta
Barrio Policial,30,1,Habiles,10:48:00,,Vuelta
Barrio Policial,30,1,Habiles,10:54:00,,Vuelta
Barrio Policial,30,1,Habiles,11:00:00,,Vuelta
Barrio Policial,30,1,Habiles,11:08:00,,Vuelta
Barrio Policial,30,1,Habiles,11:12:00,,Vuelta
Barrio Policial,30,1,Habiles,11:18:00,,Vuelta
Barrio Policial,30,1,Habiles,11:24:00,,Vuelta
Barrio Policial,30,1,Habiles,11:32:00,,Vuelta
Barrio Policial,30,1,Habiles,11:36:00,,Vuelta
Barrio Policial,30,1,Habiles,11:42:00,,Vuelta
Barrio Policial,30,1,Habiles,11:48:00,,Vuelta
Barrio Policial,30,1,Habiles,11:56:00,,Vuelta
Barrio Policial,30,1,Habiles,12:00:00,,Vuelta
Barrio Policial,30,1,Habiles,12:06:00,,Vuelta
Barrio Policial,30,1,Habiles,12:12:00,,Vuelta
Barrio Policial,30,1,Habiles,12:20:00,,Vuelta
Barrio Policial,30,1,Habiles,12:24:00,,Vuelta
Barrio Policial,30,1,Habiles,12:30:00,,Vuelta
Barrio Policial,30,1,Habiles,12:36:00,,Vuelta
Barrio Policial,30,1,Habiles,12:44:00,,Vuelta
Barrio Policial,30,1,Habiles,12:48:00,,Vuelta
Barrio Policial,30,1,Habiles,12:54:00,,Vuelta
