BusStop Name (ignored),BusStop ID,Line,Days,Time,Comment,Direction
SALE DE P. INDUSTRIAL,25,22bis,Habiles,05:15:00,,Ida
SALE DE P. INDUSTRIAL,25,22bis,Habiles,06:12:00,,Ida
SALE DE P. INDUSTRIAL,25,22bis,Habiles,07:15:00,,Ida
SALE DE P. INDUSTRIAL,25,22bis,Habiles,08:14:00,,Ida
SALE DE P. INDUSTRIAL,25,22bis,Habiles,09:13:00,,Ida
SALE DE P. INDUSTRIAL,25,22bis,Habiles,10:18:00,,Ida
SALE DE P. INDUSTRIAL,25,22bis,Habiles,11:15:00,,Ida
SALE DE P. INDUSTRIAL,25,22bis,Habiles,12:11:00,,Ida
SALE DE P. INDUSTRIAL,25,22bis,Habiles,13:11:00,,Ida
SALE DE P. INDUSTRIAL,25,22bis,Habiles,14:15:00,,Ida
SALE DE P. INDUSTRIAL,25,22bis,Habiles,15:19:00,,Ida
SALE DE P. INDUSTRIAL,25,22bis,Habiles,16:18:00,,Ida
SALE DE P. INDUSTRIAL,25,22bis,Habiles,17:10:00,,Ida
SALE DE P. INDUSTRIAL,25,22bis,Habiles,18:17:00,,Ida
SALE DE P. INDUSTRIAL,25,22bis,Habiles,19:13:00,,Ida
SALE DE P. INDUSTRIAL,25,22bis,Habiles,20:21:00,,Ida
ALMAFUERTE Y AV. ZANNI,26,22bis,Habiles,05:41:00,,Ida
ALMAFUERTE Y AV. ZANNI,26,22bis,Habiles,06:38:00,,Ida
ALMAFUERTE Y AV. ZANNI,26,22bis,Habiles,07:41:00,,Ida
ALMAFUERTE Y AV. ZANNI,26,22bis,Habiles,08:40:00,,Ida
ALMAFUERTE Y AV. ZANNI,26,22bis,Habiles,09:39:00,,Ida
ALMAFUERTE Y AV. ZANNI,26,22bis,Habiles,10:44:00,,Ida
ALMAFUERTE Y AV. ZANNI,26,22bis,Habiles,11:41:00,,Ida
ALMAFUERTE Y AV. ZANNI,26,22bis,Habiles,12:37:00,,Ida
ALMAFUERTE Y AV. ZANNI,26,22bis,Habiles,13:37:00,,Ida
ALMAFUERTE Y AV. ZANNI,26,22bis,Habiles,14:41:00,,Ida
ALMAFUERTE Y AV. ZANNI,26,22bis,Habiles,15:45:00,,Ida
ALMAFUERTE Y AV. ZANNI,26,22bis,Habiles,16:44:00,,Ida
ALMAFUERTE Y AV. ZANNI,26,22bis,Habiles,17:36:00,,Ida
ALMAFUERTE Y AV. ZANNI,26,22bis,Habiles,18:43:00,,Ida
ALMAFUERTE Y AV. ZANNI,26,22bis,Habiles,19:38:00,,Ida
ALMAFUERTE Y AV. ZANNI,26,22bis,Habiles,20:46:00,,Ida
CINCO ESQUINAS,27,22bis,Habiles,05:50:00,,Ida
CINCO ESQUINAS,27,22bis,Habiles,06:47:00,,Ida
CINCO ESQUINAS,27,22bis,Habiles,07:50:00,,Ida
CINCO ESQUINAS,27,22bis,Habiles,08:49:00,,Ida
CINCO ESQUINAS,27,22bis,Habiles,09:48:00,,Ida
CINCO ESQUINAS,27,22bis,Habiles,10:53:00,,Ida
CINCO ESQUINAS,27,22bis,Habiles,11:50:00,,Ida
CINCO ESQUINAS,27,22bis,Habiles,12:46:00,,Ida
CINCO ESQUINAS,27,22bis,Habiles,13:46:00,,Ida
CINCO ESQUINAS,27,22bis,Habiles,14:50:00,,Ida
CINCO ESQUINAS,27,22bis,Habiles,15:54:00,,Ida
CINCO ESQUINAS,27,22bis,Habiles,16:53:00,,Ida
CINCO ESQUINAS,27,22bis,Habiles,17:45:00,,Ida
CINCO ESQUINAS,27,22bis,Habiles,18:52:00,,Ida
CINCO ESQUINAS,27,22bis,Habiles,19:47:00,,Ida
CINCO ESQUINAS,27,22bis,Habiles,20:55:00,,Ida
PLAZA DE MAYO,28,22bis,Habiles,05:55:00,,Ida
PLAZA DE MAYO,28,22bis,Habiles,06:52:00,,Ida
PLAZA DE MAYO,28,22bis,Habiles,07:55:00,,Ida
PLAZA DE MAYO,28,22bis,Habiles,08:54:00,,Ida
PLAZA DE MAYO,28,22bis,Habiles,09:53:00,,Ida
PLAZA DE MAYO,28,22bis,Habiles,10:58:00,,Ida
PLAZA DE MAYO,28,22bis,Habiles,11:55:00,,Ida
PLAZA DE MAYO,28,22bis,Habiles,12:51:00,,Ida
PLAZA DE MAYO,28,22bis,Habiles,13:51:00,,Ida
PLAZA DE MAYO,28,22bis,Habiles,14:55:00,,Ida
PLAZA DE MAYO,28,22bis,Habiles,15:59:00,,Ida
PLAZA DE MAYO,28,22bis,Habiles,16:58:00,,Ida
PLAZA DE MAYO,28,22bis,Habiles,17:50:00,,Ida
PLAZA DE MAYO,28,22bis,Habiles,18:57:00,,Ida
PLAZA DE MAYO,28,22bis,Habiles,19:52:00,,Ida
PLAZA DE MAYO,28,22bis,Habiles,21:00:00,,Ida
