BusStop Name (ignored),BusStop ID,Line,Days,Time,Comment,Direction
LLEGA A parque industrial,25,22bis,Habiles,05:50:00,,Vuelta
LLEGA A parque industrial,25,22bis,Habiles,06:48:00,,Vuelta
LLEGA A parque industrial,25,22bis,Habiles,07:45:00,,Vuelta
LLEGA A parque industrial,25,22bis,Habiles,08:48:00,,Vuelta
LLEGA A parque industrial,25,22bis,Habiles,09:47:00,,Vuelta
LLEGA A parque industrial,25,22bis,Habiles,10:46:00,,Vuelta
LLEGA A parque industrial,25,22bis,Habiles,11:51:00,,Vuelta
LLEGA A parque industrial,25,22bis,Habiles,12:48:00,,Vuelta
LLEGA A parque industrial,25,22bis,Habiles,13:44:00,,Vuelta
LLEGA A parque industrial,25,22bis,Habiles,14:44:00,,Vuelta
LLEGA A parque industrial,25,22bis,Habiles,15:48:00,,Vuelta
LLEGA A parque industrial,25,22bis,Habiles,16:52:00,,Vuelta
LLEGA A parque industrial,25,22bis,Habiles,17:51:00,,Vuelta
LLEGA A parque industrial,25,22bis,Habiles,18:43:00,,Vuelta
LLEGA A parque industrial,25,22bis,Habiles,19:50:00,,Vuelta
LLEGA A parque industrial,25,22bis,Habiles,20:43:00,,Vuelta
LLEGA A parque industrial,25,22bis,Habiles,21:50:00,,Vuelta
ALMAFUERTE y av. Zanni,26,22bis,Habiles,05:30:00,,Vuelta
ALMAFUERTE y av. Zanni,26,22bis,Habiles,06:25:00,,Vuelta
ALMAFUERTE y av. Zanni,26,22bis,Habiles,07:22:00,,Vuelta
ALMAFUERTE y av. Zanni,26,22bis,Habiles,08:25:00,,Vuelta
ALMAFUERTE y av. Zanni,26,22bis,Habiles,09:24:00,,Vuelta
ALMAFUERTE y av. Zanni,26,22bis,Habiles,10:23:00,,Vuelta
ALMAFUERTE y av. Zanni,26,22bis,Habiles,11:28:00,,Vuelta
ALMAFUERTE y av. Zanni,26,22bis,Habiles,12:25:00,,Vuelta
ALMAFUERTE y av. Zanni,26,22bis,Habiles,13:21:00,,Vuelta
ALMAFUERTE y av. Zanni,26,22bis,Habiles,14:21:00,,Vuelta
ALMAFUERTE y av. Zanni,26,22bis,Habiles,15:25:00,,Vuelta
ALMAFUERTE y av. Zanni,26,22bis,Habiles,16:29:00,,Vuelta
ALMAFUERTE y av. Zanni,26,22bis,Habiles,17:28:00,,Vuelta
ALMAFUERTE y av. Zanni,26,22bis,Habiles,18:20:00,,Vuelta
ALMAFUERTE y av. Zanni,26,22bis,Habiles,19:27:00,,Vuelta
ALMAFUERTE y av. Zanni,26,22bis,Habiles,20:21:00,,Vuelta
ALMAFUERTE y av. Zanni,26,22bis,Habiles,21:29:00,,Vuelta
CASA DE gobierno,29,22bis,Habiles,05:10:00,,Vuelta
CASA DE gobierno,29,22bis,Habiles,06:04:00,,Vuelta
CASA DE gobierno,29,22bis,Habiles,07:01:00,,Vuelta
CASA DE gobierno,29,22bis,Habiles,08:04:00,,Vuelta
CASA DE gobierno,29,22bis,Habiles,09:03:00,,Vuelta
CASA DE gobierno,29,22bis,Habiles,10:02:00,,Vuelta
CASA DE gobierno,29,22bis,Habiles,11:07:00,,Vuelta
CASA DE gobierno,29,22bis,Habiles,12:04:00,,Vuelta
CASA DE gobierno,29,22bis,Habiles,13:00:00,,Vuelta
CASA DE gobierno,29,22bis,Habiles,14:00:00,,Vuelta
CASA DE gobierno,29,22bis,Habiles,15:04:00,,Vuelta
CASA DE gobierno,29,22bis,Habiles,16:08:00,,Vuelta
CASA DE gobierno,29,22bis,Habiles,17:07:00,,Vuelta
CASA DE gobierno,29,22bis,Habiles,17:59:00,,Vuelta
CASA DE gobierno,29,22bis,Habiles,19:06:00,,Vuelta
CASA DE gobierno,29,22bis,Habiles,20:00:00,,Vuelta
CASA DE gobierno,29,22bis,Habiles,21:08:00,,Vuelta
PERU Y pellegrini,59,22bis,Habiles,05:14:00,,Vuelta
PERU Y pellegrini,59,22bis,Habiles,06:09:00,,Vuelta
PERU Y pellegrini,59,22bis,Habiles,07:06:00,,Vuelta
PERU Y pellegrini,59,22bis,Habiles,08:09:00,,Vuelta
PERU Y pellegrini,59,22bis,Habiles,09:08:00,,Vuelta
PERU Y pellegrini,59,22bis,Habiles,10:07:00,,Vuelta
PERU Y pellegrini,59,22bis,Habiles,11:12:00,,Vuelta
PERU Y pellegrini,59,22bis,Habiles,12:09:00,,Vuelta
PERU Y pellegrini,59,22bis,Habiles,13:05:00,,Vuelta
PERU Y pellegrini,59,22bis,Habiles,14:05:00,,Vuelta
PERU Y pellegrini,59,22bis,Habiles,15:09:00,,Vuelta
PERU Y pellegrini,59,22bis,Habiles,16:13:00,,Vuelta
PERU Y pellegrini,59,22bis,Habiles,17:12:00,,Vuelta
PERU Y pellegrini,59,22bis,Habiles,18:04:00,,Vuelta
PERU Y pellegrini,59,22bis,Habiles,19:11:00,,Vuelta
PERU Y pellegrini,59,22bis,Habiles,20:05:00,,Vuelta
PERU Y pellegrini,59,22bis,Habiles,21:13:00,,Vuelta
AV. RAMIREZ y e. carbo,60,22bis,Habiles,05:21:00,,Vuelta
AV. RAMIREZ y e. carbo,60,22bis,Habiles,06:16:00,,Vuelta
AV. RAMIREZ y e. carbo,60,22bis,Habiles,07:13:00,,Vuelta
AV. RAMIREZ y e. carbo,60,22bis,Habiles,08:16:00,,Vuelta
AV. RAMIREZ y e. carbo,60,22bis,Habiles,09:15:00,,Vuelta
AV. RAMIREZ y e. carbo,60,22bis,Habiles,10:14:00,,Vuelta
AV. RAMIREZ y e. carbo,60,22bis,Habiles,11:19:00,,Vuelta
AV. RAMIREZ y e. carbo,60,22bis,Habiles,12:16:00,,Vuelta
AV. RAMIREZ y e. carbo,60,22bis,Habiles,13:12:00,,Vuelta
AV. RAMIREZ y e. carbo,60,22bis,Habiles,14:12:00,,Vuelta
AV. RAMIREZ y e. carbo,60,22bis,Habiles,15:16:00,,Vuelta
AV. RAMIREZ y e. carbo,60,22bis,Habiles,16:20:00,,Vuelta
AV. RAMIREZ y e. carbo,60,22bis,Habiles,17:19:00,,Vuelta
AV. RAMIREZ y e. carbo,60,22bis,Habiles,18:11:00,,Vuelta
AV. RAMIREZ y e. carbo,60,22bis,Habiles,19:18:00,,Vuelta
AV. RAMIREZ y e. carbo,60,22bis,Habiles,20:12:00,,Vuelta
AV. RAMIREZ y e. carbo,60,22bis,Habiles,21:20:00,,Vuelta
