"BusStop Name (ignored)","BusStop ID","Line","Days","Time","Comment","Direction"
"Balneario Thompson",4,6,"Habiles",5:10:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",5:31:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",5:51:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",6:10:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",6:24:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",6:32:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",6:44:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",6:57:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",7:08:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",7:23:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",7:36:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",7:48:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",8:00:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",8:12:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",8:23:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",8:35:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",8:47:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",8:59:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",9:11:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",9:23:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",9:34:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",9:46:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",9:58:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",10:10:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",10:22:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",10:33:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",10:45:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",10:57:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",11:09:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",11:21:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",11:32:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",11:44:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",11:56:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",12:08:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",12:20:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",12:31:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",12:43:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",12:55:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",13:07:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",13:19:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",13:27:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",13:39:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",13:55:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",14:11:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",14:27:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",14:43:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",14:59:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",15:15:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",15:31:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",15:50:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",16:06:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",16:22:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",16:37:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",16:52:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",17:04:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",17:16:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",17:28:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",17:39:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",17:51:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",18:03:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",18:15:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",18:27:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",18:38:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",18:50:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",19:02:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",19:14:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",19:26:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",19:37:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",19:49:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",20:01:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",20:12:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",20:24:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",20:35:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",20:47:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",21:07:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",21:26:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",21:50:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",22:16:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",22:41:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",23:13:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",23:45:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",0:14:00,,"Ida"
"Balneario Thompson",4,6,"Habiles",0:39:00,"por Paracao","Ida"
"Balneario Thompson",4,6,"Habiles",5:10:00,,"Vuelta"
"Balneario Thompson",4,6,"Habiles",5:31:00,,"Vuelta"
"Balneario Thompson",4,6,"Habiles",5:51:00,"por Paracao","Vuelta"
"Balneario Thompson",4,6,"Habiles",6:10:00,,"Vuelta"
"Balneario Thompson",4,6,"Habiles",6:24:00,"por Paracao","Vuelta"
"Balneario Thompson",4,6,"Habiles",6:32:00,,"Vuelta"
"Balneario Thompson",4,6,"Habiles",6:44:00,"por Paracao","Vuelta"
"Balneario Thompson",4,6,"Habiles",6:57:00,,"Vuelta"
"Balneario Thompson",4,6,"Habiles",7:08:00,"por Paracao","Vuelta"
"Balneario Thompson",4,6,"Habiles",7:23:00,,"Vuelta"
"Balneario Thompson",4,6,"Habiles",7:36:00,"por Paracao","Vuelta"
"Balneario Thompson",4,6,"Habiles",7:48:00,,"Vuelta"
"Balneario Thompson",4,6,"Habiles",8:00:00,"por Paracao","Vuelta"
"Balneario Thompson",4,6,"Habiles",8:12:00,,"Vuelta"
"Balneario Thompson",4,6,"Habiles",8:23:00,"por Paracao","Vuelta"
"Balneario Thompson",4,6,"Habiles",8:35:00,,"Vuelta"
"Balneario Thompson",4,6,"Habiles",8:47:00,"por Paracao","Vuelta"
"Balneario Thompson",4,6,"Habiles",8:59:00,,"Vuelta"
"Balneario Thompson",4,6,"Habiles",9:11:00,"por Paracao","Vuelta"
"Balneario Thompson",4,6,"Habiles",9:23:00,,"Vuelta"
"Balneario Thompson",4,6,"Habiles",9:34:00,"por Paracao","Vuelta"
"Balneario Thompson",4,6,"Habiles",9:46:00,,"Vuelta"
"Balneario Thompson",4,6,"Habiles",9:58:00,"por Paracao","Vuelta"
"Balneario Thompson",4,6,"Habiles",10:10:00,,"Vuelta"
"Balneario Thompson",4,6,"Habiles",10:22:00,"por Paracao","Vuelta"
"Balneario Thompson",4,6,"Habiles",10:33:00,,"Vuelta"
"Balneario Thompson",4,6,"Habiles",10:45:00,"por Paracao","Vuelta"
"Balneario Thompson",4,6,"Habiles",10:57:00,,"Vuelta"
"Balneario Thompson",4,6,"Habiles",11:09:00,"por Paracao","Vuelta"
"Balneario Thompson",4,6,"Habiles",11:21:00,,"Vuelta"
"Balneario Thompson",4,6,"Habiles",11:32:00,"por Paracao","Vuelta"
"Balneario Thompson",4,6,"Habiles",11:44:00,,"Vuelta"
"Balneario Thompson",4,6,"Habiles",11:56:00,"por Paracao","Vuelta"
"Balneario Thompson",4,6,"Habiles",12:08:00,,"Vuelta"
"Balneario Thompson",4,6,"Habiles",12:20:00,"por Paracao","Vuelta"
"Balneario Thompson",4,6,"Habiles",12:31:00,,"Vuelta"
"Balneario Thompson",4,6,"Habiles",12:43:00,"por Paracao","Vuelta"
"Balneario Thompson",4,6,"Habiles",12:55:00,,"Vuelta"
"Balneario Thompson",4,6,"Habiles",13:07:00,"por Paracao","Vuelta"
