BusStop Name (ignored),BusStop ID,Line,Days,Time,Comment,Direction
ORO VERDE,1,6,Habiles,04:52:00, ,Ida
ORO VERDE,1,6,Habiles,05:12:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,05:30:00, ,Ida
ORO VERDE,1,6,Habiles,05:43:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,05:48:00, ,Ida
ORO VERDE,1,6,Habiles,06:00:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,06:11:00, ,Ida
ORO VERDE,1,6,Habiles,06:22:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,06:33:00, ,Ida
ORO VERDE,1,6,Habiles,06:45:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,06:56:00, ,Ida
ORO VERDE,1,6,Habiles,07:08:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,07:20:00, ,Ida
ORO VERDE,1,6,Habiles,07:31:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,07:43:00, ,Ida
ORO VERDE,1,6,Habiles,07:55:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,08:07:00, ,Ida
ORO VERDE,1,6,Habiles,08:19:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,08:31:00, ,Ida
ORO VERDE,1,6,Habiles,08:42:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,08:54:00, ,Ida
ORO VERDE,1,6,Habiles,09:06:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,09:18:00, ,Ida
ORO VERDE,1,6,Habiles,09:30:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,09:41:00, ,Ida
ORO VERDE,1,6,Habiles,09:53:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,10:05:00, ,Ida
ORO VERDE,1,6,Habiles,10:17:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,10:29:00, ,Ida
ORO VERDE,1,6,Habiles,10:40:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,10:52:00, ,Ida
ORO VERDE,1,6,Habiles,11:04:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,11:16:00, ,Ida
ORO VERDE,1,6,Habiles,11:28:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,11:39:00, ,Ida
ORO VERDE,1,6,Habiles,11:51:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,12:03:00, ,Ida
ORO VERDE,1,6,Habiles,12:15:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,12:27:00, ,Ida
ORO VERDE,1,6,Habiles,12:38:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,12:50:00, ,Ida
ORO VERDE,1,6,Habiles,13:06:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,13:22:00, ,Ida
ORO VERDE,1,6,Habiles,13:38:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,13:54:00, ,Ida
ORO VERDE,1,6,Habiles,14:10:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,14:26:00, ,Ida
ORO VERDE,1,6,Habiles,14:42:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,14:58:00, ,Ida
ORO VERDE,1,6,Habiles,15:14:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,15:30:00, ,Ida
ORO VERDE,1,6,Habiles,15:45:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,16:00:00, ,Ida
ORO VERDE,1,6,Habiles,16:12:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,16:24:00, ,Ida
ORO VERDE,1,6,Habiles,16:36:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,16:47:00, ,Ida
ORO VERDE,1,6,Habiles,16:59:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,17:11:00, ,Ida
ORO VERDE,1,6,Habiles,17:23:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,17:35:00, ,Ida
ORO VERDE,1,6,Habiles,17:46:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,17:58:00, ,Ida
ORO VERDE,1,6,Habiles,18:10:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,18:22:00, ,Ida
ORO VERDE,1,6,Habiles,18:34:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,18:45:00, ,Ida
ORO VERDE,1,6,Habiles,18:57:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,19:09:00, ,Ida
ORO VERDE,1,6,Habiles,19:21:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,19:33:00, ,Ida
ORO VERDE,1,6,Habiles,19:46:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,20:00:00, ,Ida
ORO VERDE,1,6,Habiles,20:20:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,20:39:00, ,Ida
ORO VERDE,1,6,Habiles,21:03:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,21:28:00, ,Ida
ORO VERDE,1,6,Habiles,21:57:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,22:33:00, ,Ida
ORO VERDE,1,6,Habiles,23:05:00,por PARACAO,Ida
ORO VERDE,1,6,Habiles,23:35:00, ,Ida
ORO VERDE,1,6,Habiles,00:00:00,por PARACAO,Ida
Km. 5 1/2,2,6,Habiles,05:00:00, ,Ida
Km. 5 1/2,2,6,Habiles,05:20:00,por PARACAO,Ida
Km. 5 1/2,2,6,Habiles,05:38:00, ,Ida
Km. 5 1/2,2,6,Habiles,05:52:00,por PARACAO,Ida
Km. 5 1/2,2,6,Habiles,05:57:00, ,Ida
Km. 5 1/2,2,6,Habiles,06:09:00,por PARACAO,Ida
Km. 5 1/2,2,6,Habiles,06:21:00, ,Ida
Km. 5 1/2,2,6,Habiles,06:32:00,por PARACAO,Ida
Km. 5 1/2,2,6,Habiles,06:44:00, ,Ida
Km. 5 1/2,2,6,Habiles,06:56:00,por PARACAO,Ida
Km. 5 1/2,2,6,Habiles,07:07:00, ,Ida
Km. 5 1/2,2,6,Habiles,07:19:00,por PARACAO,Ida
Km. 5 1/2,2,6,Habiles,07:31:00, ,Ida
Km. 5 1/2,2,6,Habiles,07:42:00,por PARACAO,Ida
Km. 5 1/2,2,6,Habiles,07:54:00, ,Ida
Km. 5 1/2,2,6,Habiles,08:06:00,por PARACAO,Ida
