"BusStop Name (ignored)","BusStop ID","Line","Days","Time","Comment","Direction"
"Oro Verde",1,6,"Sabados",4:52:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",5:18:00,,"Ida"
"Oro Verde",1,6,"Sabados",5:53:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",6:18:00,,"Ida"
"Oro Verde",1,6,"Sabados",6:40:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",7:00:00,,"Ida"
"Oro Verde",1,6,"Sabados",7:16:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",7:32:00,,"Ida"
"Oro Verde",1,6,"Sabados",7:48:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",8:04:00,,"Ida"
"Oro Verde",1,6,"Sabados",8:20:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",8:36:00,,"Ida"
"Oro Verde",1,6,"Sabados",8:52:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",9:08:00,,"Ida"
"Oro Verde",1,6,"Sabados",9:24:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",9:40:00,,"Ida"
"Oro Verde",1,6,"Sabados",9:56:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",10:12:00,,"Ida"
"Oro Verde",1,6,"Sabados",10:28:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",10:44:00,,"Ida"
"Oro Verde",1,6,"Sabados",11:00:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",11:16:00,,"Ida"
"Oro Verde",1,6,"Sabados",11:32:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",11:48:00,,"Ida"
"Oro Verde",1,6,"Sabados",12:04:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",12:22:00,,"Ida"
"Oro Verde",1,6,"Sabados",12:44:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",13:06:00,,"Ida"
"Oro Verde",1,6,"Sabados",13:28:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",13:50:00,,"Ida"
"Oro Verde",1,6,"Sabados",14:12:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",14:34:00,,"Ida"
"Oro Verde",1,6,"Sabados",14:56:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",15:18:00,,"Ida"
"Oro Verde",1,6,"Sabados",15:40:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",16:02:00,,"Ida"
"Oro Verde",1,6,"Sabados",16:24:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",16:42:00,,"Ida"
"Oro Verde",1,6,"Sabados",16:58:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",17:14:00,,"Ida"
"Oro Verde",1,6,"Sabados",17:30:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",17:46:00,,"Ida"
"Oro Verde",1,6,"Sabados",18:02:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",18:18:00,,"Ida"
"Oro Verde",1,6,"Sabados",18:34:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",18:50:00,,"Ida"
"Oro Verde",1,6,"Sabados",19:06:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",19:22:00,,"Ida"
"Oro Verde",1,6,"Sabados",19:40:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",19:58:00,,"Ida"
"Oro Verde",1,6,"Sabados",20:16:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",20:35:00,,"Ida"
"Oro Verde",1,6,"Sabados",20:55:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",21:15:00,,"Ida"
"Oro Verde",1,6,"Sabados",21:37:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",21:59:00,,"Ida"
"Oro Verde",1,6,"Sabados",22:21:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",22:45:00,,"Ida"
"Oro Verde",1,6,"Sabados",23:10:00,"por Paracao","Ida"
"Oro Verde",1,6,"Sabados",23:35:00,,"Ida"
"Oro Verde",1,6,"Sabados",0:00:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",5:00:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",5:26:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",6:02:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",6:29:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",6:51:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",7:11:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",7:27:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",7:43:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",7:59:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",8:15:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",8:31:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",8:47:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",9:03:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",9:19:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",9:35:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",9:51:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",10:07:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",10:23:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",10:39:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",10:55:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",11:11:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",11:27:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",11:43:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",11:59:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",12:15:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",12:32:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",12:54:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",13:16:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",13:38:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",14:00:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",14:22:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",14:44:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",15:06:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",15:28:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",15:50:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",16:12:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",16:34:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",16:53:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",17:09:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",17:25:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",17:41:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",17:57:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",18:13:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",18:29:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",18:45:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",19:01:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",19:17:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",19:33:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",19:51:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",20:09:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",20:26:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",20:45:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",21:05:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",21:25:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",21:47:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",22:10:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",22:30:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",22:53:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",23:18:00,"por Paracao","Ida"
"Km. 5 1/2",2,6,"Sabados",23:43:00,,"Ida"
"Km. 5 1/2",2,6,"Sabados",0:08:00,"por Paracao","Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",5:19:00,"por Paracao","Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",5:47:00,,"Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",6:24:00,"por Paracao","Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",6:54:00,,"Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",7:18:00,"por Paracao","Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",7:38:00,,"Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",7:54:00,"por Paracao","Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",8:10:00,,"Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",8:26:00,"por Paracao","Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",8:42:00,,"Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",8:58:00,"por Paracao","Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",9:14:00,,"Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",9:30:00,"por Paracao","Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",9:46:00,,"Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",10:02:00,"por Paracao","Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",10:18:00,,"Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",10:34:00,"por Paracao","Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",10:50:00,,"Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",11:06:00,"por Paracao","Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",11:22:00,,"Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",11:38:00,"por Paracao","Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",11:54:00,,"Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",12:10:00,"por Paracao","Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",12:26:00,,"Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",12:42:00,"por Paracao","Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",12:59:00,,"Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",13:21:00,"por Paracao","Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",13:43:00,,"Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",14:05:00,"por Paracao","Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",14:27:00,,"Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",14:49:00,"por Paracao","Ida"
"Plaza 1ro de Mayo",3,6,"Sabados",15:11:00,,"Ida"
