"Barrio A.S.S.V.E.R.","Barrio Santa Lucía","Av. Américas y Racedo","1ero de Mayo","Toma Vieja","Toma Nueva","Comments"
24,36,37,38,39,40,
,"-","-","-","-","-",
,"-","-","-","-","-",
,"06:44:00","06:56:00","07:04:00"," ","07:29:00",
"7:08 (1)",,"07:23:00","07:31:00","07:56:00"," ",
,"07:38:00","07:50:00","07:58:00"," ","08:23:00",
,"08:05:00","08:17:00","08:25:00","08:50:00"," ",
"8:29 (1)",,"08:44:00","08:52:00"," ","09:17:00",
,"08:59:00","09:11:00","09:19:00","09:44:00"," ",
,"09:26:00","09:38:00","09:46:00"," ","10:11:00",
"9:50 (1)",,"10:05:00","10:13:00","10:38:00"," ",
,"10:20:00","10:32:00","10:40:00"," ","11:05:00",
,"10:47:00","10:59:00","11:07:00","11:32:00"," ",
"11:11 (1)",,"11:26:00","11:34:00"," ","11:59:00",
,"11:41:00","11:53:00","12:01:00","12:26:00"," ",
,"12:08:00","12:20:00","12:28:00"," ","12:53:00",
"12:32 (1)",,"12:47:00","12:55:00","13:20:00"," ",
,"13:02:00","13:14:00","13:22:00"," ","13:47:00",
,"13:29:00","13:41:00","13:49:00","14:14:00"," ",
"13:53 (1)",,"14:08:00","14:16:00"," ","14:41:00",
,"14:23:00","14:35:00","14:43:00","15:08:00"," ",
,"14:50:00","15:02:00","15:10:00"," ","15:35:00",
"15:14 (1)",,"15:29:00","15:37:00","16:02:00"," ",
,"15:44:00","15:56:00","16:04:00"," ","16:29:00",
,"16:11:00","16:23:00","16:31:00","16:56:00"," ",
"16:35 (1)",,"16:50:00","16:58:00"," ","17:23:00",
,"17:05:00","17:17:00","17:25:00","17:50:00"," ",
,"17:29:00","17:41:00","17:49:00"," ","18:14:00",
"17:56 (1)",,"18:11:00","18:19:00","18:44:00"," ",
,"18:26:00","18:38:00","18:46:00"," ","19:11:00",
,"18:53:00","19:05:00","19:13:00","19:38:00"," ",
"19:17 (1)",,"19:32:00","19:40:00"," ","20:05:00",
,"19:47:00","19:59:00","20:07:00","20:32:00"," ",
,"20:14:00","20:26:00","20:34:00"," ","20:59:00",
"20:38 (1)",,"20:53:00","21:01:00","21:26:00"," ",
,"21:08:00","21:20:00","21:28:00"," ","21:53:00",
,"21:35:00","21:47:00","21:55:00","22:20:00"," ",
"22:05 (1)",,"22:20:00","22:28:00"," ","22:53:00",
,"22:36:00","22:48:00","22:56:00","23:21:00"," ",
,"23:07:00","23:19:00","23:27:00"," ","23:52:00",
"23:32 (1)",,"23:45:00","23:51:00","00:09:00"," ",
,"00:00:00","00:11:00","00:16:00"," ","00:34:00",
