"Barrio A.S.S.V.E.R.","Barrio Santa Lucía","Av. Américas y Racedo","1º de Mayo","Toma Vieja","Toma Nueva","Comments"
24,36,37,38,39,40,
,"-","-","-","-","-",
,"-","-","-","-","-",
,"05:20:00","05:30:00","05:37:00","05:58:00"," ",
"5:37 (1)",,"05:50:00","05:57:00"," ","06:18:00",
,"05:55:00","06:06:00","06:13:00"," ","06:34:00",
"6:07 (1)",,"06:22:00","06:29:00","06:52:00"," ",
"6:21 (1)",,"06:37:00","06:44:00"," ","07:07:00",
"6:35 (1)",,"06:51:00","06:58:00"," ","07:21:00",
,"06:52:00","07:04:00","07:12:00","07:35:00"," ",
"7:03 (1)",,"07:19:00","07:27:00"," ","07:53:00",
,"07:20:00","07:33:00","07:41:00"," ","08:07:00",
"7:31 (1)",,"07:47:00","07:55:00","08:21:00"," ",
,"07:48:00","08:01:00","08:09:00"," ","08:35:00",
,"08:02:00","08:15:00","08:23:00"," ","08:49:00",
,"08:16:00","08:29:00","08:37:00","09:03:00"," ",
"8:27 (1)",,"08:43:00","08:51:00"," ","09:17:00",
,"08:44:00","08:57:00","09:05:00"," ","09:31:00",
,"08:58:00","09:11:00","09:19:00","09:45:00"," ",
,"09:12:00","09:25:00","09:33:00"," ","09:59:00",
,"09:26:00","09:39:00","09:47:00"," ","10:13:00",
"9:37 (1)",,"09:53:00","10:01:00","10:27:00"," ",
,"09:54:00","10:07:00","10:15:00"," ","10:41:00",
,"10:08:00","10:21:00","10:29:00"," ","10:55:00",
,"10:22:00","10:35:00","10:43:00","11:09:00"," ",
"10:33 (1)",,"10:49:00","10:57:00"," ","11:23:00",
,"10:50:00","11:03:00","11:11:00"," ","11:37:00",
,"11:04:00","11:17:00","11:25:00","11:51:00"," ",
,"11:18:00","11:31:00","11:39:00"," ","12:05:00",
,"11:32:00","11:45:00","11:53:00"," ","12:19:00",
"11:43 (1)",,"11:59:00","12:07:00","12:33:00"," ",
,"12:00:00","12:13:00","12:21:00"," ","12:47:00",
,"12:14:00","12:27:00","12:35:00"," ","13:01:00",
,"12:28:00","12:41:00","12:49:00","13:15:00"," ",
"12:39 (1)",,"12:55:00","13:03:00"," ","13:29:00",
,"12:56:00","13:09:00","13:17:00"," ","13:43:00",
"13:21 (1)",,"13:37:00","13:45:00","14:11:00"," ",
,"13:52:00","14:05:00","14:13:00"," ","14:39:00",
"14:17 (1)",,"14:33:00","14:41:00"," ","15:07:00",
,"14:48:00","15:01:00","15:09:00","15:35:00"," ",
"15:13 (1)",,"15:29:00","15:37:00"," ","16:03:00",
,"15:44:00","15:57:00","16:05:00"," ","16:31:00",
,"16:12:00","16:25:00","16:33:00","16:59:00"," ",
,"16:26:00","16:39:00","16:47:00"," ","17:13:00",
"16:37 (1)",,"16:53:00","17:01:00"," ","17:27:00",
,"16:54:00","17:07:00","17:15:00","17:41:00"," ",
,"17:08:00","17:21:00","17:29:00"," ","17:55:00",
,"17:22:00","17:35:00","17:43:00"," ","18:09:00",
"17:33 (1)",,"17:49:00","17:57:00","18:23:00"," ",
,"17:50:00","18:03:00","18:11:00"," ","18:37:00",
,"18:04:00","18:17:00","18:25:00"," ","18:51:00",
,"18:18:00","18:31:00","18:39:00","19:05:00"," ",
,"18:32:00","18:45:00","18:53:00"," ","19:19:00",
"18:43 (1)",,"18:59:00","19:07:00"," ","19:33:00",
,"19:00:00","19:13:00","19:21:00","19:47:00"," ",
,"19:14:00","19:27:00","19:35:00"," ","20:01:00",
,"19:28:00","19:41:00","19:49:00"," ","20:15:00",
"19:41 (1)",,"19:56:00","20:04:00","20:29:00"," ",
,"20:02:00","20:14:00","20:22:00"," ","20:47:00",
"20:17 (1)",,"20:32:00","20:40:00"," ","21:05:00",
,"20:38:00","20:50:00","20:58:00","21:23:00"," ",
,"20:56:00","21:08:00","21:16:00"," ","21:41:00",
"21:11 (1)",,"21:26:00","21:34:00"," ","21:59:00",
,"21:32:00","21:44:00","21:52:00","22:17:00"," ",
,"21:59:00","22:11:00","22:19:00"," ","22:44:00",
"22:23 (1)",,"22:38:00","22:46:00"," ","23:11:00",
,"22:50:00","23:02:00","23:10:00","23:35:00"," ",
,"23:15:00","23:27:00","23:33:00"," ","23:55:00",
,"23:40:00","23:50:00","23:56:00"," ","00:14:00",
,"00:00:00","00:10:00","00:16:00","00:34:00"," ",
