"Toma Nueva","Toma Vieja","Alvear","y Racedo","Barrio Santa Lucía","Comments"
40,39,41,37,36,
05:20:00," ",05:42:00,05:51:00,"6:02 (2)",
05:40:00," ",06:02:00,06:11:00,"6:22 (2)",
" ",06:00:00,06:24:00,06:33:00,06:42:00,
06:20:00," ",06:44:00,06:53:00,07:02:00,
06:39:00," ",07:03:00,07:12:00,"7:24 (2)",
" ",06:57:00,07:21:00,07:31:00,07:42:00,
07:15:00," ",07:39:00,07:49:00,08:00:00,
07:29:00," ",07:53:00,08:03:00,"8:16 (2)",
" ",07:40:00,08:04:00,08:14:00,08:25:00,
07:58:00," ",08:22:00,08:32:00,08:43:00,
08:12:00," ",08:36:00,08:46:00,08:57:00,
" ",08:26:00,08:50:00,09:00:00,09:11:00,
08:40:00," ",09:04:00,09:14:00,"9:27 (2)",
08:54:00," ",09:18:00,09:28:00,09:39:00,
" ",09:08:00,09:32:00,09:42:00,09:53:00,
09:22:00," ",09:46:00,09:56:00,10:07:00,
09:36:00," ",10:00:00,10:10:00,"10:23 (2)",
" ",09:50:00,10:14:00,10:24:00,10:35:00,
10:04:00," ",10:28:00,10:38:00,10:49:00,
10:18:00," ",10:42:00,10:52:00,11:03:00,
" ",10:32:00,10:56:00,11:06:00,11:17:00,
10:46:00," ",11:10:00,11:20:00,"11:33 (2)",
11:00:00," ",11:24:00,11:34:00,11:45:00,
" ",11:14:00,11:38:00,11:48:00,11:59:00,
11:28:00," ",11:52:00,12:02:00,12:13:00,
11:42:00," ",12:06:00,12:16:00,"12:29 (2)",
" ",11:56:00,12:20:00,12:30:00,12:41:00,
12:10:00," ",12:34:00,12:44:00,"12:57 (2)",
12:24:00," ",12:48:00,12:58:00,"13:11 (2)",
" ",12:38:00,13:02:00,13:12:00,13:23:00,
12:52:00," ",13:16:00,13:26:00,"13:39 (2)",
"-"," ","-","-","-",
" ",13:15:00,13:39:00,13:49:00,"14:02 (2)",
13:34:00," ",13:58:00,14:08:00,"14:21 (2)",
13:53:00," ",14:17:00,14:27:00,14:38:00,
" ",14:16:00,14:40:00,14:50:00,"15:03 (2)",
14:44:00," ",15:08:00,15:18:00,15:29:00,
15:12:00," ",15:36:00,15:46:00,15:57:00,
" ",15:40:00,16:04:00,16:14:00,"16:27 (2)",
16:08:00," ",16:32:00,16:42:00,16:53:00,
16:36:00," ",17:00:00,17:10:00,"17:23 (2)",
" ",17:04:00,17:28:00,17:38:00,17:49:00,
17:18:00," ",17:42:00,17:52:00,18:03:00,
17:32:00," ",17:56:00,18:06:00,18:17:00,
" ",17:46:00,18:10:00,18:20:00,"18:33 (2)",
18:00:00," ",18:24:00,18:34:00,18:45:00,
18:14:00," ",18:38:00,18:48:00,18:59:00,
" ",18:28:00,18:52:00,19:02:00,19:13:00,
18:42:00," ",19:06:00,19:16:00,"19:29 (2)",
18:56:00," ",19:20:00,19:30:00,"19:43 (2)",
" ",19:10:00,19:34:00,19:44:00,19:55:00,
19:25:00," ",19:49:00,19:59:00,"20:12 (2)",
19:40:00," ",20:04:00,20:14:00,20:25:00,
" ",19:55:00,20:19:00,20:29:00,20:40:00,
20:10:00," ",20:34:00,20:44:00,"20:57 (2)",
"-"," ","-","-","-",
" ",20:30:00,20:53:00,21:03:00,21:14:00,
20:53:00," ",21:16:00,21:26:00,21:37:00,
"-"," ","-","-","-",
" ",21:23:00,21:46:00,21:56:00,"22:09 (2)",
21:45:00," ",22:08:00,22:18:00,"22:31 (2)",
22:00:00," ",22:23:00,22:33:00,22:44:00,
" ",22:20:00,22:43:00,22:53:00,23:04:00,
22:45:00," ",23:06:00,23:15:00,23:24:00,
23:11:00," ",23:32:00,23:41:00,23:50:00,
" ",23:35:00,23:56:00,00:03:00,00:12:00,
00:00:00," ",00:21:00,00:28:00,00:37:00,
"-"," ","-","-","-",
" ","-","-","-","-",
