"Barrio A.S.S.V.E.R.","Barrio Santa Lucía","Av. Américas y Racedo","1º de Mayo","Toma Vieja","Toma Nueva","Comments"
24,36,37,38,39,40,
,"-","-","-","-","-",
,"-","-","-","-","-",
,"05:20:00","05:32:00","05:40:00","06:05:00"," ",
"5:47 (1)",,"06:02:00","06:10:00"," ","06:35:00",
,"06:15:00","06:27:00","06:35:00","07:00:00"," ",
"6:37 (1)",,"06:52:00","07:00:00"," ","07:25:00",
,"07:00:00","07:12:00","07:20:00","07:45:00"," ",
,"07:18:00","07:30:00","07:38:00"," ","08:03:00",
"7:33 (1)",,"07:48:00","07:56:00","08:21:00"," ",
,"07:54:00","08:06:00","08:14:00"," ","08:39:00",
,"08:12:00","08:24:00","08:32:00","08:57:00"," ",
,"08:30:00","08:42:00","08:50:00"," ","09:15:00",
"8:45 (1)",,"09:00:00","09:08:00","09:33:00"," ",
,"09:06:00","09:18:00","09:26:00"," ","09:51:00",
,"09:24:00","09:36:00","09:44:00","10:09:00"," ",
"9:39 (1)",,"09:54:00","10:02:00"," ","10:27:00",
,"10:00:00","10:12:00","10:20:00","10:45:00"," ",
"10:15 (1)",,"10:30:00","10:38:00"," ","11:03:00",
,"10:36:00","10:48:00","10:56:00","11:21:00"," ",
,"10:54:00","11:06:00","11:14:00"," ","11:39:00",
"11:09 (1)",,"11:24:00","11:32:00","11:57:00"," ",
,"11:30:00","11:42:00","11:50:00"," ","12:15:00",
,"11:48:00","12:00:00","12:08:00","12:33:00"," ",
,"12:06:00","12:18:00","12:26:00"," ","12:51:00",
"12:21 (1)",,"12:36:00","12:44:00","13:09:00"," ",
,"12:51:00","13:03:00","13:11:00"," ","13:36:00",
,"13:18:00","13:30:00","13:38:00","14:03:00"," ",
"13:42 (1)",,"13:57:00","14:05:00"," ","14:30:00",
,"14:12:00","14:24:00","14:32:00","14:57:00"," ",
"14:36 (1)",,"14:51:00","14:59:00"," ","15:24:00",
,"15:06:00","15:18:00","15:26:00","15:51:00"," ",
,"15:33:00","15:45:00","15:53:00"," ","16:18:00",
"15:57 (1)",,"16:12:00","16:20:00","16:45:00"," ",
,"16:27:00","16:39:00","16:47:00"," ","17:12:00",
,"16:54:00","17:06:00","17:14:00","17:39:00"," ",
,"17:12:00","17:24:00","17:32:00"," ","17:57:00",
,"17:30:00","17:42:00","17:50:00","18:15:00"," ",
"17:45 (1)",,"18:00:00","18:08:00"," ","18:33:00",
,"18:06:00","18:18:00","18:26:00","18:51:00"," ",
,"18:24:00","18:36:00","18:44:00"," ","19:09:00",
"18:39 (1)",,"18:54:00","19:02:00","19:27:00"," ",
,"19:00:00","19:12:00","19:20:00"," ","19:45:00",
"19:15 (1)",,"19:30:00","19:38:00","20:03:00"," ",
,"19:36:00","19:48:00","19:56:00"," ","20:21:00",
,"19:54:00","20:06:00","20:14:00","20:39:00"," ",
"20:11 (1)",,"20:26:00","20:34:00"," ","20:59:00",
,"20:34:00","20:46:00","20:54:00","21:19:00"," ",
,"20:55:00","21:07:00","21:15:00"," ","21:40:00",
,"21:16:00","21:28:00","21:36:00","22:01:00"," ",
"21:40 (1)",,"21:55:00","22:03:00"," ","22:28:00",
,"22:10:00","22:22:00","22:30:00","22:55:00"," ",
"22:34 (1)",,"22:49:00","22:57:00"," ","23:22:00",
,"23:08:00","23:20:00","23:28:00","23:53:00"," ",
"23:28 (1)",,"23:44:00","23:50:00"," ","00:08:00",
,"00:00:00","00:10:00","00:16:00","00:34:00"," ",
