"Toma Nueva","Toma Vieja","Alvear","y Racedo","Barrio A.S.S.V.E.R.","Barrio Santa Lucía","Comments"
40,39,41,37,24,36,
" ","05:20:00","05:42:00","05:51:00",,"06:02:00",
"05:45:00"," ","06:07:00","06:16:00","6:30 (2)",,
" ","06:06:00","06:29:00","06:38:00",,"06:49:00",
"06:38:00"," ","07:02:00","07:11:00","7:25 (2)",,
" ","07:04:00","07:28:00","07:37:00",,"07:48:00",
"07:29:00"," ","07:53:00","08:02:00",,"08:13:00",
" ","07:49:00","08:13:00","08:22:00","8:36 (2)",,
"08:07:00"," ","08:31:00","08:40:00",,"08:51:00",
" ","08:25:00","08:49:00","08:58:00",,"09:09:00",
"08:43:00"," ","09:07:00","09:16:00","9:30 (2)",,
" ","09:01:00","09:25:00","09:34:00",,"09:45:00",
"09:19:00"," ","09:43:00","09:52:00","10:06 (2)",,
" ","09:37:00","10:01:00","10:10:00",,"10:21:00",
"09:55:00"," ","10:19:00","10:28:00",,"10:39:00",
" ","10:13:00","10:37:00","10:46:00","11:00 (2)",,
"10:31:00"," ","10:55:00","11:04:00",,"11:15:00",
" ","10:49:00","11:13:00","11:22:00",,"11:33:00",
"11:07:00"," ","11:31:00","11:40:00",,"11:51:00",
" ","11:25:00","11:49:00","11:58:00","12:12 (2)",,
"11:43:00"," ","12:07:00","12:16:00",,"12:27:00",
" ","12:01:00","12:25:00","12:34:00",,"12:45:00",
"12:19:00"," ","12:43:00","12:52:00",,"13:03:00",
" ","12:37:00","13:01:00","13:10:00","13:24 (2)",,
"12:55:00"," ","13:19:00","13:28:00",,"13:39:00",
" ","13:13:00","13:37:00","13:46:00",,"13:57:00",
"13:40:00"," ","14:04:00","14:13:00","14:27 (2)",,
" ","14:07:00","14:31:00","14:40:00",,"14:51:00",
"14:34:00"," ","14:58:00","15:07:00",,"15:18:00",
" ","15:01:00","15:25:00","15:34:00","15:48 (2)",,
"15:28:00"," ","15:52:00","16:01:00",,"16:12:00",
" ","15:55:00","16:19:00","16:28:00",,"16:39:00",
"16:22:00"," ","16:46:00","16:55:00","17:09 (2)",,
" ","16:49:00","17:13:00","17:22:00",,"17:33:00",
"17:16:00"," ","17:40:00","17:49:00",,"18:00:00",
" ","17:43:00","18:07:00","18:16:00","18:30 (2)",,
"18:01:00"," ","18:25:00","18:34:00",,"18:45:00",
" ","18:19:00","18:43:00","18:52:00","19:06 (2)",,
"18:37:00"," ","19:01:00","19:10:00",,"19:21:00",
" ","18:55:00","19:19:00","19:28:00",,"19:39:00",
"19:13:00"," ","19:37:00","19:46:00","20:00 (2)",,
" ","19:31:00","19:55:00","20:04:00",,"20:15:00",
"19:49:00"," ","20:13:00","20:22:00",,"20:33:00",
" ","20:07:00","20:31:00","20:40:00",,"20:51:00",
"20:25:00"," ","20:49:00","20:58:00","21:12 (2)",,
" ","20:43:00","21:07:00","21:16:00",,"21:27:00",
"21:03:00"," ","21:27:00","21:36:00",,"21:47:00",
" ","21:23:00","21:47:00","21:56:00",,"22:07:00",
"21:44:00"," ","22:08:00","22:17:00","22:31 (2)",,
" ","22:05:00","22:29:00","22:38:00",,"22:49:00",
"22:32:00"," ","22:56:00","23:05:00","23:18 (2)",,
" ","23:02:00","23:25:00","23:34:00",,"23:44:00",
"23:31:00"," ","23:52:00","23:59:00",,"00:08:00",
" ","00:00:00","00:21:00","00:28:00",,"00:37:00",
"-"," ","-","-",,"-",
" ","-","-","-",,"-",
