"Santa Lucia","Cementerio Solar del Rio"," Divina Providencia","Av. Américas y Lebhenson","Monte Caseros y Alem","5 Esquinas","Barrio Hernandarias","Barrio La Milagrosa","Comments"
47,52,48,42,43,44,45,46,
,,"06:05 (DP)","06:12:00","06:23:00","06:37:00","06:50 (BH)",,
"06:31 (SL)",,,"06:38:00","06:49:00","07:03:00",,"07:16 (LM)",
,,"06:58 (DP)","07:05:00","07:16:00","07:30:00","07:43 (BH)",,
"07:25 (SL)",,,"07:32:00","07:43:00","07:57:00",,"08:10 (LM)",
,,"07:52 (DP)","07:59:00","08:10:00","08:24:00","08:37 (BH)",,
"08:19 (SL)",,,"08:26:00","08:37:00","08:51:00",,"09:04 (LM)",
,,"08:46 (DP)","08:53:00","09:04:00","09:18:00","09:31 (BH)",,
"09:13 (SL)",,,"09:20:00","09:31:00","09:45:00",,"09:58 (LM)",
,"09:37 (SR)",,"09:47:00","09:58:00","10:12:00","10:25 (BH)",,
"10:07 (SL)",,,"10:14:00","10:25:00","10:39:00",,"10:52 (LM)",
,,"10:34 (DP)","10:41:00","10:52:00","11:06:00","11:19 (BH)",,
"11:01 (SL)",,,"11:08:00","11:19:00","11:33:00",,"11:46 (LM)",
,"11:25 (SR)",,"11:35:00","11:46:00","12:00:00","12:13 (BH)",,
"11:55 (SL)",,,"12:02:00","12:13:00","12:27:00",,"12:40 (LM)",
,,"12:22 (DP)","12:29:00","12:40:00","12:54:00","13:07 (BH)",,
"12:49 (SL)",,,"12:56:00","13:07:00","13:21:00",,"13:34 (LM)",
,,"13:16 (DP)","13:23:00","13:34:00","13:48:00","14:01 (BH)",,
"13:43 (SL)",,,"13:50:00","14:01:00","14:15:00",,"14:28 (LM)",
,,"14:10 (DP)","14:17:00","14:28:00","14:42:00","14:55 (BH)",,
"14:37 (SL)",,,"14:44:00","14:55:00","15:09:00",,"15:22 (LM)",
,,"15:04 (DP)","15:11:00","15:22:00","15:36:00","15:49 (BH)",,
"15:31 (SL)",,,"15:38:00","15:49:00","16:03:00",,"16:16 (LM)",
,"15:55 (SR)",,"16:05:00","16:16:00","16:30:00","16:43 (BH)",,
"16:25 (SL)",,,"16:32:00","16:43:00","16:57:00",,"17:10 (LM)",
,,"16:52 (DP)","16:59:00","17:10:00","17:24:00","17:37 (BH)",,
"17:19 (SL)",,,"17:26:00","17:37:00","17:51:00",,"18:04 (LM)",
,"17:43 (SR)",,"17:53:00","18:04:00","18:18:00","18:31 (BH)",,
"18:13 (SL)",,,"18:20:00","18:31:00","18:45:00",,"18:58 (LM)",
,,"18:40 (DP)","18:47:00","18:58:00","19:12:00","19:25 (BH)",,
"19:07 (SL)",,,"19:14:00","19:25:00","19:39:00",,"19:52 (LM)",
,,"19:34 (DP)","19:41:00","19:52:00","20:06:00","20:19 (BH)",,
"20:02 (SL)",,,"20:09:00","20:20:00","20:34:00",,"20:47 (LM)",
,,"20:32 (DP)","20:39:00","20:50:00","21:04:00","21:17 (BH)",,
"21:00 (SL)",,,"21:07:00","21:18:00","21:32:00",,"21:45 (LM)",
"21:30 (SL)",,,"21:37:00","21:48:00","22:02:00","22:15 (BH)",,
,,"22:00 (DP)","22:07:00","22:18:00","22:32:00",,"22:45 (LM)",
