"La Milagrosa","Barrio hernandarias","Terminal de Omnibus","Plaza 1º de Mayo","Plaza Alvear","Divida providencia","Cementerio Solar del Rio","Santa Lucia","Comments"
46,45,49,50,51,48,52,47,
"06:30 (LM)",,"06:43:00","06:47:00","06:53:00",,,"07:12 (SL)",
,"06:55 (BH)","07:08:00","07:12:00","07:18:00","07:37 (DP)",,,
"07:21 (LM)",,"07:34:00","07:38:00","07:44:00",,,"08:04 (SL)",
,"07:48 (BH)","08:01:00","08:05:00","08:11:00","08:31 (DP)",,,
"08:15 (LM)",,"08:28:00","08:32:00","08:38:00",,,"08:58 (SL)",
,"08:42 (BH)","08:55:00","08:59:00","09:05:00",,"09:27 (SR)",,
"09:09 (LM)",,"09:22:00","09:26:00","09:32:00",,,"09:52 (SL)",
,"09:36 (BH)","09:49:00","09:53:00","09:59:00","10:19 (DP)",,,
"10:03 (LM)",,"10:16:00","10:20:00","10:26:00",,,"10:46 (SL)",
,"10:30 (BH)","10:43:00","10:47:00","10:53:00",,"11:15 (SR)",,
"10:57 (LM)",,"11:10:00","11:14:00","11:20:00",,,"11:40 (SL)",
,"11:24 (BH)","11:37:00","11:41:00","11:47:00","12:07 (DP)",,,
"11:51 (LM)",,"12:04:00","12:08:00","12:14:00",,,"12:34 (SL)",
,"12:18 (BH)","12:31:00","12:35:00","12:41:00","13:01 (DP)",,,
"12:45 (LM)",,"12:58:00","13:02:00","13:08:00",,,"13:28 (SL)",
,"13:12 (BH)","13:25:00","13:29:00","13:35:00","13:55 (DP)",,,
"13:39 (LM)",,"13:52:00","13:56:00","14:02:00",,,"14:22 (SL)",
,"14:06 (BH)","14:19:00","14:23:00","14:29:00","14:49 (DP)",,,
"14:33 (LM)",,"14:46:00","14:50:00","14:56:00",,,"15:16 (SL)",
,"15:00 (BH)","15:13:00","15:17:00","15:23:00",,"15:45 (SR)",,
"15:27 (LM)",,"15:40:00","15:44:00","15:50:00",,,"16:10 (SL)",
,"15:54 (BH)","16:07:00","16:11:00","16:17:00","16:37 (DP)",,,
"16:21 (LM)",,"16:34:00","16:38:00","16:44:00",,,"17:04 (SL)",
,"16:48 (BH)","17:01:00","17:05:00","17:11:00",,"17:33 (SR)",,
"17:15 (LM)",,"17:28:00","17:32:00","17:38:00",,,"17:58 (SL)",
,"17:42 (BH)","17:55:00","17:59:00","18:05:00","18:25 (DP)",,,
"18:09 (LM)",,"18:22:00","18:26:00","18:32:00",,,"18:52 (SL)",
,"18:36 (BH)","18:49:00","18:53:00","18:59:00","19:19 (DP)",,,
"19:04 (LM)",,"19:17:00","19:21:00","19:27:00",,,"19:47 (SL)",
,"19:33 (BH)","19:46:00","19:50:00","19:56:00","20:16 (DP)",,,
"20:02 (LM)",,"20:15:00","20:19:00","20:25:00",,,"20:45 (SL)",
,"20:31 (BH)","20:44:00","20:48:00","20:54:00",,,"21:14 (SL)",
"21:00 (LM)",,"21:13:00","21:17:00","21:23:00","21:43 (DP)",,,
,"21:30 (BH)","21:43:00","21:47:00","21:53:00","22:13 (DP)",,,
"22:00 (LM)",,"22:13:00","22:17:00","22:23:00",,,"22:43 (SL)",
,"-","-","-","-","-",,,
