"Santa Lucia"," Divina Providencia","Av. Américas y Lebhenson","Monte Caseros y Alem","5 Esquinas","Barrio La Milagrosa","Barrio Hernandarias","Comments"
47,48,42,43,44,46,45,
,"-","-","-","-","-",,
,"-","-","-","-","-",,
"05:00 (SL)",,05:07:00,05:18:00,05:32:00,,"05:45 (BH)",
,"05:20 (DP)",05:27:00,05:38:00,05:52:00,"06:05 (LM)",,
,"-","-","-","-","-",,
"05:35 (SL)",,05:42:00,05:54:00,06:10:00,,"06:24 (BH)",
,"05:48 (DP)",05:55:00,06:09:00,06:26:00,"06:40 (LM)",,
"06:03 (SL)",,06:11:00,06:26:00,06:43:00,,"06:57 (BH)",
,"06:15 (DP)",06:23:00,06:38:00,06:55:00,"07:09 (LM)",,
"06:27 (SL)",,06:35:00,06:50:00,07:07:00,,"07:21 (BH)",
"06:40 (SL)",,06:48:00,07:03:00,07:20:00,"07:34 (LM)",,
,"06:53 (DP)",07:01:00,07:16:00,07:33:00,,"07:47 (BH)",
"07:06 (SL)",,07:14:00,07:29:00,07:46:00,"08:00 (LM)",,
"07:18 (SL)",,07:26:00,07:41:00,07:59:00,,"08:13 (BH)",
,"07:30 (DP)",07:38:00,07:53:00,08:12:00,"08:26 (LM)",,
"07:42 (SL)",,07:50:00,08:05:00,08:24:00,,"08:39 (BH)",
"07:55 (SL)",,08:03:00,08:18:00,08:37:00,"08:52 (LM)",,
,"08:07 (DP)",08:15:00,08:30:00,08:49:00,,"09:04 (BH)",
"08:19 (SL)",,08:27:00,08:42:00,09:01:00,"09:17 (LM)",,
"08:31 (SL)",,08:39:00,08:54:00,09:13:00,,"09:29 (BH)",
,"08:43 (DP)",08:51:00,09:06:00,09:25:00,"09:41 (LM)",,
"08:56 (SL)",,09:04:00,09:19:00,09:38:00,,"09:54 (BH)",
"09:09 (SL)",,09:17:00,09:32:00,09:51:00,"10:07 (LM)",,
,"09:22 (DP)",09:30:00,09:45:00,10:04:00,,"10:20 (BH)",
"09:35 (SL)",,09:43:00,09:58:00,10:17:00,"10:33 (LM)",,
"09:48 (SL)",,09:56:00,10:11:00,10:30:00,,"10:46 (BH)",
,"10:01 (DP)",10:09:00,10:24:00,10:43:00,"10:59 (LM)",,
"10:14 (SL)",,10:22:00,10:37:00,10:56:00,,"11:12 (BH)",
"10:27 (SL)",,10:35:00,10:50:00,11:09:00,"11:25 (LM)",,
,"10:40 (DP)",10:48:00,11:03:00,11:22:00,,"11:38 (BH)",
"10:52 (SL)",,11:00:00,11:15:00,11:34:00,"11:50 (LM)",,
"11:05 (SL)",,11:13:00,11:28:00,11:47:00,,"12:03 (BH)",
,"11:17 (DP)",11:25:00,11:40:00,11:59:00,"12:15 (LM)",,
"11:30 (SL)",,11:38:00,11:53:00,12:12:00,,"12:28 (BH)",
"11:43 (SL)",,11:51:00,12:06:00,12:25:00,"12:41 (LM)",,
,"11:56 (DP)",12:04:00,12:19:00,12:38:00,,"12:54 (BH)",
"12:09 (SL)",,12:17:00,12:32:00,12:51:00,"13:07 (LM)",,
"12:22 (SL)",,12:30:00,12:45:00,13:04:00,"13:20 (LM)",,
,"12:35 (DP)",12:43:00,12:58:00,13:17:00,,"13:32 (BH)",
"12:53 (SL)",,13:01:00,13:16:00,13:35:00,"13:50 (LM)",,
,"13:11 (DP)",13:19:00,13:34:00,13:53:00,,"14:08 (BH)",
"13:29 (SL)",,13:37:00,13:52:00,14:11:00,"14:26 (LM)",,
"13:47 (SL)",,13:55:00,14:10:00,14:29:00,,"14:44 (BH)",
,"14:05 (DP)",14:13:00,14:28:00,14:47:00,"15:02 (LM)",,
"14:23 (SL)",,14:31:00,14:46:00,15:05:00,,"15:20 (BH)",
"14:41 (SL)",,14:49:00,15:04:00,15:23:00,"15:38 (LM)",,
,"14:59 (DP)",15:07:00,15:22:00,15:41:00,,"15:56 (BH)",
"15:16 (SL)",,15:24:00,15:39:00,15:58:00,"16:13 (LM)",,
"15:28 (SL)",,15:36:00,15:51:00,16:10:00,,"16:25 (BH)",
,"15:40 (DP)",15:48:00,16:03:00,16:22:00,"16:38 (LM)",,
"15:52 (SL)",,16:00:00,16:15:00,16:34:00,,"16:50 (BH)",
"16:05 (SL)",,16:13:00,16:28:00,16:47:00,"17:03 (LM)",,
,"16:18 (DP)",16:26:00,16:41:00,17:00:00,,"17:16 (BH)",
"16:31 (SL)",,16:39:00,16:54:00,17:13:00,"17:29 (LM)",,
,"16:44 (DP)",16:52:00,17:07:00,17:26:00,,"17:42 (BH)",
"16:57 (SL)",,17:05:00,17:20:00,17:39:00,"17:55 (LM)",,
"17:10 (SL)",,17:18:00,17:33:00,17:52:00,,"18:08 (BH)",
,"17:23 (DP)",17:31:00,17:46:00,18:05:00,"18:21 (LM)",,
"17:35 (SL)",,17:43:00,17:58:00,18:17:00,,"18:33 (BH)",
"17:48 (SL)",,17:56:00,18:11:00,18:30:00,"18:46 (LM)",,
,"18:00 (DP)",18:08:00,18:23:00,18:42:00,,"18:58 (BH)",
"18:13 (SL)",,18:21:00,18:36:00,18:55:00,"19:11 (LM)",,
"18:26 (SL)",,18:34:00,18:49:00,19:08:00,,"19:24 (BH)",
,"18:39 (DP)",18:47:00,19:02:00,19:21:00,"19:37 (LM)",,
"18:52 (SL)",,19:00:00,19:15:00,19:34:00,,"19:50 (BH)",
"19:05 (SL)",,19:13:00,19:28:00,19:47:00,"20:03 (LM)",,
,"19:18 (DP)",19:26:00,19:41:00,20:00:00,,"20:16 (BH)",
"19:31 (SL)",,19:39:00,19:54:00,20:13:00,"20:29 (LM)",,
"19:43 (SL)",,19:51:00,20:05:00,20:24:00,"20:40 (LM)",,
,"20:00 (DP)",20:07:00,20:21:00,20:40:00,,"20:55 (BH)",
"20:18 (SL)",,20:25:00,20:39:00,20:57:00,"21:11 (LM)",,
"20:36 (SL)",,20:43:00,20:57:00,21:15:00,,"21:29 (BH)",
,"20:55 (DP)",21:02:00,21:16:00,21:34:00,"21:48 (LM)",,
"21:14 (SL)",,21:21:00,21:35:00,21:53:00,,"22:06 (BH)",
,"21:33 (DP)",21:40:00,21:54:00,22:10:00,"22:23 (LM)",,
"21:52 (SL)",,21:59:00,22:09:00,22:23:00,,"22:36 (BH)",
,"22:10 (DP)",22:17:00,22:27:00,22:41:00,"22:54 (LM)",,
"22:30 (SL)",,22:37:00,22:47:00,23:01:00,,"23:14 (BH)",
