"La Milagrosa","Barrio hernandarias","Terminal de Omnibus","Plaza 1º de Mayo","Plaza Alvear","Divida providencia","Santa Lucia","Comments"
46,45,49,50,51,48,47,
,"05:20 (BH)",05:32:00,05:36:00,05:42:00,"06:00 (DP)",,
"05:35 (LM)",,05:48:00,05:52:00,05:58:00,,"06:17 (SL)",
,"05:50 (BH)",06:04:00,06:08:00,06:14:00,"06:34 (DP)",,
"06:07 (LM)",,06:21:00,06:25:00,06:31:00,,"06:51 (SL)",
"06:18 (LM)",,06:34:00,06:38:00,06:45:00,"07:06 (DP)",,
,"06:30 (BH)",06:46:00,06:50:00,06:57:00,,"07:18 (SL)",
"06:43 (LM)",,06:59:00,07:03:00,07:10:00,,"07:32 (SL)",
,"07:00 (BH)",07:16:00,07:20:00,07:27:00,"07:49 (DP)",,
"07:13 (LM)",,07:29:00,07:33:00,07:40:00,,"08:02 (SL)",
,"07:25 (BH)",07:41:00,07:45:00,07:52:00,,"08:14 (SL)",
"07:38 (LM)",,07:54:00,07:58:00,08:05:00,"08:27 (DP)",,
,"07:51 (BH)",08:07:00,08:11:00,08:18:00,,"08:40 (SL)",
"08:04 (LM)",,08:20:00,08:24:00,08:31:00,,"08:53 (SL)",
,"08:17 (BH)",08:33:00,08:37:00,08:44:00,"09:07 (DP)",,
"08:30 (LM)",,08:46:00,08:50:00,08:57:00,,"09:20 (SL)",
,"08:43 (BH)",08:59:00,09:03:00,09:10:00,,"09:33 (SL)",
"08:55 (LM)",,09:11:00,09:15:00,09:22:00,"09:46 (DP)",,
,"09:08 (BH)",09:24:00,09:28:00,09:35:00,,"09:59 (SL)",
"09:21 (LM)",,09:37:00,09:41:00,09:48:00,,"10:12 (SL)",
,"09:33 (BH)",09:49:00,09:53:00,10:00:00,"10:24 (DP)",,
"09:45 (LM)",,10:01:00,10:05:00,10:12:00,,"10:36 (SL)",
,"09:58 (BH)",10:14:00,10:18:00,10:25:00,,"10:49 (SL)",
"10:11 (LM)",,10:27:00,10:31:00,10:38:00,"11:02 (DP)",,
,"10:24 (BH)",10:40:00,10:44:00,10:51:00,,"11:15 (SL)",
"10:37 (LM)",,10:53:00,10:57:00,11:04:00,,"11:28 (SL)",
,"10:50 (BH)",11:06:00,11:10:00,11:17:00,"11:41 (DP)",,
"11:03 (LM)",,11:19:00,11:23:00,11:30:00,,"11:54 (SL)",
,"11:16 (BH)",11:32:00,11:36:00,11:43:00,,"12:07 (SL)",
"11:29 (LM)",,11:45:00,11:49:00,11:56:00,"12:20 (DP)",,
,"11:42 (BH)",11:58:00,12:02:00,12:09:00,,"12:33 (SL)",
"11:54 (LM)",,12:10:00,12:14:00,12:21:00,,"12:45 (SL)",
,"12:07 (BH)",12:23:00,12:27:00,12:34:00,"12:56 (DP)",,
"12:19 (LM)",,12:35:00,12:39:00,12:46:00,,"13:10 (SL)",
,"12:32 (BH)",12:48:00,12:52:00,12:59:00,,"13:23 (SL)",
"12:45 (LM)",,13:01:00,13:05:00,13:12:00,,"13:36 (SL)",
,"12:58 (BH)",13:14:00,13:18:00,13:25:00,"13:49 (DP)",,
"13:15 (LM)",,13:31:00,13:35:00,13:42:00,,"14:04 (SL)",
,"-","-","-","-","-",,
,"13:35 (BH)",13:51:00,13:55:00,14:02:00,,"14:24 (SL)",
"13:53 (LM)",,14:09:00,14:13:00,14:20:00,"14:42 (DP)",,
,"14:11 (BH)",14:27:00,14:31:00,14:38:00,,"15:00 (SL)",
"14:29 (LM)",,14:45:00,14:49:00,14:56:00,"15:18 (DP)",,
,"14:47 (BH)",15:03:00,15:07:00,15:14:00,,"15:36 (SL)",
"15:05 (LM)",,15:21:00,15:25:00,15:32:00,,"15:54 (SL)",
,"15:23 (BH)",15:39:00,15:43:00,15:50:00,"16:12 (DP)",,
"15:41 (LM)",,15:57:00,16:01:00,16:08:00,,"16:30 (SL)",
,"15:59 (BH)",16:15:00,16:19:00,16:26:00,,"16:48 (SL)",
"16:16 (LM)",,16:32:00,16:36:00,16:43:00,"17:05 (DP)",,
,"16:29 (BH)",16:45:00,16:49:00,16:56:00,,"17:19 (SL)",
"16:42 (LM)",,16:58:00,17:02:00,17:09:00,,"17:33 (SL)",
,"16:54 (BH)",17:10:00,17:14:00,17:21:00,"17:45 (DP)",,
"17:07 (LM)",,17:23:00,17:27:00,17:34:00,,"17:58 (SL)",
,"17:20 (BH)",17:36:00,17:40:00,17:47:00,,"18:11 (SL)",
"17:33 (LM)",,17:49:00,17:53:00,18:00:00,"18:24 (DP)",,
,"17:46 (BH)",18:02:00,18:06:00,18:13:00,,"18:37 (SL)",
"17:59 (LM)",,18:15:00,18:19:00,18:26:00,,"18:50 (SL)",
,"18:12 (BH)",18:28:00,18:32:00,18:39:00,"19:03 (DP)",,
"18:25 (LM)",,18:41:00,18:45:00,18:52:00,,"19:16 (SL)",
,"18:37 (BH)",18:53:00,18:57:00,19:04:00,,"19:28 (SL)",
"18:50 (LM)",,19:06:00,19:10:00,19:17:00,"19:41 (DP)",,
,"19:02 (BH)",19:18:00,19:22:00,19:29:00,,"19:53 (SL)",
"19:15 (LM)",,19:31:00,19:35:00,19:42:00,,"20:06 (SL)",
,"19:28 (BH)",19:44:00,19:48:00,19:55:00,"20:19 (DP)",,
"19:41 (LM)",,19:57:00,20:01:00,20:08:00,,"20:32 (SL)",
,"19:54 (BH)",20:10:00,20:14:00,20:21:00,"20:45 (DP)",,
"20:10 (LM)",,20:26:00,20:30:00,20:37:00,,"20:59 (SL)",
,"20:26 (BH)",20:42:00,20:46:00,20:53:00,"21:15 (DP)",,
"-",,"-","-","-","-",,
"20:42 (LM)",,20:58:00,21:02:00,21:09:00,,"21:31 (SL)",
,"20:59 (BH)",21:12:00,21:16:00,21:23:00,,"21:43 (SL)",
"21:12 (LM)",,21:25:00,21:29:00,21:35:00,"21:54 (DP)",,
,"21:32 (BH)",21:45:00,21:49:00,21:55:00,,"22:14 (SL)",
"21:50 (LM)",,22:02:00,22:06:00,22:12:00,,"22:30 (SL)",
,"22:10 (BH)",22:22:00,22:26:00,22:32:00,"22:50 (DP)",,
"22:30 (LM)",,22:42:00,22:46:00,22:52:00,,"23:10 (SL)",
,"-","-","-","-","-",,
"-",,"-","-","-","-",,
,"-","-","-","-","-",,
