"La Milagrosa","Barrio hernandarias","Terminal de Omnibus","Plaza 1º de Mayo","Plaza Alvear","Divida providencia","Cementerio Solar del Rio","Santa Lucia","Comments"
46,45,49,50,51,48,52,47,
"05:30 (LM)",,05:42:00,05:46:00,05:52:00,"06:10 (DP)",,,
,"05:50 (BH)",06:02:00,06:06:00,06:12:00,,,"06:30 (SL)",
"06:07 (LM)",,06:20:00,06:24:00,06:30:00,,,"06:48 (SL)",
,"06:20 (BH)",06:33:00,06:37:00,06:43:00,,,"07:01 (SL)",
"06:35 (LM)",,06:49:00,06:53:00,07:00:00,"07:18 (DP)",,,
,"06:51 (BH)",07:05:00,07:09:00,07:16:00,,,"07:34 (SL)",
"07:06 (LM)",,07:21:00,07:25:00,07:32:00,"07:50 (DP)",,,
,"07:21 (BH)",07:36:00,07:40:00,07:48:00,,,"08:06 (SL)",
"07:37 (LM)",,07:52:00,07:56:00,08:04:00,,,"08:22 (SL)",
,"07:52 (BH)",08:07:00,08:11:00,08:19:00,"08:38 (DP)",,,
"08:08 (LM)",,08:23:00,08:27:00,08:35:00,,,"08:54 (SL)",
,"08:23 (BH)",08:38:00,08:42:00,08:50:00,,,"09:10 (SL)",
"08:39 (LM)",,08:54:00,08:58:00,09:06:00,,"09:27 (SR)",,
,"08:54 (BH)",09:09:00,09:13:00,09:21:00,,,"09:42 (SL)",
"09:11 (LM)",,09:26:00,09:30:00,09:38:00,,,"10:00 (SL)",
,"09:26 (BH)",09:41:00,09:45:00,09:53:00,,"10:15 (SR)",,
"09:41 (LM)",,09:56:00,10:00:00,10:08:00,,,"10:30 (SL)",
,"09:56 (BH)",10:11:00,10:15:00,10:23:00,,,"10:45 (SL)",
"10:11 (LM)",,10:26:00,10:30:00,10:38:00,"11:00 (DP)",,,
,"10:26 (BH)",10:41:00,10:45:00,10:53:00,,,"11:15 (SL)",
"10:41 (LM)",,10:56:00,11:00:00,11:08:00,,,"11:30 (SL)",
,"10:56 (BH)",11:11:00,11:15:00,11:23:00,"11:45 (DP)",,,
"11:11 (LM)",,11:26:00,11:30:00,11:38:00,,,"12:00 (SL)",
,"11:26 (BH)",11:41:00,11:45:00,11:53:00,,,"12:15 (SL)",
"11:41 (LM)",,11:56:00,12:00:00,12:08:00,"12:30 (DP)",,,
,"11:56 (BH)",12:11:00,12:15:00,12:23:00,,,"12:45 (SL)",
"12:11 (LM)",,12:26:00,12:30:00,12:38:00,,,"13:00 (SL)",
,"12:26 (BH)",12:41:00,12:45:00,12:53:00,"13:15 (DP)",,,
"12:41 (LM)",,12:56:00,13:00:00,13:08:00,,,"13:30 (SL)",
,"12:56 (BH)",13:11:00,13:15:00,13:23:00,,,"13:45 (SL)",
"13:11 (LM)",,13:26:00,13:30:00,13:38:00,"14:00 (DP)",,,
,"13:26 (BH)",13:41:00,13:45:00,13:53:00,,,"14:15 (SL)",
"13:41 (LM)",,13:56:00,14:00:00,14:08:00,,,"14:30 (SL)",
,"13:56 (BH)",14:11:00,14:15:00,14:23:00,"14:45 (DP)",,,
"14:11 (LM)",,14:26:00,14:30:00,14:38:00,,,"15:00 (SL)",
,"14:26 (BH)",14:41:00,14:45:00,14:53:00,,,"15:15 (SL)",
"14:41 (LM)",,14:56:00,15:00:00,15:08:00,"15:30 (DP)",,,
,"14:56 (BH)",15:11:00,15:15:00,15:23:00,,,"15:45 (SL)",
"15:11 (LM)",,15:26:00,15:30:00,15:38:00,,,"16:00 (SL)",
,"15:26 (BH)",15:41:00,15:45:00,15:53:00,,"16:15 (SR)",,
"15:41 (LM)",,15:56:00,16:00:00,16:08:00,,,"16:30 (SL)",
,"15:56 (BH)",16:11:00,16:15:00,16:23:00,,,"16:45 (SL)",
"16:11 (LM)",,16:26:00,16:30:00,16:38:00,,"17:00 (SR)",,
,"16:26 (BH)",16:41:00,16:45:00,16:53:00,,,"17:15 (SL)",
"16:41 (LM)",,16:56:00,17:00:00,17:08:00,,,"17:30 (SL)",
,"16:56 (BH)",17:11:00,17:15:00,17:23:00,"17:45 (DP)",,,
"17:11 (LM)",,17:26:00,17:30:00,17:38:00,,,"18:00 (SL)",
,"17:26 (BH)",17:41:00,17:45:00,17:53:00,,,"18:15 (SL)",
"17:41 (LM)",,17:56:00,18:00:00,18:08:00,"18:30 (DP)",,,
,"17:56 (BH)",18:11:00,18:15:00,18:23:00,,,"18:45 (SL)",
"18:11 (LM)",,18:26:00,18:30:00,18:38:00,,,"19:00 (SL)",
,"18:26 (BH)",18:41:00,18:45:00,18:53:00,"19:15 (DP)",,,
"18:41 (LM)",,18:56:00,19:00:00,19:08:00,,,"19:30 (SL)",
,"18:56 (BH)",19:11:00,19:15:00,19:23:00,,,"19:45 (SL)",
"19:11 (LM)",,19:25:00,19:29:00,19:37:00,"19:58 (DP)",,,
,"19:26 (BH)",19:40:00,19:44:00,19:51:00,,,"20:11 (SL)",
"19:41 (LM)",,19:55:00,19:59:00,20:06:00,,,"20:25 (SL)",
,"19:55 (BH)",20:09:00,20:13:00,20:20:00,"20:37 (DP)",,,
"20:09 (LM)",,20:23:00,20:27:00,20:34:00,,,"20:53 (SL)",
,"20:25 (BH)",20:39:00,20:43:00,20:50:00,"21:09 (DP)",,,
"20:46 (LM)",,21:00:00,21:04:00,21:11:00,,,"21:29 (SL)",
,"-","-","-","-","-",,,
,"21:08 (BH)",21:22:00,21:26:00,21:33:00,"21:50 (DP)",,,
"21:30 (LM)",,21:44:00,21:48:00,21:55:00,,,"22:12 (SL)",
,"21:50 (BH)",22:04:00,22:08:00,22:15:00,"22:31 (DP)",,,
"22:05 (LM)",,22:19:00,22:23:00,22:30:00,,,"22:47 (SL)",
,"-","-","-","-","-",,,
