"I.N.T.A.","Esc. Alberdi ","Facultad de Informática","Terminal de Omnibus","Hospital de Niños","Comments"
57,53,54,55,56,
"4:55 (2)",,"04:59:00","05:23:00","05:29:00",
,"5:30 (1)","-","05:59:00","06:05:00",
,"-","-","-","-",
,"5:55 (1)","-","06:25:00","06:31:00",
"6:15 (2)",,"06:19:00","06:46:00","06:52:00",
,"6:34 (1)","-","07:06:00","07:12:00",
,"6:53 (1)","-","07:25:00","07:31:00",
"7:12 (2)",,"07:16:00","07:44:00","07:50:00",
,"7:30 (1)","07:34:00","08:03:00","08:09:00",
,"7:48 (1)","07:52:00","08:21:00","08:27:00",
,"8:07 (1)","08:11:00","08:40:00","08:46:00",
"8:26 (2)",,"08:30:00","08:59:00","09:05:00",
,"8:45 (1)","08:49:00","09:18:00","09:24:00",
"9:04 (2)",,"09:08:00","09:37:00","09:43:00",
,"9:23 (1)","09:27:00","09:56:00","10:02:00",
,"9:42 (1)","09:46:00","10:15:00","10:21:00",
"10:01 (2)",,"10:05:00","10:34:00","10:40:00",
,"10:20 (1)","10:24:00","10:53:00","10:59:00",
,"10:39 (1)","10:43:00","11:12:00","11:18:00",
"10:58 (2)",,"11:02:00","11:31:00","11:37:00",
,"11:17 (1)","11:21:00","11:50:00","11:56:00",
,"11:36 (1)","11:40:00","12:09:00","12:15:00",
"11:55 (2)",,"11:59:00","12:28:00","12:34:00",
,"12:14 (1)","-","12:46:00","12:52:00",
,"12:33 (1)","12:37:00","13:06:00","13:12:00",
"12:52 (2)",,"12:56:00","13:25:00","13:31:00",
,"13:11 (1)","13:15:00","13:44:00","13:50:00",
,"13:30 (1)","13:34:00","14:03:00","14:09:00",
,"13:49 (1)","13:53:00","14:22:00","14:28:00",
"14:08 (2)",,"14:12:00","14:41:00","14:47:00",
,"14:27 (1)","14:31:00","15:00:00","15:06:00",
"14:46 (2)",,"14:50:00","15:19:00","15:25:00",
,"15:05 (1)","15:09:00","15:38:00","15:44:00",
,"15:24 (1)","15:28:00","15:57:00","16:03:00",
"15:43 (2)",,"15:47:00","16:16:00","16:22:00",
,"16:02 (1)","16:06:00","16:35:00","16:41:00",
"16:21 (2)",,"16:25:00","16:54:00","17:00:00",
,"16:41 (1)","-","17:13:00","17:19:00",
,"16:59 (1)","17:03:00","17:32:00","17:38:00",
"17:18 (2)",,"17:22:00","17:51:00","17:57:00",
,"17:37 (1)","17:41:00","18:10:00","18:16:00",
,"17:56 (1)","18:00:00","18:29:00","18:35:00",
"18:15 (2)",,"18:19:00","18:48:00","18:54:00",
,"18:34 (1)","18:38:00","19:07:00","19:13:00",
,"18:53 (1)","18:57:00","19:26:00","19:32:00",
"19:12 (2)",,"19:16:00","19:45:00","19:51:00",
,"19:31 (1)","19:35:00","20:04:00","20:10:00",
,"19:50 (1)","19:54:00","20:23:00","20:29:00",
"20:15 (2)",,"20:19:00","20:47:00","20:53:00",
,"20:55 (1)","20:59:00","21:27:00","21:33:00",
"21:35 (2)",,"21:39:00","22:06:00","22:12:00",
,"22:20 (1)","22:24:00","22:51:00","22:57:00",
