"Plaza Alberdi","Facultad de Informática","(4) a Est. I.N.T.A.","(3) a Esc. Alberdi
"
58,54,57,53
05:36:00,06:02:00,"6:06 (4)",
06:12:00,06:38:00,,"6:42 (3)"
06:20:00,06:46:00,,"6:50 (3)"
06:39:00,07:05:00,,"7:09 (3)"
07:00:00,07:28:00,,"7:32 (3)"
07:20:00,07:48:00,,"7:52 (3)"
07:39:00,08:07:00,"8:11 (4)",
07:58:00,08:26:00,,"8:30 (3)"
08:17:00,08:45:00,"8:49 (4)",
08:35:00,09:04:00,,"9:08 (3)"
08:54:00,09:23:00,,"9:27 (3)"
09:13:00,09:42:00,"9:46 (4)",
09:32:00,10:01:00,,"10:05 (3)"
09:51:00,10:20:00,,"10:24 (3)"
10:10:00,10:39:00,"10:43 (4)",
10:29:00,10:58:00,,"11:02 (3)"
10:48:00,11:17:00,,"11:21 (3)"
11:07:00,11:36:00,"11:40 (4)",
11:26:00,11:55:00,,"11:59 (3)"
11:45:00,12:14:00,,"12:18 (3)"
12:04:00,12:33:00,"12:37 (4)",
12:23:00,12:52:00,,"12:56 (3)"
12:42:00,13:11:00,,"13:15 (3)"
13:00:00,13:29:00,,"13:33 (3)"
13:20:00,13:49:00,"13:53 (4)",
13:39:00,14:08:00,,"14:12 (3)"
13:58:00,14:27:00,"14:31 (4)",
14:17:00,14:46:00,,"14:50 (3)"
14:36:00,15:05:00,,"15:09 (3)"
14:55:00,15:24:00,"15:28 (4)",
15:14:00,15:43:00,,"15:47 (3)"
15:33:00,16:02:00,"16:06 (4)",
15:52:00,16:21:00,,"16:25 (3)"
16:11:00,16:40:00,,"16:44 (3)"
16:30:00,16:59:00,"17:03 (4)",
16:49:00,17:18:00,,"17:22 (3)"
17:08:00,17:37:00,,"17:41 (3)"
17:27:00,17:56:00,"18:00 (4)",
17:46:00,18:15:00,,"18:19 (3)"
18:05:00,18:34:00,,"18:38 (3)"
18:24:00,18:53:00,"18:57 (4)",
18:43:00,19:12:00,,"19:16 (3)"
19:02:00,19:31:00,,"19:35 (3)"
19:21:00,19:50:00,"19:54 (4)",
19:40:00,20:09:00,,"20:13 (3)"
19:59:00,20:28:00,,"20:32 (3)"
20:18:00,20:47:00,,"20:51 (3)"
20:37:00,21:06:00,"21:10 (4)",
21:00:00,21:28:00,,"21:32 (3)"
21:40:00,22:07:00,,"22:10 (3)"
22:18:00,22:45:00,,"22:48 (3)"
23:00:00,"-",,"-"
