"Barrio Policial","Churruarin y Rondeau","5 Esquinas","Plaza 1ro de Mayo","Hospital Roballos / Toma Nueva","Comments"
30,31,32,33,34,
"05:25:00","05:36:00","05:41:00","05:45:00","05:57:00",
"05:45:00","05:57:00","06:02:00","06:06:00","06:25:00",
"06:04:00","06:16:00","06:21:00","06:25:00","06:44:00",
"06:22:00","06:34:00","06:39:00","06:43:00","07:02:00",
"06:40:00","06:52:00","06:57:00","07:01:00","07:20:00",
"06:57:00","07:09:00","07:14:00","07:18:00","07:37:00",
"07:13:00","07:25:00","07:30:00","07:34:00","07:53:00",
"07:29:00","07:41:00","07:46:00","07:50:00","08:09:00",
"07:44:00","07:56:00","08:01:00","08:05:00","08:24:00",
"07:58:00","08:11:00","08:16:00","08:20:00","08:39:00",
"08:13:00","08:26:00","08:31:00","08:35:00","08:54:00",
"08:28:00","08:41:00","08:47:00","08:51:00","09:10:00",
"08:41:00","08:54:00","09:01:00","09:07:00","09:26:00",
"08:56:00","09:10:00","09:17:00","09:23:00","09:44:00",
"09:12:00","09:26:00","09:33:00","09:39:00","10:00:00",
"09:28:00","09:42:00","09:49:00","09:55:00","10:16:00",
"09:44:00","09:58:00","10:05:00","10:11:00","10:32:00",
"10:00:00","10:14:00","10:21:00","10:27:00","10:48:00",
"10:17:00","10:31:00","10:38:00","10:44:00","11:05:00",
"10:33:00","10:47:00","10:54:00","11:00:00","11:21:00",
"10:49:00","11:03:00","11:10:00","11:16:00","11:37:00",
"11:06:00","11:20:00","11:27:00","11:33:00","11:54:00",
"11:23:00","11:37:00","11:44:00","11:50:00","12:11:00",
"11:39:00","11:53:00","12:00:00","12:06:00","12:27:00",
"11:56:00","12:10:00","12:17:00","12:23:00","12:44:00",
"12:12:00","12:26:00","12:33:00","12:39:00","13:00:00",
"12:28:00","12:42:00","12:49:00","12:55:00","13:16:00",
"12:51:00","13:05:00","13:12:00","13:18:00","13:39:00",
"13:14:00","13:28:00","13:35:00","13:41:00","14:02:00",
"13:37:00","13:51:00","13:58:00","14:04:00","14:25:00",
"14:00:00","14:14:00","14:21:00","14:27:00","14:48:00",
"14:23:00","14:37:00","14:44:00","14:50:00","15:11:00",
"14:46:00","15:00:00","15:07:00","15:13:00","15:34:00",
"15:09:00","15:23:00","15:30:00","15:36:00","15:57:00",
"15:32:00","15:46:00","15:53:00","15:59:00","16:20:00",
"15:55:00","16:09:00","16:16:00","16:22:00","16:43:00",
"16:10:00","16:24:00","16:31:00","16:37:00","16:58:00",
"16:23:00","16:37:00","16:44:00","16:50:00","17:11:00",
"16:36:00","16:50:00","16:57:00","17:03:00","17:24:00",
"16:49:00","17:03:00","17:10:00","17:16:00","17:37:00",
"17:02:00","17:16:00","17:23:00","17:29:00","17:50:00",
"17:15:00","17:29:00","17:36:00","17:42:00","18:03:00",
"17:28:00","17:42:00","17:49:00","17:55:00","18:16:00",
"17:41:00","17:55:00","18:02:00","18:08:00","18:29:00",
"17:54:00","18:08:00","18:15:00","18:21:00","18:42:00",
"18:07:00","18:21:00","18:28:00","18:34:00","18:55:00",
"18:20:00","18:34:00","18:41:00","18:47:00","19:08:00",
"18:33:00","18:47:00","18:54:00","19:00:00","19:21:00",
"18:46:00","19:00:00","19:07:00","19:13:00","19:34:00",
"19:00:00","19:14:00","19:21:00","19:27:00","19:48:00",
"19:14:00","19:28:00","19:35:00","19:41:00","20:02:00",
"19:28:00","19:42:00","19:49:00","19:55:00","20:16:00",
"19:42:00","19:56:00","20:03:00","20:09:00","20:30:00",
"19:56:00","20:10:00","20:17:00","20:23:00","20:44:00",
"20:10:00","20:24:00","20:31:00","20:37:00","20:58:00",
"20:25:00","20:39:00","20:46:00","20:52:00","21:13:00",
"20:40:00","20:54:00","21:01:00","21:07:00","21:28:00",
"20:57:00","21:11:00","21:18:00","21:24:00","21:45:00",
"21:15:00","21:29:00","21:36:00","21:42:00","22:03:00",
"21:34:00","21:47:00","21:54:00","22:00:00","22:21:00",
"21:56:00","22:09:00","22:15:00","22:21:00","22:42:00",
"22:20:00","22:33:00","22:39:00","22:45:00","23:05:00",
"22:45:00","22:58:00","23:04:00","23:10:00","23:30:00",
"23:10:00","23:23:00","23:29:00","23:35:00","23:55:00",
"23:35:00","23:47:00","23:52:00","23:56:00","00:15:00",
"00:00:00","00:12:00","00:17:00","00:21:00","00:40:00",
"-","-","-","-","-",
