"Hospital Roballos / Toma Nueva","Plaza Alvear","5 Esquinas","Churruarin y Rondeau","Barrio Policial","Comments"
34,35,32,31,30,
"06:00:00","06:10:00","06:18:00","06:23:00","06:32:00",
"06:25:00","06:43:00","06:51:00","06:56:00","07:05:00",
"06:45:00","07:03:00","07:11:00","07:16:00","07:25:00",
"07:05:00","07:23:00","07:31:00","07:36:00","07:45:00",
"07:24:00","07:42:00","07:50:00","07:55:00","08:04:00",
"07:41:00","07:59:00","08:07:00","08:12:00","08:21:00",
"07:58:00","08:16:00","08:24:00","08:29:00","08:38:00",
"08:14:00","08:32:00","08:41:00","08:46:00","08:55:00",
"08:30:00","08:48:00","08:58:00","09:03:00","09:12:00",
"08:46:00","09:04:00","09:15:00","09:20:00","09:29:00",
"09:01:00","09:19:00","09:31:00","09:36:00","09:46:00",
"09:15:00","09:33:00","09:45:00","09:51:00","10:02:00",
"09:30:00","09:48:00","10:00:00","10:06:00","10:18:00",
"09:46:00","10:04:00","10:16:00","10:22:00","10:34:00",
"10:03:00","10:21:00","10:33:00","10:39:00","10:51:00",
"10:20:00","10:38:00","10:50:00","10:56:00","11:08:00",
"10:36:00","10:54:00","11:06:00","11:12:00","11:24:00",
"10:53:00","11:11:00","11:23:00","11:29:00","11:41:00",
"11:09:00","11:27:00","11:39:00","11:45:00","11:57:00",
"11:25:00","11:43:00","11:55:00","12:01:00","12:13:00",
"11:42:00","12:00:00","12:12:00","12:18:00","12:30:00",
"11:59:00","12:17:00","12:29:00","12:35:00","12:47:00",
"12:16:00","12:34:00","12:46:00","12:52:00","13:04:00",
"12:32:00","12:50:00","13:02:00","13:08:00","13:20:00",
"12:48:00","13:06:00","13:18:00","13:24:00","13:36:00",
"13:05:00","13:23:00","13:35:00","13:41:00","13:53:00",
"13:21:00","13:39:00","13:50:00","13:56:00","14:08:00",
"13:44:00","14:02:00","14:12:00","14:18:00","14:30:00",
"14:07:00","14:25:00","14:35:00","14:41:00","14:53:00",
"14:30:00","14:48:00","14:58:00","15:04:00","15:16:00",
"14:53:00","15:11:00","15:21:00","15:27:00","15:39:00",
"15:16:00","15:34:00","15:44:00","15:50:00","16:02:00",
"15:39:00","15:57:00","16:07:00","16:13:00","16:25:00",
"16:02:00","16:20:00","16:30:00","16:36:00","16:48:00",
"16:25:00","16:43:00","16:53:00","16:59:00","17:11:00",
"16:48:00","17:06:00","17:16:00","17:22:00","17:34:00",
"17:03:00","17:21:00","17:32:00","17:38:00","17:50:00",
"17:16:00","17:34:00","17:46:00","17:52:00","18:04:00",
"17:29:00","17:47:00","17:59:00","18:05:00","18:17:00",
"17:42:00","18:00:00","18:12:00","18:18:00","18:30:00",
"17:55:00","18:13:00","18:25:00","18:31:00","18:43:00",
"18:08:00","18:26:00","18:38:00","18:44:00","18:56:00",
"18:21:00","18:39:00","18:51:00","18:57:00","19:09:00",
"18:34:00","18:52:00","19:04:00","19:10:00","19:22:00",
"18:47:00","19:05:00","19:17:00","19:23:00","19:35:00",
"19:00:00","19:18:00","19:30:00","19:36:00","19:48:00",
"19:13:00","19:31:00","19:43:00","19:49:00","20:01:00",
"19:26:00","19:44:00","19:56:00","20:02:00","20:14:00",
"19:39:00","19:57:00","20:09:00","20:15:00","20:27:00",
"19:53:00","20:11:00","20:23:00","20:29:00","20:41:00",
"20:07:00","20:25:00","20:37:00","20:43:00","20:55:00",
"20:21:00","20:39:00","20:51:00","20:57:00","21:09:00",
"20:35:00","20:53:00","21:05:00","21:11:00","21:23:00",
"20:49:00","21:07:00","21:19:00","21:25:00","21:37:00",
"21:03:00","21:21:00","21:33:00","21:39:00","21:51:00",
"21:18:00","21:36:00","21:48:00","21:54:00","22:06:00",
"21:33:00","21:51:00","22:03:00","22:09:00","22:21:00",
"21:50:00","22:08:00","22:20:00","22:26:00","22:38:00",
"22:07:00","22:25:00","22:37:00","22:43:00","22:55:00",
"22:26:00","22:44:00","22:55:00","23:01:00","23:13:00",
"22:47:00","23:05:00","23:16:00","23:22:00","23:34:00",
"23:10:00","23:27:00","23:36:00","23:41:00","23:49:00",
"23:35:00","23:52:00","00:01:00","00:06:00","00:14:00",
"00:00:00","00:17:00","00:26:00","00:31:00","00:39:00",
"-","-","-","-","-",
"-","-","-","-","-",
"-","-","-","-","-",
