"Barrio Policial","Churruarin y Rondeau","5 Esquinas","Plaza 1ro de Mayo","Hospital Roballos / Toma Nueva","Comments"
30,31,32,33,34,
04:35:00,04:47:00,04:52:00,04:56:00,05:12:00,
04:50:00,05:02:00,05:07:00,05:11:00,05:35:00,
05:05:00,05:18:00,05:23:00,05:28:00,05:53:00,
05:20:00,05:31:00,05:37:00,05:42:00," ",
05:30:00,05:43:00,05:49:00,05:54:00,06:19:00,
05:41:00,05:53:00,05:59:00,06:04:00," ",
05:52:00,06:04:00,06:11:00,06:17:00," ",
06:00:00,06:14:00,06:21:00,06:27:00,06:52:00,
06:07:00,06:19:00,06:26:00,06:32:00," ",
06:14:00,06:26:00,06:33:00,06:39:00," ",
06:20:00,06:32:00,06:39:00,06:45:00," ",
06:24:00,06:38:00,06:45:00,06:51:00,07:16:00,
06:32:00,06:44:00,06:51:00,06:57:00," ",
06:39:00,06:51:00,06:58:00,07:04:00," ",
06:45:00,06:57:00,07:04:00,07:10:00," ",
06:50:00,07:04:00,07:11:00,07:17:00,07:43:00,
06:57:00,07:09:00,07:16:00,07:22:00," ",
07:04:00,07:16:00,07:23:00,07:29:00," ",
07:10:00,07:22:00,07:29:00,07:35:00," ",
07:14:00,07:28:00,07:35:00,07:41:00,08:07:00,
07:22:00,07:34:00,07:41:00,07:47:00," ",
07:28:00,07:40:00,07:47:00,07:53:00," ",
07:34:00,07:46:00,07:53:00,07:59:00," ",
07:38:00,07:52:00,07:59:00,08:05:00,08:31:00,
07:45:00,07:57:00,08:04:00,08:10:00," ",
07:51:00,08:03:00,08:10:00,08:16:00," ",
07:57:00,08:09:00,08:16:00,08:22:00," ",
08:01:00,08:15:00,08:22:00,08:28:00,08:54:00,
08:09:00,08:21:00,08:28:00,08:34:00," ",
08:16:00,08:28:00,08:35:00,08:41:00," ",
08:23:00,08:35:00,08:42:00,08:48:00," ",
08:28:00,08:42:00,08:49:00,08:55:00,09:21:00,
08:35:00,08:47:00,08:54:00,09:00:00," ",
08:41:00,08:53:00,09:00:00,09:06:00," ",
08:47:00,08:59:00,09:06:00,09:12:00," ",
08:52:00,09:06:00,09:13:00,09:19:00,09:45:00,
08:59:00,09:11:00,09:18:00,09:24:00," ",
09:05:00,09:17:00,09:24:00,09:30:00," ",
09:11:00,09:23:00,09:30:00,09:36:00," ",
09:15:00,09:29:00,09:36:00,09:42:00,10:08:00,
09:23:00,09:35:00,09:42:00,09:48:00," ",
09:29:00,09:41:00,09:48:00,09:54:00," ",
09:35:00,09:47:00,09:54:00,10:00:00," ",
09:40:00,09:54:00,10:01:00,10:07:00,10:33:00,
09:47:00,09:59:00,10:06:00,10:12:00," ",
09:53:00,10:05:00,10:12:00,10:18:00," ",
09:59:00,10:11:00,10:18:00,10:24:00," ",
10:03:00,10:17:00,10:24:00,10:30:00,10:56:00,
10:11:00,10:23:00,10:30:00,10:36:00," ",
10:17:00,10:29:00,10:36:00,10:42:00," ",
10:23:00,10:35:00,10:42:00,10:48:00," ",
10:27:00,10:41:00,10:48:00,10:54:00,11:20:00,
10:35:00,10:47:00,10:54:00,11:00:00," ",
10:41:00,10:53:00,11:00:00,11:06:00," ",
10:47:00,10:59:00,11:06:00,11:12:00," ",
10:51:00,11:05:00,11:12:00,11:18:00,11:44:00,
10:59:00,11:11:00,11:18:00,11:24:00," ",
11:05:00,11:17:00,11:24:00,11:30:00," ",
11:11:00,11:23:00,11:30:00,11:36:00," ",
11:15:00,11:29:00,11:36:00,11:42:00,12:08:00,
11:23:00,11:35:00,11:42:00,11:48:00," ",
11:29:00,11:41:00,11:48:00,11:54:00," ",
11:35:00,11:47:00,11:54:00,12:00:00," ",
11:39:00,11:53:00,12:00:00,12:06:00,12:32:00,
11:47:00,11:59:00,12:06:00,12:12:00," ",
11:53:00,12:05:00,12:12:00,12:18:00," ",
11:59:00,12:11:00,12:18:00,12:24:00," ",
12:03:00,12:17:00,12:24:00,12:30:00,12:56:00,
12:11:00,12:23:00,12:30:00,12:36:00," ",
12:17:00,12:29:00,12:36:00,12:42:00," ",
12:23:00,12:35:00,12:42:00,12:48:00," ",
12:27:00,12:41:00,12:48:00,12:54:00,13:20:00,
12:35:00,12:47:00,12:54:00,13:00:00," ",
12:41:00,12:53:00,13:00:00,13:06:00," ",
12:47:00,12:59:00,13:06:00,13:12:00," ",
12:56:00,13:10:00,13:17:00,13:23:00,13:49:00,
13:08:00,13:20:00,13:26:00,13:32:00," ",
13:19:00,13:31:00,13:37:00,13:43:00," ",
13:28:00,13:42:00,13:48:00,13:54:00,14:20:00,
13:40:00,13:52:00,13:58:00,14:04:00," ",
13:51:00,14:03:00,14:09:00,14:15:00," ",
14:00:00,14:14:00,14:20:00,14:26:00,14:52:00,
14:12:00,14:24:00,14:30:00,14:36:00," ",
14:23:00,14:35:00,14:41:00,14:47:00," ",
14:32:00,14:46:00,14:52:00,14:58:00,15:24:00,
14:44:00,14:56:00,15:02:00,15:08:00," ",
14:55:00,15:07:00,15:13:00,15:19:00," ",
15:04:00,15:18:00,15:24:00,15:30:00,15:56:00,
15:16:00,15:28:00,15:34:00,15:40:00," ",
15:27:00,15:39:00,15:45:00,15:51:00," ",
15:36:00,15:50:00,15:56:00,16:02:00,16:28:00,
15:48:00,16:00:00,16:06:00,16:12:00," ",
15:59:00,16:11:00,16:17:00,16:23:00," ",
16:08:00,16:22:00,16:29:00,16:35:00,17:01:00,
16:15:00,16:27:00,16:34:00,16:40:00," ",
16:21:00,16:33:00,16:40:00,16:46:00," ",
16:27:00,16:39:00,16:46:00,16:52:00," ",
16:31:00,16:45:00,16:52:00,16:58:00,17:24:00,
16:39:00,16:51:00,16:58:00,17:04:00," ",
16:45:00,16:57:00,17:04:00,17:10:00," ",
16:51:00,17:03:00,17:10:00,17:16:00," ",
16:55:00,17:09:00,17:16:00,17:22:00,17:48:00,
17:03:00,17:15:00,17:22:00,17:28:00," ",
17:09:00,17:21:00,17:28:00,17:34:00," ",
17:15:00,17:27:00,17:34:00,17:40:00," ",
17:19:00,17:33:00,17:40:00,17:46:00,18:12:00,
17:27:00,17:39:00,17:46:00,17:52:00," ",
17:33:00,17:45:00,17:52:00,17:58:00," ",
17:39:00,17:51:00,17:58:00,18:04:00," ",
17:43:00,17:57:00,18:04:00,18:10:00,18:36:00,
17:51:00,18:03:00,18:10:00,18:16:00," ",
17:57:00,18:09:00,18:16:00,18:22:00," ",
18:03:00,18:15:00,18:22:00,18:28:00," ",
18:07:00,18:21:00,18:28:00,18:34:00,19:00:00,
18:15:00,18:27:00,18:34:00,18:40:00," ",
18:21:00,18:33:00,18:40:00,18:46:00," ",
18:27:00,18:39:00,18:46:00,18:52:00," ",
18:31:00,18:45:00,18:52:00,18:58:00,19:24:00,
18:39:00,18:51:00,18:58:00,19:04:00," ",
18:45:00,18:57:00,19:04:00,19:10:00," ",
18:51:00,19:03:00,19:10:00,19:16:00," ",
18:55:00,19:09:00,19:16:00,19:22:00,19:48:00,
19:03:00,19:15:00,19:22:00,19:28:00," ",
19:09:00,19:21:00,19:28:00,19:34:00," ",
19:15:00,19:27:00,19:34:00,19:40:00," ",
19:19:00,19:33:00,19:40:00,19:46:00,20:12:00,
19:27:00,19:39:00,19:46:00,19:52:00," ",
19:35:00,19:47:00,19:54:00,20:00:00," ",
19:43:00,19:55:00,20:02:00,20:08:00," ",
19:51:00,20:05:00,20:12:00,20:18:00,20:44:00,
19:58:00,20:10:00,20:17:00,20:23:00," ",
20:06:00,20:18:00,20:25:00,20:31:00," ",
20:15:00,20:27:00,20:34:00,20:40:00," ",
20:21:00,20:35:00,20:42:00,20:48:00,21:13:00,
20:29:00,20:41:00,20:48:00,20:54:00," ",
20:37:00,20:49:00,20:56:00,21:02:00," ",
20:46:00,20:58:00,21:05:00,21:11:00," ",
20:52:00,21:06:00,21:13:00,21:19:00,21:44:00,
21:02:00,21:14:00,21:21:00,21:27:00," ",
21:12:00,21:24:00,21:30:00,21:36:00," ",
21:20:00,21:33:00,21:39:00,21:45:00,22:10:00,
21:33:00,21:44:00,21:50:00,21:56:00," ",
21:45:00,21:56:00,22:02:00,22:08:00," ",
21:56:00,22:09:00,22:15:00,22:20:00,22:45:00,
22:10:00,22:21:00,22:27:00,22:32:00," ",
22:24:00,22:35:00,22:41:00,22:46:00," ",
22:37:00,22:50:00,22:56:00,23:01:00,23:25:00,
22:55:00,23:06:00,23:12:00,23:17:00," ",
23:13:00,23:25:00,23:30:00,23:35:00,23:58:00,
23:32:00,23:43:00,23:48:00,23:52:00,00:14:00,
00:00:00,00:11:00,00:16:00,00:20:00,00:39:00,
