"Barrio Policial","Churruarin y Rondeau","5 Esquinas","Plaza 1ro de Mayo","Hospital Roballos / Toma Nueva"
30,31,32,33,34
04:35:00,04:47:00,04:52:00,04:56:00,05:12:00
"-","-","-","-","-"
05:05:00,05:17:00,05:22:00,05:26:00,05:50:00
05:30:00,05:42:00,05:48:00,05:52:00,06:09:00
05:50:00,06:03:00,06:09:00,06:14:00,06:38:00
06:05:00,06:18:00,06:24:00,06:29:00,06:54:00
06:18:00,06:30:00,06:36:00,06:41:00," "
06:30:00,06:44:00,06:50:00,06:55:00,07:20:00
06:45:00,06:57:00,07:04:00,07:10:00," "
06:55:00,07:09:00,07:16:00,07:22:00,07:47:00
07:11:00,07:23:00,07:30:00,07:36:00," "
07:22:00,07:36:00,07:43:00,07:49:00,08:14:00
07:37:00,07:49:00,07:56:00,08:02:00," "
07:48:00,08:02:00,08:09:00,08:15:00,08:40:00
08:03:00,08:15:00,08:22:00,08:28:00," "
08:14:00,08:28:00,08:35:00,08:41:00,09:06:00
08:28:00,08:40:00,08:47:00,08:53:00," "
08:39:00,08:53:00,09:00:00,09:06:00,09:31:00
08:53:00,09:05:00,09:12:00,09:18:00," "
09:05:00,09:19:00,09:26:00,09:32:00,09:57:00
09:19:00,09:31:00,09:38:00,09:44:00," "
09:31:00,09:45:00,09:52:00,09:58:00,10:23:00
09:45:00,09:57:00,10:04:00,10:10:00," "
09:57:00,10:11:00,10:18:00,10:24:00,10:49:00
10:11:00,10:23:00,10:30:00,10:36:00," "
10:23:00,10:37:00,10:44:00,10:50:00,11:15:00
10:37:00,10:49:00,10:56:00,11:02:00," "
10:49:00,11:03:00,11:10:00,11:16:00,11:41:00
11:03:00,11:15:00,11:22:00,11:28:00," "
11:15:00,11:29:00,11:36:00,11:42:00,12:07:00
11:29:00,11:41:00,11:48:00,11:54:00," "
11:41:00,11:55:00,12:02:00,12:08:00,12:33:00
11:55:00,12:07:00,12:14:00,12:20:00," "
12:07:00,12:21:00,12:28:00,12:34:00,12:59:00
12:21:00,12:33:00,12:40:00,12:46:00," "
12:33:00,12:47:00,12:54:00,13:00:00,13:25:00
12:49:00,13:01:00,13:07:00,13:13:00," "
13:03:00,13:17:00,13:23:00,13:29:00,13:54:00
13:19:00,13:31:00,13:37:00,13:43:00," "
13:33:00,13:47:00,13:53:00,13:59:00,14:24:00
13:49:00,14:01:00,14:07:00,14:13:00," "
14:03:00,14:17:00,14:23:00,14:29:00,14:54:00
14:19:00,14:31:00,14:37:00,14:43:00," "
14:33:00,14:47:00,14:53:00,14:59:00,15:24:00
14:49:00,15:01:00,15:07:00,15:13:00," "
15:03:00,15:17:00,15:23:00,15:29:00,15:54:00
15:19:00,15:31:00,15:37:00,15:43:00," "
15:33:00,15:47:00,15:53:00,15:59:00,16:24:00
15:49:00,16:01:00,16:07:00,16:13:00," "
16:03:00,16:17:00,16:23:00,16:29:00,16:54:00
16:19:00,16:31:00,16:37:00,16:43:00," "
16:33:00,16:47:00,16:53:00,16:59:00,17:24:00
16:48:00,17:00:00,17:07:00,17:13:00," "
16:59:00,17:13:00,17:20:00,17:26:00,17:51:00
17:13:00,17:25:00,17:32:00,17:38:00," "
17:24:00,17:38:00,17:45:00,17:51:00,18:16:00
17:37:00,17:49:00,17:56:00,18:02:00," "
17:48:00,18:02:00,18:09:00,18:15:00,18:40:00
18:00:00,18:12:00,18:19:00,18:25:00," "
18:10:00,18:24:00,18:31:00,18:37:00,19:02:00
18:22:00,18:34:00,18:41:00,18:47:00," "
18:32:00,18:46:00,18:53:00,18:59:00,19:24:00
18:44:00,18:56:00,19:03:00,19:09:00," "
18:54:00,19:08:00,19:15:00,19:21:00,19:46:00
19:07:00,19:19:00,19:26:00,19:32:00," "
19:18:00,19:32:00,19:39:00,19:45:00,20:10:00
19:30:00,19:42:00,19:49:00,19:55:00," "
19:41:00,19:55:00,20:02:00,20:08:00,20:33:00
19:55:00,20:07:00,20:14:00,20:20:00," "
20:09:00,20:23:00,20:30:00,20:36:00,21:01:00
20:25:00,20:37:00,20:44:00,20:50:00," "
20:38:00,20:52:00,20:59:00,21:05:00,21:30:00
20:55:00,21:06:00,21:13:00,21:19:00," "
21:09:00,21:22:00,21:29:00,21:35:00,22:00:00
21:27:00,21:40:00,21:46:00,21:52:00,22:17:00
21:45:00,21:58:00,22:04:00,22:10:00,22:35:00
22:05:00,22:18:00,22:24:00,22:30:00,22:55:00
22:25:00,22:38:00,22:44:00,22:50:00,23:15:00
22:45:00,22:58:00,23:04:00,23:10:00,23:35:00
23:10:00,23:23:00,23:29:00,23:34:00,23:58:00
23:35:00,23:46:00,23:51:00,23:55:00,00:17:00
00:00:00,00:11:00,00:16:00,00:20:00,00:39:00
