"Hospital Roballos / Toma Nueva","Plaza Alvear","5 Esquinas","Churruarin y Rondeau","Barrio Policial","Comments"
34,35,32,31,30,
"05:15:00","05:32:00","05:40:00","05:45:00","05:55:00",
"05:40:00","05:57:00","06:05:00","06:10:00","06:20:00",
"05:50:00","06:14:00","06:24:00","06:29:00","06:40:00",
"06:12:00","06:30:00","06:40:00","06:45:00","06:56:00",
" ","06:48:00","06:58:00","07:03:00","07:12:00",
"06:39:00","07:06:00","07:16:00","07:21:00","07:32:00",
" ","07:17:00","07:27:00","07:32:00","07:42:00",
"07:03:00","07:30:00","07:41:00","07:46:00","07:57:00",
" ","07:43:00","07:53:00","07:58:00","08:08:00",
"07:28:00","07:56:00","08:07:00","08:12:00","08:24:00",
" ","08:09:00","08:20:00","08:26:00","08:36:00",
"07:52:00","08:20:00","08:32:00","08:38:00","08:50:00",
" ","08:35:00","08:47:00","08:53:00","09:03:00",
"08:18:00","08:46:00","08:58:00","09:04:00","09:16:00",
" ","09:00:00","09:12:00","09:18:00","09:28:00",
"08:44:00","09:12:00","09:24:00","09:30:00","09:42:00",
" ","09:25:00","09:37:00","09:43:00","09:53:00",
"09:10:00","09:38:00","09:50:00","09:56:00","10:08:00",
" ","09:51:00","10:03:00","10:09:00","10:19:00",
"09:36:00","10:04:00","10:16:00","10:22:00","10:34:00",
" ","10:17:00","10:29:00","10:35:00","10:45:00",
"10:02:00","10:30:00","10:42:00","10:48:00","11:00:00",
" ","10:43:00","10:55:00","11:01:00","11:11:00",
"10:28:00","10:56:00","11:08:00","11:14:00","11:26:00",
" ","11:09:00","11:21:00","11:27:00","11:37:00",
"10:54:00","11:22:00","11:34:00","11:40:00","11:52:00",
" ","11:35:00","11:47:00","11:53:00","12:03:00",
"11:20:00","11:48:00","12:00:00","12:06:00","12:18:00",
" ","12:01:00","12:13:00","12:19:00","12:29:00",
"11:46:00","12:14:00","12:26:00","12:32:00","12:44:00",
" ","12:27:00","12:39:00","12:45:00","12:55:00",
"12:12:00","12:40:00","12:52:00","12:58:00","13:10:00",
" ","12:53:00","13:05:00","13:11:00","13:21:00",
"12:36:00","13:04:00","13:16:00","13:22:00","13:34:00",
" ","13:20:00","13:32:00","13:38:00","13:48:00",
"13:06:00","13:34:00","13:46:00","13:52:00","14:04:00",
" ","13:50:00","14:01:00","14:07:00","14:17:00",
"13:36:00","14:04:00","14:16:00","14:22:00","14:34:00",
" ","14:20:00","14:31:00","14:37:00","14:47:00",
"14:07:00","14:35:00","14:46:00","14:52:00","15:04:00",
" ","14:50:00","15:01:00","15:07:00","15:17:00",
"14:37:00","15:05:00","15:16:00","15:22:00","15:34:00",
" ","15:20:00","15:31:00","15:37:00","15:47:00",
"15:07:00","15:35:00","15:46:00","15:52:00","16:04:00",
" ","15:50:00","16:01:00","16:07:00","16:17:00",
"15:37:00","16:05:00","16:16:00","16:21:00","16:33:00",
" ","16:20:00","16:31:00","16:37:00","16:47:00",
"16:07:00","16:35:00","16:46:00","16:52:00","17:04:00",
" ","16:50:00","17:01:00","17:07:00","17:17:00",
"16:37:00","17:05:00","17:16:00","17:21:00","17:33:00",
" ","17:20:00","17:32:00","17:38:00","17:48:00",
"17:05:00","17:33:00","17:45:00","17:51:00","18:03:00",
" ","17:45:00","17:57:00","18:03:00","18:13:00",
"17:29:00","17:57:00","18:09:00","18:15:00","18:27:00",
" ","18:09:00","18:21:00","18:27:00","18:37:00",
"17:53:00","18:21:00","18:33:00","18:39:00","18:51:00",
" ","18:32:00","18:44:00","18:50:00","19:00:00",
"18:17:00","18:45:00","18:57:00","19:03:00","19:15:00",
" ","18:54:00","19:06:00","19:12:00","19:22:00",
"18:40:00","19:06:00","19:18:00","19:24:00","19:36:00",
" ","19:16:00","19:28:00","19:34:00","19:44:00",
"19:02:00","19:28:00","19:40:00","19:46:00","19:58:00",
" ","19:39:00","19:51:00","19:57:00","20:07:00",
"19:24:00","19:51:00","20:03:00","20:09:00","20:21:00",
" ","20:02:00","20:14:00","20:20:00","20:30:00",
"19:47:00","20:12:00","20:23:00","20:28:00","20:40:00",
" ","20:27:00","20:39:00","20:44:00","20:54:00",
"20:14:00","20:42:00","20:54:00","21:00:00","21:12:00",
" ","20:57:00","21:09:00","21:15:00","21:24:00",
"20:44:00","21:12:00","21:24:00","21:30:00","21:42:00",
" ","21:26:00","21:37:00","21:42:00","21:50:00",
"21:14:00","21:42:00","21:54:00","21:59:00","22:10:00",
"21:37:00","22:02:00","22:13:00","22:19:00","22:30:00",
"22:00:00","22:26:00","22:37:00","22:42:00","22:54:00",
"22:20:00","22:46:00","22:57:00","23:02:00","23:14:00",
"22:40:00","23:06:00","23:17:00","23:22:00","23:34:00",
"23:00:00","23:25:00","23:36:00","23:41:00","23:51:00",
"23:20:00","23:45:00","23:55:00","00:00:00","00:10:00",
"23:40:00","00:05:00","00:15:00","00:20:00","00:30:00",
"00:00:00","00:24:00","00:33:00","00:38:00","00:48:00",
" ","-","-","-","-",
" ","-","-","-","-",
