"Barrio AATRA","Plaza 1ro de Mayo","WalMart","Comments"
9,16,15,
"-","-","-"," "
"05:25:00","05:49:00","05:56:00","Entra a Bº Mosconi"
"06:00:00","06:30:00","06:37:00","Por Av. Estrada"
"6:30 (1)","07:00:00","07:07:00","Entra a Bº Mosconi"
"07:00:00","07:30:00","07:39:00"," "
"07:35:00","08:05:00","08:15:00","Entra a Bº Mosconi"
"08:00:00","08:30:00","08:40:00","Por Av. Estrada"
"08:24:00","08:54:00","09:04:00","Entra a Bº Mosconi"
"08:48:00","09:18:00","09:28:00"," "
"9:12 (1)","09:42:00","09:52:00","Entra a Bº Mosconi"
"09:36:00","10:06:00","10:16:00","Por Av. Estrada"
"10:00:00","10:30:00","10:40:00","Entra a Bº Mosconi"
"10:24:00","10:54:00","11:04:00"," "
"10:48 (1)","11:18:00","11:28:00","Entra a Bº Mosconi"
"11:12:00","11:42:00","11:52:00","Por Av. Estrada"
"11:36:00","12:06:00","12:16:00","Entra a Bº Mosconi"
"12:00 (1)","12:30:00","12:40:00"," "
"12:30:00","13:00:00","13:10:00","Entra a Bº Mosconi"
"13:00:00","13:30:00","13:40:00","Por Av. Estrada"
"13:30:00","14:00:00","14:10:00","Entra a Bº Mosconi"
"14:00 (1)","14:30:00","14:40:00"," "
"14:30:00","15:00:00","15:10:00","Entra a Bº Mosconi"
"15:00:00","15:30:00","15:40:00","Por Av. Estrada"
"15:30:00","16:00:00","16:10:00","Entra a Bº Mosconi"
"16:00 (1)","16:30:00","16:40:00"," "
"16:30:00","17:00:00","17:10:00","Entra a Bº Mosconi"
"16:54 (1)","17:24:00","17:34:00","Por Av. Estrada"
"17:18:00","17:48:00","17:58:00","Entra a Bº Mosconi"
"17:42:00","18:12:00","18:22:00"," "
"18:06:00","18:36:00","18:46:00","Entra a Bº Mosconi"
"18:30 (1)","19:00:00","19:10:00","Por Av. Estrada"
"18:54:00","19:24:00","19:34:00","Entra a Bº Mosconi"
"19:18:00","19:48:00","19:58:00"," "
"19:42:00","20:12:00","20:22:00","Entra a Bº Mosconi"
"20:06 (1)","20:36:00","20:46:00","Por Av. Estrada"
"20:30:00","21:00:00","21:10:00","Entra a Bº Mosconi"
"21:00:00","21:30:00","21:40:00"," "
"21:30 (1)","22:00:00","22:10:00","Entra a Bº Mosconi"
"22:00:00","22:30:00","22:40:00","Por Av. Estrada"
"22:30:00","22:55:00","23:02:00","Entra a Bº Mosconi"
"22:55 (1)","23:20:00","23:27:00"," "
"23:20:00","23:45:00","23:52:00","Entra a Bº Mosconi"
"00:00:00","00:23:00","00:30:00"," "
