"Bajada Grande","WalMart","Cervantes y Cordoba","Barrio AATRA","comments"
16,15,14,9,
05:35:00,05:45:00,05:51:00,"6:19 (2)"," "
06:04:00,06:14:00,06:20:00,06:48:00,"Por Av. Estrada"
06:45:00,06:55:00,07:02:00,07:30:00,"Entra a Bº Mosconi"
07:18:00,07:30:00,07:37:00,08:06:00," "
07:50:00,08:04:00,08:11:00,"8:41 (2)","Entra a Bº Mosconi"
08:26:00,08:40:00,08:47:00,09:19:00,"Por Av. Estrada"
08:51:00,09:05:00,09:12:00,09:45:00,"Entra a Bº Mosconi"
09:15:00,09:29:00,09:36:00,10:09:00," "
09:39:00,09:53:00,10:00:00,"10:33 (2)","Entra a Bº Mosconi"
10:03:00,10:17:00,10:24:00,10:57:00,"Por Av. Estrada"
10:27:00,10:41:00,10:48:00,11:21:00,"Entra a Bº Mosconi"
10:51:00,11:05:00,11:12:00,"11:45 (2)"," "
11:15:00,11:29:00,11:36:00,12:09:00,"Por Av. Estrada"
11:39:00,11:53:00,12:00:00,12:33:00," "
12:03:00,12:17:00,12:24:00,"12:57 (2)","Entra a Bº Mosconi"
12:27:00,12:41:00,12:48:00,13:21:00," "
12:51:00,13:05:00,13:12:00,13:45:00,"Entra a Bº Mosconi"
13:21:00,13:35:00,13:42:00,"14:15 (2)","Por Av. Estrada"
13:51:00,14:05:00,14:12:00,14:45:00,"Entra a Bº Mosconi"
14:21:00,14:35:00,14:42:00,15:15:00," "
14:51:00,15:05:00,15:12:00,"15:45 (2)","Entra a Bº Mosconi"
15:21:00,15:35:00,15:42:00,16:15:00,"Por Av. Estrada"
15:51:00,16:05:00,16:12:00,"16:45 (2)","Entra a Bº Mosconi"
16:21:00,16:35:00,16:42:00,17:15:00," "
16:51:00,17:05:00,17:12:00,17:45:00,"Entra a Bº Mosconi"
17:21:00,17:35:00,17:42:00,"18:15 (2)","Por Av. Estrada"
17:45:00,17:59:00,18:06:00,18:39:00,"Entra a Bº Mosconi"
18:09:00,18:23:00,18:30:00,19:03:00," "
18:33:00,18:47:00,18:54:00,19:27:00,"Entra a Bº Mosconi"
18:57:00,19:11:00,19:18:00,"19:51 (2)","Por Av. Estrada"
19:21:00,19:35:00,19:42:00,20:15:00,"Entra a Bº Mosconi"
19:45:00,19:59:00,20:06:00,20:39:00," "
20:09:00,20:23:00,20:30:00,"21:03 (2)","Entra a Bº Mosconi"
20:33:00,20:47:00,20:54:00,21:27:00,"Por Av. Estrada"
20:57:00,21:11:00,21:18:00,21:51:00,"Entra a Bº Mosconi"
21:21:00,21:35:00,21:42:00,22:15:00," "
21:51:00,22:05:00,22:12:00,"22:45 (2)","Entra a Bº Mosconi"
22:21:00,22:35:00,22:42:00,23:15:00,"Por Av. Estrada"
22:51:00,23:05:00,23:12:00,23:45:00,"Entra a Bº Mosconi"
23:10:00,23:24:00,23:31:00,00:04:00," "
23:35:00,23:45:00,23:51:00,00:16:00,"Entra a Bº Mosconi"
00:00:00,00:10:00,00:16:00,00:41:00," "
00:38:00,"-","-","-"," "
