"Sale de Bº 41 VIVIENDAS","Sale de SEMINARIO PARANÁ","SALIDA Barrio AATRA","Pasa por Plaza de Mayo","Pasa por WALMART","Comments"
22,23,9,13,15,
,,"-","-","-"," "
,,"-","-","-"," "
,,05:00:00,05:24:00,05:31:00," "
,,"-","-","-"," "
,,05:25:00,05:51:00,05:58:00," "
"5:39 (1)",,,06:05:00,06:12:00,"Por Av. Estrada"
,,05:52:00,06:18:00,06:25:00,"Entra a Bº Mosconi"
,,06:05:00,06:33:00,06:42:00," "
"6:18 (1)",,,06:48:00,06:57:00," "
,,06:28:00,06:58:00,07:07:00," "
,,06:38:00,07:09:00,07:18:00,"Entra a Bº Mosconi"
,,06:48:00,07:19:00,07:28:00," "
"6:58 (1)",,,07:29:00,07:39:00," "
,,07:07:00,07:38:00,07:48:00," "
,,07:16:00,07:47:00,07:57:00,"Entra a Bº Mosconi"
,"7:26 (3)",,07:57:00,08:07:00,"Por Av. Estrada"
,,07:35:00,08:06:00,08:16:00," "
,,07:44:00,08:15:00,08:25:00," "
,,07:54:00,08:25:00,08:35:00,"Entra a Bº Mosconi"
"8:05 (1)",,,08:36:00,08:46:00," "
,,08:16:00,08:47:00,08:57:00," "
,,08:27:00,08:58:00,09:08:00,"Por Av. Estrada"
,,08:38:00,09:09:00,09:19:00,"Entra a Bº Mosconi"
"8:49 (1)",,,09:20:00,09:30:00," "
,,09:00:00,09:31:00,09:41:00," "
,,09:11:00,09:42:00,09:52:00," "
,,09:22:00,09:53:00,10:03:00,"Entra a Bº Mosconi"
"9:32 (1)",,,10:03:00,10:13:00,"Por Av. Estrada"
,,09:43:00,10:14:00,10:24:00," "
,,09:53:00,10:24:00,10:34:00," "
,,10:04:00,10:35:00,10:45:00,"Entra a Bº Mosconi"
,,10:14:00,10:45:00,10:55:00," "
"10:25 (1)",,,10:56:00,11:06:00,"Por Av. Estrada"
,,10:35:00,11:06:00,11:16:00," "
,,10:46:00,11:17:00,11:27:00,"Entra a Bº Mosconi"
,,10:56:00,11:27:00,11:37:00," "
"11:06 (1)",,,11:37:00,11:47:00," "
,,11:17:00,11:48:00,11:58:00,"Por Av. Estrada"
,,11:28:00,11:59:00,12:09:00,"Entra a Bº Mosconi"
,,11:39:00,12:10:00,12:20:00," "
"11:49 (1)",,,12:20:00,12:30:00," "
,,12:00:00,12:31:00,12:41:00," "
,,12:10:00,12:41:00,12:51:00,"Entra a Bº Mosconi"
,,12:25:00,12:56:00,13:06:00,"Por Av. Estrada"
"12:40 (1)",,,13:11:00,13:21:00," "
,,12:55:00,13:26:00,13:36:00,"Entra a Bº Mosconi"
,,13:10:00,13:41:00,13:51:00," "
,,13:25:00,13:56:00,14:06:00,"Por Av. Estrada"
"13:40 (1)",,,14:11:00,14:21:00,"Entra a Bº Mosconi"
,,13:55:00,14:26:00,14:36:00," "
,,14:10:00,14:41:00,14:51:00," "
"14:25 (1)",,,14:56:00,15:06:00,"Entra a Bº Mosconi"
,,14:40:00,15:11:00,15:21:00,"Por Av. Estrada"
,,14:55:00,15:26:00,15:36:00," "
"15:10 (1)",,,15:41:00,15:51:00," "
,,15:25:00,15:56:00,16:06:00,"Entra a Bº Mosconi"
,,15:40:00,16:11:00,16:21:00,"Por Av. Estrada"
,,15:55:00,16:26:00,16:36:00," "
"16:10 (1)",,,16:41:00,16:51:00,"Entra a Bº Mosconi"
,,16:25:00,16:56:00,17:06:00," "
,,16:37:00,17:08:00,17:18:00,"Por Av. Estrada"
,,16:48:00,17:19:00,17:29:00,"Entra a Bº Mosconi"
"16:59 (1)",,,17:30:00,17:40:00," "
,,17:10:00,17:41:00,17:51:00," "
,,17:20:00,17:51:00,18:01:00," "
,,17:30:00,18:01:00,18:11:00,"Entra a Bº Mosconi"
,,17:40:00,18:11:00,18:21:00,"Por Av. Estrada"
"17:50 (1)",,,18:21:00,18:31:00," "
,,18:00:00,18:31:00,18:41:00," "
,,18:10:00,18:41:00,18:51:00,"Entra a Bº Mosconi"
,,18:21:00,18:52:00,19:02:00," "
"18:32 (1)",,,19:03:00,19:13:00,"Por Av. Estrada"
,,18:43:00,19:14:00,19:24:00," "
,,18:54:00,19:25:00,19:35:00," "
,,19:05:00,19:36:00,19:46:00,"Entra a Bº Mosconi"
,,19:16:00,19:47:00,19:57:00,"Por Av. Estrada"
"19:26 (1)",,,19:57:00,20:07:00," "
,,19:36:00,20:07:00,20:17:00," "
,,19:47:00,20:18:00,20:28:00,"Entra a Bº Mosconi"
,,19:57:00,20:28:00,20:38:00," "
"20:07 (1)",,,20:38:00,20:48:00,"Por Av. Estrada"
,,20:20:00,20:50:00,21:00:00," "
,,20:35:00,21:05:00,21:15:00," "
,,20:50:00,21:20:00,21:30:00,"Entra a Bº Mosconi"
,,21:05:00,21:35:00,21:45:00,"Por Av. Estrada"
"21:20 (1)",,,21:50:00,22:00:00," "
,,21:40:00,22:05:00,22:13:00," "
,,22:00:00,22:25:00,22:33:00,"Entra a Bº Mosconi"
"22:20 (1)",,,22:45:00,22:53:00,"Por Av. Estrada"
,,22:45:00,23:09:00,23:17:00," "
,,23:10:00,23:34:00,23:42:00,"Entra a Bº Mosconi"
"23:35 (1)",,,23:59:00,00:07:00," "
,,00:00:00,00:24:00,00:32:00," "
