"Bajada Grande","WalMart","Cervantes y Cordoba","Barrio 41 Viviendas","Seminario","Barrio AATRA","comments"
16,15,14,22,23,9,
05:00:00,05:10:00,05:16:00,,,05:43:00," "
05:20:00,05:30:00,05:36:00,"6:03 (2)",,,"Entra a Bº Mosconi"
05:40:00,05:52:00,05:58:00,,,06:26:00,"Por Av. Estrada"
05:55:00,06:08:00,06:15:00,"6:43 (2)",,,"Entra a Bº Mosconi"
06:10:00,06:23:00,06:30:00,,,06:58:00,"Por Av. Estrada"
06:24:00,06:37:00,06:44:00,,"7:11 (4)",," "
06:37:00,06:50:00,06:57:00,,,07:26:00," "
06:45:00,06:58:00,07:05:00,,,07:34:00,"Por Av. Estrada"
06:51:00,07:04:00,07:11:00,"7:40 (2)",,,"Entra a Bº Mosconi"
07:06:00,07:19:00,07:26:00,,,07:57:00,"Por Av. Estrada"
07:16:00,07:29:00,07:36:00,,,08:07:00," "
07:30:00,07:43:00,07:50:00,,,08:22:00," "
07:40:00,07:54:00,08:01:00,"8:33 (2)",,,"Entra a Bº Mosconi"
07:51:00,08:05:00,08:12:00,,,08:44:00," "
08:01:00,08:15:00,08:22:00,,,08:55:00," "
08:10:00,08:25:00,08:32:00,,,09:05:00,"Por Av. Estrada"
08:20:00,08:36:00,08:43:00,"9:16 (2)",,,"Entra a Bº Mosconi"
08:29:00,08:45:00,08:52:00,,,09:26:00," "
08:38:00,08:54:00,09:01:00,,,09:35:00," "
08:48:00,09:04:00,09:11:00,,,09:45:00," "
08:59:00,09:15:00,09:22:00,,,09:56:00,"Entra a Bº Mosconi"
09:10:00,09:26:00,09:33:00,"10:07 (2)",,,"Por Av. Estrada"
09:21:00,09:37:00,09:44:00,,,10:18:00," "
09:32:00,09:48:00,09:55:00,,,10:29:00," "
09:43:00,09:59:00,10:06:00,,,10:40:00,"Entra a Bº Mosconi"
09:54:00,10:10:00,10:17:00,"10:51 (2)",,," "
10:05:00,10:21:00,10:28:00,,,11:02:00,"Por Av. Estrada"
10:16:00,10:32:00,10:39:00,,,11:13:00," "
10:26:00,10:42:00,10:49:00,,,11:23:00,"Entra a Bº Mosconi"
10:37:00,10:53:00,11:00:00,"11:34 (2)",,," "
10:47:00,11:03:00,11:10:00,,,11:44:00," "
10:58:00,11:14:00,11:21:00,,,11:55:00,"Por Av. Estrada"
11:08:00,11:24:00,11:31:00,,,12:05:00,"Entra a Bº Mosconi"
11:19:00,11:35:00,11:42:00,,,12:16:00," "
11:29:00,11:45:00,11:52:00,"12:25 (2)",,," "
11:40:00,11:56:00,12:03:00,,,12:36:00,"Por Av. Estrada"
11:50:00,12:05:00,12:12:00,,,12:45:00,"Entra a Bº Mosconi"
12:00:00,12:15:00,12:22:00,,,12:55:00," "
12:11:00,12:26:00,12:33:00,,,13:06:00," "
12:22:00,12:37:00,12:44:00,,,13:16:00," "
12:33:00,12:48:00,12:55:00,"13:25 (2)",,,"Entra a Bº Mosconi"
12:42:00,12:57:00,13:04:00,,,13:34:00,"Por Av. Estrada"
12:53:00,13:08:00,13:15:00,,,13:45:00," "
13:03:00,13:18:00,13:25:00,,,13:55:00,"Entra a Bº Mosconi"
13:18:00,13:33:00,13:40:00,"14:10 (2)",,," "
13:33:00,13:48:00,13:55:00,,,14:25:00,"Por Av. Estrada"
13:48:00,14:03:00,14:10:00,,,14:40:00,"Entra a Bº Mosconi"
14:03:00,14:18:00,14:25:00,"14:55 (2)",,," "
14:18:00,14:33:00,14:40:00,,,15:10:00," "
14:33:00,14:48:00,14:55:00,,,15:25:00,"Entra a Bº Mosconi"
14:48:00,15:03:00,15:10:00,,,15:40:00,"Por Av. Estrada"
15:03:00,15:18:00,15:25:00,"15:55 (2)",,," "
15:18:00,15:33:00,15:40:00,,,16:10:00,"Entra a Bº Mosconi"
15:33:00,15:48:00,15:55:00,,,16:25:00," "
15:48:00,16:03:00,16:10:00,"16:40 (2)",,,"Por Av. Estrada"
16:03:00,16:18:00,16:25:00,,,16:55:00,"Entra a Bº Mosconi"
16:18:00,16:33:00,16:40:00,,,17:12:00," "
16:33:00,16:48:00,16:55:00,"17:28 (2)",,," "
16:48:00,17:03:00,17:10:00,,,17:43:00,"Entra a Bº Mosconi"
17:03:00,17:18:00,17:25:00,,,17:58:00,"Por Av. Estrada"
17:18:00,17:33:00,17:40:00,"18:13 (2)",,," "
17:30:00,17:45:00,17:52:00,,,18:26:00,"Entra a Bº Mosconi"
17:41:00,17:56:00,18:03:00,,,18:37:00," "
17:53:00,18:08:00,18:15:00,,,18:49:00," "
18:04:00,18:20:00,18:27:00,,,19:01:00,"Por Av. Estrada"
18:14:00,18:30:00,18:37:00,"19:11 (2)",,,"Entra a Bº Mosconi"
18:24:00,18:40:00,18:47:00,,,19:21:00," "
18:34:00,18:50:00,18:57:00,,,19:31:00," "
18:44:00,19:00:00,19:07:00,,,19:41:00," "
18:54:00,19:10:00,19:17:00,"19:51 (2)",,,"Entra a Bº Mosconi"
19:04:00,19:20:00,19:27:00,,,20:01:00,"Por Av. Estrada"
19:15:00,19:31:00,19:38:00,,,20:12:00," "
19:26:00,19:42:00,19:49:00,,,20:23:00," "
19:36:00,19:52:00,19:59:00,,,20:33:00,"Por Av. Estrada"
19:48:00,20:04:00,20:11:00,,,20:45:00,"Entra a Bº Mosconi"
19:59:00,20:15:00,20:22:00,"20:56 (2)",,," "
20:10:00,20:26:00,20:33:00,,,21:07:00," "
20:20:00,20:36:00,20:43:00,,,21:17:00," "
20:30:00,20:46:00,20:53:00,,,21:27:00,"Entra a Bº Mosconi"
20:41:00,20:57:00,21:04:00,,,21:38:00,"Por Av. Estrada"
20:51:00,"-","-",,,"-"," "
21:01:00,21:17:00,21:24:00,"21:58 (2)",,," "
21:12:00,21:28:00,21:35:00,,,22:09:00,"Por Av. Estrada"
21:27:00,21:43:00,21:50:00,,,22:24:00,"Entra a Bº Mosconi"
21:42:00,21:58:00,22:05:00,,,22:39:00," "
21:57:00,22:13:00,22:20:00,,,22:54:00," "
22:12:00,"-","-",,,"-"," "
22:22:00,22:38:00,22:45:00,"23:19 (2)",,,"Entra a Bº Mosconi"
22:42:00,22:58:00,23:05:00,,,23:39:00,"Entra a Bº Mosconi"
23:02:00,23:13:00,23:19:00,,,23:45:00," "
23:24:00,23:34:00,23:40:00,,,00:05:00,"Por Av. Estrada"
23:49:00,23:59:00,00:05:00,,,00:30:00," "
00:14:00,"-","-",,,"-"," "
00:39:00,"-","-",,,"-"," "
