BusStop Name (ignored),BusStop ID,Line,Days,Time,Comment,Direction
WalMart,15,5,Sabados,05:31:00,Entra a Barrio Mosconi,Ida
WalMart,15,5,Sabados,06:00:00,Por Av. Estrada,Ida
WalMart,15,5,Sabados,06:28:00,Entra a Barrio Mosconi,Ida
WalMart,15,5,Sabados,06:49:00,,Ida
WalMart,15,5,Sabados,07:10:00,,Ida
WalMart,15,5,Sabados,07:30:00,Entra a Barrio Mosconi,Ida
WalMart,15,5,Sabados,07:45:00,Por Av. Estrada,Ida
WalMart,15,5,Sabados,08:00:00,,Ida
WalMart,15,5,Sabados,08:15:00,,Ida
WalMart,15,5,Sabados,08:30:00,,Ida
WalMart,15,5,Sabados,08:45:00,Entra a Barrio Mosconi,Ida
WalMart,15,5,Sabados,09:00:00,Por Av. Estrada,Ida
WalMart,15,5,Sabados,09:15:00,,Ida
WalMart,15,5,Sabados,09:30:00,,Ida
WalMart,15,5,Sabados,09:45:00,Entra a Barrio Mosconi,Ida
WalMart,15,5,Sabados,10:00:00,Por Av. Estrada,Ida
WalMart,15,5,Sabados,10:15:00,,Ida
WalMart,15,5,Sabados,10:30:00,Entra a Barrio Mosconi,Ida
WalMart,15,5,Sabados,10:45:00,,Ida
WalMart,15,5,Sabados,11:00:00,Por Av. Estrada,Ida
WalMart,15,5,Sabados,11:15:00,,Ida
WalMart,15,5,Sabados,11:30:00,Entra a Barrio Mosconi,Ida
WalMart,15,5,Sabados,11:45:00,,Ida
WalMart,15,5,Sabados,12:00:00,Por Av. Estrada,Ida
WalMart,15,5,Sabados,12:15:00,,Ida
WalMart,15,5,Sabados,12:30:00,Entra a Barrio Mosconi,Ida
WalMart,15,5,Sabados,12:45:00,,Ida
WalMart,15,5,Sabados,12:58:00,,Ida
WalMart,15,5,Sabados,13:21:00,Por Av. Estrada,Ida
WalMart,15,5,Sabados,13:44:00,Entra a Barrio Mosconi,Ida
WalMart,15,5,Sabados,14:07:00,,Ida
WalMart,15,5,Sabados,14:30:00,Por Av. Estrada,Ida
WalMart,15,5,Sabados,14:53:00,,Ida
WalMart,15,5,Sabados,15:16:00,Entra a Barrio Mosconi,Ida
WalMart,15,5,Sabados,15:39:00,Por Av. Estrada,Ida
WalMart,15,5,Sabados,16:02:00,,Ida
WalMart,15,5,Sabados,16:25:00,Entra a Barrio Mosconi,Ida
WalMart,15,5,Sabados,16:48:00,Por Av. Estrada,Ida
WalMart,15,5,Sabados,17:10:00,,Ida
WalMart,15,5,Sabados,17:25:00,,Ida
WalMart,15,5,Sabados,17:40:00,,Ida
WalMart,15,5,Sabados,17:55:00,Entra a Barrio Mosconi,Ida
WalMart,15,5,Sabados,18:10:00,Por Av. Estrada,Ida
WalMart,15,5,Sabados,18:25:00,,Ida
WalMart,15,5,Sabados,18:40:00,Entra a Barrio Mosconi,Ida
WalMart,15,5,Sabados,18:55:00,,Ida
WalMart,15,5,Sabados,19:10:00,,Ida
WalMart,15,5,Sabados,19:25:00,Por Av. Estrada,Ida
WalMart,15,5,Sabados,19:40:00,Entra a Barrio Mosconi,Ida
WalMart,15,5,Sabados,19:55:00,,Ida
WalMart,15,5,Sabados,20:10:00,,Ida
WalMart,15,5,Sabados,20:25:00,,Ida
WalMart,15,5,Sabados,20:40:00,Entra a Barrio Mosconi,Ida
WalMart,15,5,Sabados,20:55:00,Por Av. Estrada,Ida
WalMart,15,5,Sabados,21:10:00,,Ida
WalMart,15,5,Sabados,21:29:00,,Ida
WalMart,15,5,Sabados,21:48:00,Entra a Barrio Mosconi,Ida
WalMart,15,5,Sabados,22:07:00,Por Av. Estrada,Ida
WalMart,15,5,Sabados,22:27:00,,Ida
WalMart,15,5,Sabados,22:47:00,Entra a Barrio Mosconi,Ida
WalMart,15,5,Sabados,23:07:00,,Ida
WalMart,15,5,Sabados,23:32:00,,Ida
WalMart,15,5,Sabados,23:53:00,Por Av. Estrada,Ida
WalMart,15,5,Sabados,00:08:00,Entra a Barrio Mosconi,Ida
WalMart,15,5,Sabados,00:30:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,05:24:00,Entra a Barrio Mosconi,Ida
Plaza 1ro de Mayo,16,5,Sabados,05:53:00,Por Av. Estrada,Ida
Plaza 1ro de Mayo,16,5,Sabados,06:20:00,Entra a Barrio Mosconi,Ida
Plaza 1ro de Mayo,16,5,Sabados,06:40:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,07:00:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,07:20:00,Entra a Barrio Mosconi,Ida
Plaza 1ro de Mayo,16,5,Sabados,07:35:00,Por Av. Estrada,Ida
Plaza 1ro de Mayo,16,5,Sabados,07:50:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,08:05:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,08:20:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,08:35:00,Entra a Barrio Mosconi,Ida
Plaza 1ro de Mayo,16,5,Sabados,08:50:00,Por Av. Estrada,Ida
Plaza 1ro de Mayo,16,5,Sabados,09:05:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,09:20:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,09:35:00,Entra a Barrio Mosconi,Ida
Plaza 1ro de Mayo,16,5,Sabados,09:50:00,Por Av. Estrada,Ida
Plaza 1ro de Mayo,16,5,Sabados,10:05:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,10:20:00,Entra a Barrio Mosconi,Ida
Plaza 1ro de Mayo,16,5,Sabados,10:35:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,10:50:00,Por Av. Estrada,Ida
Plaza 1ro de Mayo,16,5,Sabados,11:05:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,11:20:00,Entra a Barrio Mosconi,Ida
Plaza 1ro de Mayo,16,5,Sabados,11:35:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,11:50:00,Por Av. Estrada,Ida
Plaza 1ro de Mayo,16,5,Sabados,12:05:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,12:20:00,Entra a Barrio Mosconi,Ida
Plaza 1ro de Mayo,16,5,Sabados,12:35:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,12:48:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,13:11:00,Por Av. Estrada,Ida
Plaza 1ro de Mayo,16,5,Sabados,13:34:00,Entra a Barrio Mosconi,Ida
Plaza 1ro de Mayo,16,5,Sabados,13:57:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,14:20:00,Por Av. Estrada,Ida
Plaza 1ro de Mayo,16,5,Sabados,14:43:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,15:06:00,Entra a Barrio Mosconi,Ida
Plaza 1ro de Mayo,16,5,Sabados,15:29:00,Por Av. Estrada,Ida
Plaza 1ro de Mayo,16,5,Sabados,15:52:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,16:15:00,Entra a Barrio Mosconi,Ida
Plaza 1ro de Mayo,16,5,Sabados,16:38:00,Por Av. Estrada,Ida
Plaza 1ro de Mayo,16,5,Sabados,17:00:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,17:15:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,17:30:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,17:45:00,Entra a Barrio Mosconi,Ida
Plaza 1ro de Mayo,16,5,Sabados,18:00:00,Por Av. Estrada,Ida
Plaza 1ro de Mayo,16,5,Sabados,18:15:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,18:30:00,Entra a Barrio Mosconi,Ida
Plaza 1ro de Mayo,16,5,Sabados,18:45:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,19:00:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,19:15:00,Por Av. Estrada,Ida
Plaza 1ro de Mayo,16,5,Sabados,19:30:00,Entra a Barrio Mosconi,Ida
Plaza 1ro de Mayo,16,5,Sabados,19:45:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,20:00:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,20:15:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,20:30:00,Entra a Barrio Mosconi,Ida
Plaza 1ro de Mayo,16,5,Sabados,20:45:00,Por Av. Estrada,Ida
Plaza 1ro de Mayo,16,5,Sabados,21:00:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,21:19:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,21:38:00,Entra a Barrio Mosconi,Ida
Plaza 1ro de Mayo,16,5,Sabados,21:58:00,Por Av. Estrada,Ida
Plaza 1ro de Mayo,16,5,Sabados,22:18:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,22:38:00,Entra a Barrio Mosconi,Ida
Plaza 1ro de Mayo,16,5,Sabados,22:58:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,23:23:00,,Ida
Plaza 1ro de Mayo,16,5,Sabados,23:44:00,Por Av. Estrada,Ida
Plaza 1ro de Mayo,16,5,Sabados,00:01:00,Entra a Barrio Mosconi,Ida
Plaza 1ro de Mayo,16,5,Sabados,00:23:00,,Ida
Barrio AATRA,9,5,Sabados,05:00:00,Entra a Barrio Mosconi,Ida
Barrio AATRA,9,5,Sabados,5:25:00,"Por Av. Estrada,Sale de Barrio 41 Viviendas",Ida
Barrio AATRA,9,5,Sabados,05:50:00,Entra a Barrio Mosconi,Ida
Barrio AATRA,9,5,Sabados,6:10:00,,Ida
Barrio AATRA,9,5,Sabados,06:30:00,,Ida
Barrio AATRA,9,5,Sabados,06:50:00,Entra a Barrio Mosconi,Ida
Barrio AATRA,9,5,Sabados,07:05:00,Por Av. Estrada,Ida
Barrio AATRA,9,5,Sabados,7:20:00,,Ida
Barrio AATRA,9,5,Sabados,07:35:00,,Ida
Barrio AATRA,9,5,Sabados,07:50:00,,Ida
Barrio AATRA,9,5,Sabados,08:05:00,Entra a Barrio Mosconi,Ida
Barrio AATRA,9,5,Sabados,08:20:00,Por Av. Estrada,Ida
Barrio AATRA,9,5,Sabados,8:35:00,,Ida
Barrio AATRA,9,5,Sabados,08:50:00,,Ida
Barrio AATRA,9,5,Sabados,09:05:00,Entra a Barrio Mosconi,Ida
Barrio AATRA,9,5,Sabados,09:20:00,Por Av. Estrada,Ida
Barrio AATRA,9,5,Sabados,09:35:00,,Ida
Barrio AATRA,9,5,Sabados,9:50:00,"Entra a Barrio Mosconi,Sale de Barrio 41 Viviendas",Ida
Barrio AATRA,9,5,Sabados,10:05:00,,Ida
Barrio AATRA,9,5,Sabados,10:20:00,Por Av. Estrada,Ida
Barrio AATRA,9,5,Sabados,10:35:00,,Ida
Barrio AATRA,9,5,Sabados,10:50:00,Entra a Barrio Mosconi,Ida
Barrio AATRA,9,5,Sabados,11:05:00,,Ida
Barrio AATRA,9,5,Sabados,11:20:00,Por Av. Estrada,Ida
Barrio AATRA,9,5,Sabados,11:35:00,,Ida
Barrio AATRA,9,5,Sabados,11:50:00,Entra a Barrio Mosconi,Ida
Barrio AATRA,9,5,Sabados,12:05:00,,Ida
Barrio AATRA,9,5,Sabados,12:19:00,,Ida
Barrio AATRA,9,5,Sabados,12:43:00,"Por Av. Estrada,Sale de Barrio 41 Viviendas",Ida
Barrio AATRA,9,5,Sabados,13:06:00,Entra a Barrio Mosconi,Ida
Barrio AATRA,9,5,Sabados,13:29:00,,Ida
Barrio AATRA,9,5,Sabados,13:52:00,Por Av. Estrada,Ida
Barrio AATRA,9,5,Sabados,14:15:00,,Ida
Barrio AATRA,9,5,Sabados,14:38:00,Entra a Barrio Mosconi,Ida
Barrio AATRA,9,5,Sabados,15:01:00,Por Av. Estrada,Ida
Barrio AATRA,9,5,Sabados,15:24:00,,Ida
Barrio AATRA,9,5,Sabados,15:47:00,"Entra a Barrio Mosconi,Sale de Barrio 41 Viviendas",Ida
Barrio AATRA,9,5,Sabados,16:10:00,Por Av. Estrada,Ida
Barrio AATRA,9,5,Sabados,16:30:00,,Ida
Barrio AATRA,9,5,Sabados,16:45:00,,Ida
Barrio AATRA,9,5,Sabados,17:00:00,,Ida
Barrio AATRA,9,5,Sabados,17:15:00,"Entra a Barrio Mosconi,Sale de Barrio 41 Viviendas",Ida
Barrio AATRA,9,5,Sabados,17:30:00,Por Av. Estrada,Ida
Barrio AATRA,9,5,Sabados,17:45:00,,Ida
Barrio AATRA,9,5,Sabados,18:00:00,"Entra a Barrio Mosconi,Sale de Barrio 41 Viviendas",Ida
Barrio AATRA,9,5,Sabados,18:15:00,,Ida
Barrio AATRA,9,5,Sabados,18:30:00,,Ida
Barrio AATRA,9,5,Sabados,18:45:00,"Por Av. Estrada,Sale de Barrio 41 Viviendas",Ida
Barrio AATRA,9,5,Sabados,19:00:00,Entra a Barrio Mosconi,Ida
Barrio AATRA,9,5,Sabados,19:15:00,,Ida
Barrio AATRA,9,5,Sabados,19:30:00,,Ida
Barrio AATRA,9,5,Sabados,19:45:00,,Ida
Barrio AATRA,9,5,Sabados,20:00:00,Entra a Barrio Mosconi,Ida
Barrio AATRA,9,5,Sabados,20:15:00,"Por Av. Estrada,Sale de Barrio 41 Viviendas",Ida
Barrio AATRA,9,5,Sabados,20:30:00,,Ida
Barrio AATRA,9,5,Sabados,20:50:00,,Ida
Barrio AATRA,9,5,Sabados,21:10:00,Entra a Barrio Mosconi,Ida
Barrio AATRA,9,5,Sabados,21:30:00,"Por Av. Estrada,Sale de Barrio 41 Viviendas",Ida
Barrio AATRA,9,5,Sabados,21:50:00,,Ida
Barrio AATRA,9,5,Sabados,22:10:00,Entra a Barrio Mosconi,Ida
Barrio AATRA,9,5,Sabados,22:30:00,,Ida
Barrio AATRA,9,5,Sabados,22:55:00,,Ida
Barrio AATRA,9,5,Sabados,23:16:00,Por Av. Estrada,Ida
Barrio AATRA,9,5,Sabados,23:38:00,"Entra a Barrio Mosconi,Sale de Barrio 41 Viviendas",Ida
