"Bajada Grande","WalMart","Cervantes y Cordoba","Barrio AATRA","comments"
16,15,14,9,
"05:10:00","05:19:00","05:25:00","5:50 (2)"," "
"05:39:00","05:49:00","05:55:00","06:20:00","Por Av. Estrada"
"06:10:00","06:20:00","06:26:00","06:52:00"," "
"06:38:00","06:51:00","06:57:00","07:24:00","Entra a Bº Mosconi"
"07:00:00","07:13:00","07:20:00","07:50:00"," "
"07:21:00","07:34:00","07:41:00","8:13 (2)","Por Av. Estrada"
"07:41:00","07:54:00","08:01:00","08:33:00","Entra a Bº Mosconi"
"07:56:00","08:10:00","08:17:00","08:50:00"," "
"08:11:00","08:25:00","08:32:00","09:05:00"," "
"08:26:00","08:40:00","08:47:00","09:20:00","Por Av. Estrada"
"08:41:00","08:55:00","09:02:00","9:35 (2)","Entra a Bº Mosconi"
"08:56:00","09:10:00","09:17:00","09:50:00"," "
"09:11:00","09:25:00","09:32:00","10:05:00"," "
"09:26:00","09:40:00","09:47:00","10:20:00","Entra a Bº Mosconi"
"09:41:00","09:55:00","10:02:00","10:35:00","Por Av. Estrada"
"09:56:00","10:10:00","10:17:00","10:50:00"," "
"10:11:00","10:25:00","10:32:00","11:05:00"," "
"10:26:00","10:40:00","10:47:00","11:20 (2)","Entra a Bº Mosconi"
"10:41:00","10:55:00","11:02:00","11:35:00","Por Av. Estrada"
"10:56:00","11:10:00","11:17:00","11:50:00"," "
"11:11:00","11:25:00","11:32:00","12:05:00"," "
"11:26:00","11:40:00","11:47:00","12:20:00","Entra a Bº Mosconi"
"11:41:00","11:55:00","12:02:00","12:35 (2)","Por Av. Estrada"
"11:56:00","12:10:00","12:17:00","12:50:00"," "
"12:11:00","12:25:00","12:32:00","13:05:00"," "
"12:26:00","12:40:00","12:47:00","13:20 (2)","Entra a Bº Mosconi"
"12:45:00","13:00:00","13:07:00","13:40:00","Por Av. Estrada"
"12:56:00","-","-","-"," "
"13:09:00","13:22:00","13:29:00","14:00 (2)"," "
"13:32:00","13:45:00","13:52:00","14:23:00"," "
"13:55:00","14:08:00","14:15:00","14:46:00","Por Av. Estrada"
"14:18:00","14:31:00","14:38:00","15:09:00"," "
"14:41:00","14:54:00","15:01:00","15:32 (2)","Entra a Bº Mosconi"
"15:04:00","15:17:00","15:24:00","15:55:00","Por Av. Estrada"
"15:27:00","15:40:00","15:47:00","16:18:00"," "
"15:50:00","16:03:00","16:10:00","16:41:00"," "
"16:13:00","16:26:00","16:33:00","17:04 (2)","Entra a Bº Mosconi"
"16:36:00","16:49:00","16:56:00","17:27:00","Por Av. Estrada"
"16:59:00","17:13:00","17:20:00","17:51:00"," "
"17:21:00","17:35:00","17:42:00","18:14:00"," "
"17:36:00","17:50:00","17:57:00","18:30 (2)","Entra a Bº Mosconi"
"17:51:00","18:05:00","18:12:00","18:45:00","Por Av. Estrada"
"18:06:00","18:20:00","18:27:00","19:00:00"," "
"18:21:00","18:35:00","18:42:00","19:15:00"," "
"18:36:00","18:50:00","18:57:00","19:30:00","Entra a Bº Mosconi"
"18:51:00","19:05:00","19:12:00","19:45:00"," "
"19:06:00","19:20:00","19:27:00","20:00 (2)","Por Av. Estrada"
"19:21:00","19:35:00","19:42:00","20:15:00"," "
"19:36:00","19:50:00","19:57:00","20:30:00","Entra a Bº Mosconi"
"19:51:00","20:05:00","20:12:00","20:45:00"," "
"20:06:00","20:20:00","20:27:00","21:00:00"," "
"20:21:00","20:35:00","20:42:00","21:15 (2)","Por Av. Estrada"
"20:36:00","20:50:00","20:57:00","21:30:00","Entra a Bº Mosconi"
"20:51:00","21:05:00","21:12:00","21:45:00"," "
"21:06:00","21:20:00","21:27:00","22:00:00"," "
"21:21:00","21:35:00","21:42:00","22:15:00","Por Av. Estrada"
"21:40:00","21:53:00","22:00:00","22:32 (2)","Entra a Bº Mosconi"
"21:59:00","22:12:00","22:19:00","22:50:00"," "
"22:16:00","22:28:00","22:35:00","23:06:00"," "
"22:36:00","22:48:00","22:55:00","23:24 (2)","Entra a Bº Mosconi"
"22:56:00","23:07:00","23:14:00","23:42:00","Por Av. Estrada"
"23:16:00","23:27:00","23:33:00","23:59:00"," "
"23:41:00","23:51:00","23:57:00","00:23:00","Entra a Bº Mosconi"
"00:02:00","00:12:00","00:18:00","00:43:00"," "
"00:16:00","-","-","-"," "
"00:38:00","-","-","-",
