"ORO VERDE","Km. 5 1/2","1º de Mayo","Thompson","Comments"
1,2,3,4,
" "," "," ",06:07:00," "
06:00:00,06:08:00,06:31:00,06:42:00,"por PARACAO"
06:30:00,06:40:00,07:07:00,07:18:00," "
07:00:00,07:10:00,07:37:00,07:48:00,"por PARACAO"
07:22:00,07:32:00,07:59:00,08:10:00," "
07:44:00,07:54:00,08:21:00,08:32:00,"por PARACAO"
08:06:00,08:16:00,08:43:00,08:54:00," "
08:28:00,08:38:00,09:05:00,09:16:00,"por PARACAO"
08:50:00,09:00:00,09:27:00,09:38:00," "
09:12:00,09:22:00,09:49:00,10:00:00,"por PARACAO"
09:34:00,09:44:00,10:11:00,10:22:00," "
09:56:00,10:06:00,10:33:00,10:44:00,"por PARACAO"
10:18:00,10:28:00,10:55:00,11:06:00," "
10:40:00,10:50:00,11:17:00,11:28:00,"por PARACAO"
11:02:00,11:12:00,11:39:00,11:50:00," "
11:24:00,11:34:00,12:01:00,12:12:00,"por PARACAO"
11:46:00,11:56:00,12:23:00,12:34:00," "
12:08:00,12:18:00,12:45:00,12:56:00,"por PARACAO"
12:30:00,12:40:00,13:07:00,13:18:00," "
12:58:00,13:08:00,13:35:00,13:46:00,"por PARACAO"
13:26:00,13:36:00,14:03:00,14:14:00," "
13:54:00,14:04:00,14:31:00,14:42:00,"por PARACAO"
14:22:00,14:32:00,14:59:00,15:10:00," "
14:50:00,15:00:00,15:27:00,15:38:00,"por PARACAO"
15:18:00,15:28:00,15:55:00,16:06:00," "
15:46:00,15:56:00,16:23:00,16:34:00,"por PARACAO"
16:14:00,16:24:00,16:51:00,17:02:00," "
16:42:00,16:52:00,17:19:00,17:30:00,"por PARACAO"
17:04:00,17:14:00,17:41:00,17:52:00," "
17:26:00,17:36:00,18:03:00,18:14:00,"por PARACAO"
17:48:00,17:58:00,18:25:00,18:36:00," "
18:10:00,18:20:00,18:47:00,18:58:00,"por PARACAO"
18:32:00,18:42:00,19:09:00,19:20:00," "
18:54:00,19:04:00,19:31:00,19:42:00,"por PARACAO"
19:16:00,19:26:00,19:53:00,20:04:00," "
19:38:00,19:48:00,20:15:00,20:26:00,"por PARACAO"
20:00:00,20:10:00,20:37:00,20:48:00," "
20:22:00,20:32:00,20:59:00,21:10:00,"por PARACAO"
20:44:00,20:54:00,21:21:00,21:32:00," "
21:06:00,21:16:00,21:43:00,21:54:00,"por PARACAO"
21:28:00,21:38:00,22:05:00,22:16:00," "
21:50:00,22:00:00,22:27:00,22:38:00,"por PARACAO"
22:12:00,22:22:00,22:49:00,23:00:00," "
22:40:00,22:50:00,23:17:00,23:28:00,"por PARACAO"
23:10:00,23:20:00,23:47:00,23:58:00," "
23:35:00,23:43:00,00:04:00,00:14:00,"por PARACAO"
00:00:00,00:08:00,00:29:00,00:39:00," "
