"Thompson","Alvear","Alberdi","Km. 5 1/2","ORO VERDE","Comments"
4,7,8,2,1,
"06:07:00","06:17:00","06:24:00","06:43:00","06:50:00",
"06:42:00","06:52:00","06:59:00","07:18:00","07:25:00",
"07:18:00","07:30:00","07:38:00","07:58:00","08:05:00",
"07:48:00","08:00:00","08:08:00","08:28:00","08:35:00",
"08:10:00","08:22:00","08:30:00","08:50:00","08:57:00",
"08:32:00","08:44:00","08:52:00","09:12:00","09:19:00",
"08:54:00","09:06:00","09:14:00","09:34:00","09:41:00",
"09:16:00","09:28:00","09:36:00","09:56:00","10:03:00",
"09:38:00","09:50:00","09:58:00","10:18:00","10:25:00",
"10:00:00","10:12:00","10:20:00","10:40:00","10:47:00",
"10:22:00","10:34:00","10:42:00","11:02:00","11:09:00",
"10:44:00","10:56:00","11:04:00","11:24:00","11:31:00",
"11:06:00","11:18:00","11:26:00","11:46:00","11:53:00",
"11:28:00","11:40:00","11:48:00","12:08:00","12:15:00",
"11:50:00","12:02:00","12:10:00","12:30:00","12:37:00",
"12:12:00","12:24:00","12:32:00","12:52:00","12:59:00",
"12:34:00","12:46:00","12:54:00","13:14:00","13:21:00",
"12:56:00","13:08:00","13:16:00","13:36:00","13:43:00",
"13:18:00","13:30:00","13:38:00","13:58:00","14:05:00",
"13:46:00","13:58:00","14:06:00","14:26:00","14:33:00",
"14:14:00","14:26:00","14:34:00","14:54:00","15:01:00",
"14:42:00","14:54:00","15:02:00","15:22:00","15:29:00",
"15:10:00","15:22:00","15:30:00","15:50:00","15:57:00",
"15:38:00","15:50:00","15:58:00","16:18:00","16:25:00",
"16:06:00","16:18:00","16:26:00","16:46:00","16:53:00",
"16:34:00","16:46:00","16:54:00","17:14:00","17:21:00",
"17:02:00","17:14:00","17:22:00","17:42:00","17:49:00",
"17:30:00","17:42:00","17:50:00","18:10:00","18:17:00",
"17:52:00","18:04:00","18:12:00","18:32:00","18:39:00",
"18:14:00","18:26:00","18:34:00","18:54:00","19:01:00",
"18:36:00","18:48:00","18:56:00","19:16:00","19:23:00",
"18:58:00","19:10:00","19:18:00","19:38:00","19:45:00",
"19:20:00","19:32:00","19:40:00","20:00:00","20:07:00",
"19:42:00","19:54:00","20:02:00","20:22:00","20:29:00",
"20:04:00","20:16:00","20:24:00","20:44:00","20:51:00",
"20:26:00","20:38:00","20:46:00","21:06:00","21:13:00",
"20:48:00","21:00:00","21:08:00","21:28:00","21:35:00",
"21:10:00","21:22:00","21:30:00","21:50:00","21:57:00",
"21:32:00","21:44:00","21:52:00","22:12:00","22:19:00",
"21:54:00","22:06:00","22:14:00","22:34:00","22:41:00",
"22:16:00","22:28:00","22:36:00","22:56:00","23:03:00",
"22:38:00","22:50:00","22:58:00","23:18:00","23:25:00",
"23:00:00","23:12:00","23:20:00","23:40:00","23:47:00",
"23:28:00","23:38:00","23:45:00","00:03:00","00:10:00",
"23:58:00","00:08:00","00:15:00","00:33:00","00:40:00",
"00:14:00","-","-","-","-",
"00:39:00","-","-","-","-",
