"ORO VERDE","Km. 5 1/2","1º de Mayo","Thompson","Comments"
1,2,3,4,
" "," "," ",05:10:00," "
04:52:00,05:00:00,05:21:00,05:31:00," "
05:12:00,05:20:00,05:41:00,05:51:00,"por PARACAO"
05:30:00,05:38:00,06:00:00,06:10:00," "
05:43:00,05:52:00,06:14:00,06:24:00,"por PARACAO"
05:48:00,05:57:00,06:22:00,06:32:00," "
06:00:00,06:09:00,06:34:00,06:44:00,"por PARACAO"
06:11:00,06:21:00,06:47:00,06:57:00," "
06:22:00,06:32:00,06:58:00,07:08:00,"por PARACAO"
06:33:00,06:44:00,07:12:00,07:23:00," "
06:45:00,06:56:00,07:25:00,07:36:00,"por PARACAO"
06:56:00,07:07:00,07:36:00,07:48:00," "
07:08:00,07:19:00,07:48:00,08:00:00,"por PARACAO"
07:20:00,07:31:00,08:00:00,08:12:00," "
07:31:00,07:42:00,08:11:00,08:23:00,"por PARACAO"
07:43:00,07:54:00,08:23:00,08:35:00," "
07:55:00,08:06:00,08:35:00,08:47:00,"por PARACAO"
08:07:00,08:18:00,08:47:00,08:59:00," "
08:19:00,08:30:00,08:59:00,09:11:00,"por PARACAO"
08:31:00,08:42:00,09:11:00,09:23:00," "
08:42:00,08:53:00,09:22:00,09:34:00,"por PARACAO"
08:54:00,09:05:00,09:34:00,09:46:00," "
09:06:00,09:17:00,09:46:00,09:58:00,"por PARACAO"
09:18:00,09:29:00,09:58:00,10:10:00," "
09:30:00,09:41:00,10:10:00,10:22:00,"por PARACAO"
09:41:00,09:52:00,10:21:00,10:33:00," "
09:53:00,10:04:00,10:33:00,10:45:00,"por PARACAO"
10:05:00,10:16:00,10:45:00,10:57:00," "
10:17:00,10:28:00,10:57:00,11:09:00,"por PARACAO"
10:29:00,10:40:00,11:09:00,11:21:00," "
10:40:00,10:51:00,11:20:00,11:32:00,"por PARACAO"
10:52:00,11:03:00,11:32:00,11:44:00," "
11:04:00,11:15:00,11:44:00,11:56:00,"por PARACAO"
11:16:00,11:27:00,11:56:00,12:08:00," "
11:28:00,11:39:00,12:08:00,12:20:00,"por PARACAO"
11:39:00,11:50:00,12:19:00,12:31:00," "
11:51:00,12:02:00,12:31:00,12:43:00,"por PARACAO"
12:03:00,12:14:00,12:43:00,12:55:00," "
12:15:00,12:26:00,12:55:00,13:07:00,"por PARACAO"
12:27:00,12:38:00,13:07:00,13:19:00," "
12:38:00,12:48:00,13:16:00,13:27:00,"por PARACAO"
12:50:00,13:00:00,13:28:00,13:39:00," "
13:06:00,13:16:00,13:44:00,13:55:00,"por PARACAO"
13:22:00,13:32:00,14:00:00,14:11:00," "
13:38:00,13:48:00,14:16:00,14:27:00,"por PARACAO"
13:54:00,14:04:00,14:32:00,14:43:00," "
14:10:00,14:20:00,14:48:00,14:59:00,"por PARACAO"
14:26:00,14:36:00,15:04:00,15:15:00," "
14:42:00,14:52:00,15:20:00,15:31:00,"por PARACAO"
14:58:00,15:09:00,15:38:00,15:50:00," "
15:14:00,15:25:00,15:54:00,16:06:00,"por PARACAO"
15:30:00,15:41:00,16:10:00,16:22:00," "
15:45:00,15:56:00,16:25:00,16:37:00,"por PARACAO"
16:00:00,16:11:00,16:40:00,16:52:00," "
16:12:00,16:23:00,16:52:00,17:04:00,"por PARACAO"
16:24:00,16:35:00,17:04:00,17:16:00," "
16:36:00,16:47:00,17:16:00,17:28:00,"por PARACAO"
16:47:00,16:58:00,17:27:00,17:39:00," "
16:59:00,17:10:00,17:39:00,17:51:00,"por PARACAO"
17:11:00,17:22:00,17:51:00,18:03:00," "
17:23:00,17:34:00,18:03:00,18:15:00,"por PARACAO"
17:35:00,17:46:00,18:15:00,18:27:00," "
17:46:00,17:57:00,18:26:00,18:38:00,"por PARACAO"
17:58:00,18:09:00,18:38:00,18:50:00," "
18:10:00,18:21:00,18:50:00,19:02:00,"por PARACAO"
18:22:00,18:33:00,19:02:00,19:14:00," "
18:34:00,18:45:00,19:14:00,19:26:00,"por PARACAO"
18:45:00,18:56:00,19:25:00,19:37:00," "
18:57:00,19:08:00,19:37:00,19:49:00,"por PARACAO"
19:09:00,19:20:00,19:49:00,20:01:00," "
19:21:00,19:32:00,20:01:00,20:12:00,"por PARACAO"
19:33:00,19:44:00,20:13:00,20:24:00," "
19:46:00,19:56:00,20:24:00,20:35:00,"por PARACAO"
20:00:00,20:10:00,20:37:00,20:47:00," "
20:20:00,20:30:00,20:57:00,21:07:00,"por PARACAO"
20:39:00,20:49:00,21:16:00,21:26:00," "
21:03:00,21:13:00,21:40:00,21:50:00,"por PARACAO"
21:28:00,21:39:00,22:05:00,22:16:00," "
21:57:00,22:06:00,22:31:00,22:41:00,"por PARACAO"
22:33:00,22:41:00,23:03:00,23:13:00," "
23:05:00,23:13:00,23:35:00,23:45:00,"por PARACAO"
23:35:00,23:43:00,00:04:00,00:14:00," "
00:00:00,00:08:00,00:29:00,00:39:00,"por PARACAO"
