"Thompson","Alvear","Alberdi","Km. 5 1/2","ORO VERDE","Comments"
4,7,8,2,1,
"05:10:00","05:20:00","05:26:00","05:43:00","05:50:00",
"05:31:00","05:41:00","05:47:00","06:05:00","06:12:00",
"05:51:00","06:01:00","06:09:00","06:27:00","06:34:00",
"06:10:00","06:22:00","06:30:00","06:49:00","06:56:00",
"06:24:00","06:36:00","06:44:00","07:04:00","07:11:00",
"06:32:00","06:44:00","06:52:00","07:12:00","07:19:00",
"06:44:00","06:56:00","07:05:00","07:27:00","07:34:00",
"06:57:00","07:09:00","07:18:00","07:40:00","07:47:00",
"07:08:00","07:20:00","07:29:00","07:51:00","07:58:00",
"07:23:00","07:35:00","07:44:00","08:06:00","08:13:00",
"07:36:00","07:48:00","07:57:00","08:19:00","08:26:00",
"07:48:00","08:00:00","08:09:00","08:31:00","08:38:00",
"08:00:00","08:12:00","08:21:00","08:43:00","08:50:00",
"08:12:00","08:24:00","08:33:00","08:55:00","09:02:00",
"08:23:00","08:35:00","08:44:00","09:06:00","09:13:00",
"08:35:00","08:47:00","08:56:00","09:18:00","09:25:00",
"08:47:00","08:59:00","09:08:00","09:30:00","09:37:00",
"08:59:00","09:11:00","09:20:00","09:42:00","09:49:00",
"09:11:00","09:23:00","09:32:00","09:54:00","10:01:00",
"09:23:00","09:35:00","09:44:00","10:06:00","10:13:00",
"09:34:00","09:46:00","09:55:00","10:17:00","10:24:00",
"09:46:00","09:58:00","10:07:00","10:29:00","10:36:00",
"09:58:00","10:10:00","10:19:00","10:41:00","10:48:00",
"10:10:00","10:22:00","10:31:00","10:53:00","11:00:00",
"10:22:00","10:34:00","10:43:00","11:05:00","11:12:00",
"10:33:00","10:45:00","10:54:00","11:16:00","11:23:00",
"10:45:00","10:57:00","11:06:00","11:28:00","11:35:00",
"10:57:00","11:09:00","11:18:00","11:40:00","11:47:00",
"11:09:00","11:21:00","11:30:00","11:52:00","11:59:00",
"11:21:00","11:33:00","11:42:00","12:04:00","12:11:00",
"11:32:00","11:44:00","11:53:00","12:15:00","12:22:00",
"11:44:00","11:56:00","12:05:00","12:27:00","12:34:00",
"11:56:00","12:08:00","12:17:00","12:39:00","12:46:00",
"12:08:00","12:20:00","12:29:00","12:51:00","12:58:00",
"12:20:00","12:32:00","12:41:00","13:03:00","13:10:00",
"12:31:00","12:43:00","12:52:00","13:14:00","13:21:00",
"12:43:00","12:55:00","13:04:00","13:26:00","13:33:00",
"12:55:00","13:07:00","13:16:00","13:38:00","13:45:00",
"13:07:00","13:19:00","13:28:00","13:50:00","13:57:00",
"13:19:00","13:31:00","13:39:00","14:00:00","14:07:00",
"13:27:00","13:39:00","13:47:00","14:08:00","14:15:00",
"13:39:00","13:51:00","13:59:00","14:20:00","14:27:00",
"13:55:00","14:07:00","14:15:00","14:36:00","14:43:00",
"14:11:00","14:23:00","14:31:00","14:52:00","14:59:00",
"14:27:00","14:39:00","14:47:00","15:08:00","15:15:00",
"14:43:00","14:55:00","15:03:00","15:24:00","15:31:00",
"14:59:00","15:11:00","15:19:00","15:40:00","15:47:00",
"15:15:00","15:27:00","15:35:00","15:56:00","16:03:00",
"15:31:00","15:43:00","15:51:00","16:12:00","16:19:00",
"15:50:00","16:02:00","16:10:00","16:31:00","16:38:00",
"16:06:00","16:18:00","16:27:00","16:49:00","16:56:00",
"16:22:00","16:34:00","16:43:00","17:05:00","17:12:00",
"16:37:00","16:49:00","16:58:00","17:20:00","17:27:00",
"16:52:00","17:04:00","17:13:00","17:35:00","17:42:00",
"17:04:00","17:16:00","17:25:00","17:47:00","17:54:00",
"17:16:00","17:28:00","17:37:00","17:59:00","18:06:00",
"17:28:00","17:40:00","17:49:00","18:11:00","18:18:00",
"17:39:00","17:51:00","18:00:00","18:22:00","18:29:00",
"17:51:00","18:03:00","18:12:00","18:34:00","18:41:00",
"18:03:00","18:15:00","18:24:00","18:46:00","18:53:00",
"18:15:00","18:27:00","18:36:00","18:58:00","19:05:00",
"18:27:00","18:39:00","18:48:00","19:10:00","19:17:00",
"18:38:00","18:50:00","18:59:00","19:21:00","19:28:00",
"18:50:00","19:02:00","19:11:00","19:33:00","19:40:00",
"19:02:00","19:14:00","19:23:00","19:45:00","19:52:00",
"19:14:00","19:26:00","19:35:00","19:57:00","20:04:00",
"19:26:00","19:38:00","19:47:00","20:09:00","20:16:00",
"19:37:00","19:49:00","19:58:00","20:20:00","20:27:00",
"19:49:00","20:01:00","20:10:00","20:32:00","20:39:00",
"20:01:00","20:13:00","20:22:00","20:44:00","20:51:00",
"20:12:00","20:24:00","20:32:00","20:53:00","21:00:00",
"20:24:00","20:36:00","20:44:00","21:05:00","21:12:00",
"20:35:00","20:47:00","20:55:00","21:16:00","21:23:00",
"20:47:00","20:59:00","21:07:00","21:28:00","21:35:00",
"21:07:00","21:19:00","21:27:00","21:48:00","21:55:00",
"21:26:00","21:37:00","21:46:00","22:07:00","22:14:00",
"21:50:00","22:01:00","22:10:00","22:31:00","22:38:00",
"22:16:00","22:27:00","22:35:00","22:54:00","23:01:00",
"22:41:00","22:53:00","23:01:00","23:21:00","23:28:00",
"23:13:00","23:23:00","23:29:00","23:46:00","23:53:00",
"23:45:00","23:55:00","00:01:00","00:18:00","00:25:00",
"00:14:00","-","-","-","-",
"00:39:00","-","-","-","-",
