"ORO VERDE","Km. 5 1/2","1º de Mayo","Thompson","Comments"
1,2,3,4,
" "," "," ",05:10:00," "
04:52:00,05:00:00,05:19:00,05:29:00,"por PARACAO"
05:18:00,05:26:00,05:47:00,05:57:00," "
05:53:00,06:02:00,06:24:00,06:34:00,"por PARACAO"
06:18:00,06:29:00,06:54:00,07:04:00," "
06:40:00,06:51:00,07:18:00,07:29:00,"por PARACAO"
07:00:00,07:11:00,07:38:00,07:49:00," "
07:16:00,07:27:00,07:54:00,08:05:00,"por PARACAO"
07:32:00,07:43:00,08:10:00,08:21:00," "
07:48:00,07:59:00,08:26:00,08:37:00,"por PARACAO"
08:04:00,08:15:00,08:42:00,08:53:00," "
08:20:00,08:31:00,08:58:00,09:09:00,"por PARACAO"
08:36:00,08:47:00,09:14:00,09:25:00," "
08:52:00,09:03:00,09:30:00,09:41:00,"por PARACAO"
09:08:00,09:19:00,09:46:00,09:57:00," "
09:24:00,09:35:00,10:02:00,10:13:00,"por PARACAO"
09:40:00,09:51:00,10:18:00,10:29:00," "
09:56:00,10:07:00,10:34:00,10:45:00,"por PARACAO"
10:12:00,10:23:00,10:50:00,11:01:00," "
10:28:00,10:39:00,11:06:00,11:17:00,"por PARACAO"
10:44:00,10:55:00,11:22:00,11:33:00," "
11:00:00,11:11:00,11:38:00,11:49:00,"por PARACAO"
11:16:00,11:27:00,11:54:00,12:05:00," "
11:32:00,11:43:00,12:10:00,12:21:00,"por PARACAO"
11:48:00,11:59:00,12:26:00,12:37:00," "
12:04:00,12:15:00,12:42:00,12:53:00,"por PARACAO"
12:22:00,12:32:00,12:59:00,13:10:00," "
12:44:00,12:54:00,13:21:00,13:32:00,"por PARACAO"
13:06:00,13:16:00,13:43:00,13:54:00," "
13:28:00,13:38:00,14:05:00,14:16:00,"por PARACAO"
13:50:00,14:00:00,14:27:00,14:38:00," "
14:12:00,14:22:00,14:49:00,15:00:00,"por PARACAO"
14:34:00,14:44:00,15:11:00,15:22:00," "
14:56:00,15:06:00,15:33:00,15:44:00,"por PARACAO"
15:18:00,15:28:00,15:55:00,16:06:00," "
15:40:00,15:50:00,16:17:00,16:28:00,"por PARACAO"
16:02:00,16:12:00,16:39:00,16:50:00," "
16:24:00,16:34:00,17:01:00,17:12:00,"por PARACAO"
16:42:00,16:53:00,17:20:00,17:31:00," "
16:58:00,17:09:00,17:36:00,17:47:00,"por PARACAO"
17:14:00,17:25:00,17:52:00,18:03:00," "
17:30:00,17:41:00,18:08:00,18:19:00,"por PARACAO"
17:46:00,17:57:00,18:24:00,18:35:00," "
18:02:00,18:13:00,18:40:00,18:51:00,"por PARACAO"
18:18:00,18:29:00,18:56:00,19:07:00," "
18:34:00,18:45:00,19:12:00,19:23:00,"por PARACAO"
18:50:00,19:01:00,19:28:00,19:39:00," "
19:06:00,19:17:00,19:44:00,19:55:00,"por PARACAO"
19:22:00,19:33:00,20:00:00,20:11:00," "
19:40:00,19:51:00,20:18:00,20:29:00,"por PARACAO"
19:58:00,20:09:00,20:36:00,20:47:00," "
20:16:00,20:26:00,20:53:00,21:04:00,"por PARACAO"
20:35:00,20:45:00,21:12:00,21:23:00," "
20:55:00,21:05:00,21:32:00,21:43:00,"por PARACAO"
21:15:00,21:25:00,21:52:00,22:03:00," "
21:37:00,21:47:00,22:14:00,22:25:00,"por PARACAO"
21:59:00,22:10:00,22:36:00,22:47:00," "
22:21:00,22:30:00,22:55:00,23:05:00,"por PARACAO"
22:45:00,22:53:00,23:15:00,23:25:00," "
23:10:00,23:18:00,23:40:00,23:50:00,"por PARACAO"
23:35:00,23:43:00,00:04:00,00:14:00," "
00:00:00,00:08:00,00:29:00,00:39:00,"por PARACAO"
