SALIDA,PASA por,PASA por,LLEGADA,LLEGADA,SALIDA,SALIDA,PASA por,PASA por,LLEGADA,,,,,,,,,,,,,,,
desde,Av. Américas,Plaza,a,a,desde,desde,Plaza,Av. Américas,a
"Bº Santa
  Lucía",y Racedo,1º de Mayo,Toma Vieja,Toma Nueva,Toma Nueva,Toma Vieja,Alvear,y Racedo,Bº Santa Lucía
-,-,-,-,-,6:15,,6:36,6:45,6:57 (2)
-,-,-,-,-,,7:04,7:28,7:37,7:47
6:44,6:56,7:04,,7:29,7:33,,7:57,8:06,8:19 (2)
7:08 (1),7:23,7:31,7:56,,,8:00,8:24,8:33,8:44
7:38,7:50,7:58,,8:23,8:27,,8:51,9:00,9:11
8:05,8:17,8:25,8:50,,,8:54,9:18,9:27,9:40 (2)
8:29 (1),8:44,8:52,,9:17,9:21,,9:45,9:54,10:05
8:59,9:11,9:19,9:44,,,9:48,10:12,10:21,10:32
9:26,9:38,9:46,,10:11,10:15,,10:39,10:48,11:01 (2)
9:50 (1),10:05,10:13,10:38,,,10:42,11:06,11:15,11:26
10:20,10:32,10:40,,11:05,11:09,,11:33,11:42,11:53,
10:47,10:59,11:07,11:32,,,11:36,12:00,12:09,12:22 (2)
11:11 (1),11:26,11:34,,11:59,12:03,,12:27,12:36,12:47
11:41,11:53,12:01,12:26,,,12:30,12:54,13:03,13:14
12:08,12:20,12:28,,12:53,12:57,,13:21,13:30,13:43 (2)
12:32 (1),12:47,12:55,13:20,,,13:24,13:48,13:57,14:08
13:02,13:14,13:22,,13:47,13:51,,14:15,14:24,14:35
13:29,13:41,13:49,14:14,,,14:18,14:42,14:51,15:04 (2)
13:53 (1),14:08,14:16,,14:41,14:45,,15:09,15:18,15:29
14:23,14:35,14:43,15:08,,,15:12,15:36,15:45,15:56
14:50,15:02,15:10,,15:35,15:39,,16:03,16:12,16:25 (2),
15:14 (1),15:29,15:37,16:02,,,16:06,16:30,16:39,16:50
15:44,15:56,16:04,,16:29,16:33,,16:57,17:06,17:17
16:11,16:23,16:31,16:56,,,17:00,17:24,17:33,17:46 (2)
16:35 (1),16:50,16:58,,17:23,17:27,,17:51,18:00,18:11
17:05,17:17,17:25,17:50,,,17:54,18:18,18:27,18:38
17:29,17:41,17:49,,18:14,18:21,,18:45,18:54,19:07 (2)
17:56 (1),18:11,18:19,18:44,,,18:48,19:12,19:21,19:32
18:26,18:38,18:46,,19:11,19:15,,19:39,19:48,19:59,
18:53,19:05,19:13,19:38,,,19:42,20:06,20:15,20:28 (2),
19:17 (1),19:32,19:40,,20:05,20:09,,20:33,20:42,20:53,
19:47,19:59,20:07,20:32,,,20:36,21:00,21:09,21:20,
20:14,20:26,20:34,,20:59,21:03,,21:27,21:36,21:49 (2),
20:38 (1),20:53,21:01,21:26,,,21:30,21:54,22:03,22:14,
21:08,21:20,21:28,,21:53,21:57,,22:21,22:30,22:41,
21:35,21:47,21:55,22:20,,,22:24,22:48,22:57,23:10 (2),
22:05 (1),22:20,22:28,,22:53,22:57,,23:21,23:30,23:41,
22:36,22:48,22:56,23:21,,,23:27,23:47,23:55,0:05,
23:07,23:19,23:27,,23:52,0:00,,0:19,0:27,0:36,
23:32 (1),23:45,23:51,0:09,,,-,-,-,-,
0:00,0:11,0:16,,0:34,-,,-,-,-,
