SALIDA,PASA por,PASA por,LLEGADA,LLEGADA,SALIDA,SALIDA,PASA por,PASA por,LLEGADA,,,,,,,,,,,,,,,
desde,Av. Américas,Plaza,a,a,desde,desde,Plaza,Av. Américas,a
"Bº Santa
  Lucía",y Racedo,1º de Mayo,Toma Vieja,Toma Nueva,Toma Nueva,Toma Vieja,Alvear,y Racedo,Bº Santa Lucía
-,-,-,-,-,5:20,,5:42,5:51,6:02 (2)
-,-,-,-,-,5:40,,6:02,6:11,6:22 (2)
5:20,5:30,5:37,5:58,,,6:00,6:24,6:33,6:42
5:37 (1),5:50,5:57,,6:18,6:20,,6:44,6:53,7:02
5:55,6:06,6:13,,6:34,6:39,,7:03,7:12,7:24 (2)
6:07 (1),6:22,6:29,6:52,,,6:57,7:21,7:31,7:42
6:21 (1),6:37,6:44,,7:07,7:15,,7:39,7:49,8:00
6:35 (1),6:51,6:58,,7:21,7:29,,7:53,8:03,8:16 (2)
6:52,7:04,7:12,7:35,,,7:40,8:04,8:14,8:25
7:03 (1),7:19,7:27,,7:53,7:58,,8:22,8:32,8:43
7:20,7:33,7:41,,8:07,8:12,,8:36,8:46,8:57,
7:31 (1),7:47,7:55,8:21,,,8:26,8:50,9:00,9:11
7:48,8:01,8:09,,8:35,8:40,,9:04,9:14,9:27 (2)
8:02,8:15,8:23,,8:49,8:54,,9:18,9:28,9:39
8:16,8:29,8:37,9:03,,,9:08,9:32,9:42,9:53
8:27 (1),8:43,8:51,,9:17,9:22,,9:46,9:56,10:07
8:44,8:57,9:05,,9:31,9:36,,10:00,10:10,10:23 (2)
8:58,9:11,9:19,9:45,,,9:50,10:14,10:24,10:35
9:12,9:25,9:33,,9:59,10:04,,10:28,10:38,10:49
9:26,9:39,9:47,,10:13,10:18,,10:42,10:52,11:03
9:37 (1),9:53,10:01,10:27,,,10:32,10:56,11:06,11:17,
9:54,10:07,10:15,,10:41,10:46,,11:10,11:20,11:33 (2)
10:08,10:21,10:29,,10:55,11:00,,11:24,11:34,11:45
10:22,10:35,10:43,11:09,,,11:14,11:38,11:48,11:59
10:33 (1),10:49,10:57,,11:23,11:28,,11:52,12:02,12:13
10:50,11:03,11:11,,11:37,11:42,,12:06,12:16,12:29 (2)
11:04,11:17,11:25,11:51,,,11:56,12:20,12:30,12:41
11:18,11:31,11:39,,12:05,12:10,,12:34,12:44,12:57 (2)
11:32,11:45,11:53,,12:19,12:24,,12:48,12:58,13:11 (2),
11:43 (1),11:59,12:07,12:33,,,12:38,13:02,13:12,13:23,
12:00,12:13,12:21,,12:47,12:52,,13:16,13:26,13:39 (2),
12:14,12:27,12:35,,13:01,-,,-,-,-,
12:28,12:41,12:49,13:15,,,13:15,13:39,13:49,14:02 (2),
12:39 (1),12:55,13:03,,13:29,13:34,,13:58,14:08,14:21 (2),
12:56,13:09,13:17,,13:43,13:53,,14:17,14:27,14:38,
13:21 (1),13:37,13:45,14:11,,,14:16,14:40,14:50,15:03 (2),
13:52,14:05,14:13,,14:39,14:44,,15:08,15:18,15:29,
14:17 (1),14:33,14:41,,15:07,15:12,,15:36,15:46,15:57,
14:48,15:01,15:09,15:35,,,15:40,16:04,16:14,16:27 (2),
15:13 (1),15:29,15:37,,16:03,16:08,,16:32,16:42,16:53,
15:44,15:57,16:05,,16:31,16:36,,17:00,17:10,17:23 (2),
16:12,16:25,16:33,16:59,,,17:04,17:28,17:38,17:49,
16:26,16:39,16:47,,17:13,17:18,,17:42,17:52,18:03,
16:37 (1),16:53,17:01,,17:27,17:32,,17:56,18:06,18:17,
16:54,17:07,17:15,17:41,,,17:46,18:10,18:20,18:33 (2),
17:08,17:21,17:29,,17:55,18:00,,18:24,18:34,18:45,
17:22,17:35,17:43,,18:09,18:14,,18:38,18:48,18:59,
17:33 (1),17:49,17:57,18:23,,,18:28,18:52,19:02,19:13,
17:50,18:03,18:11,,18:37,18:42,,19:06,19:16,19:29 (2),
18:04,18:17,18:25,,18:51,18:56,,19:20,19:30,19:43 (2),
18:18,18:31,18:39,19:05,,,19:10,19:34,19:44,19:55,
18:32,18:45,18:53,,19:19,19:25,,19:49,19:59,20:12 (2),
18:43 (1),18:59,19:07,,19:33,19:40,,20:04,20:14,20:25,
19:00,19:13,19:21,19:47,,,19:55,20:19,20:29,20:40,
19:14,19:27,19:35,,20:01,20:10,,20:34,20:44,20:57 (2),
19:28,19:41,19:49,,20:15,-,,-,-,-,
19:41 (1),19:56,20:04,20:29,,,20:30,20:53,21:03,21:14,
20:02,20:14,20:22,,20:47,20:53,,21:16,21:26,21:37,
20:17 (1),20:32,20:40,,21:05,-,,-,-,-,
20:38,20:50,20:58,21:23,,,21:23,21:46,21:56,22:09 (2),
20:56,21:08,21:16,,21:41,21:45,,22:08,22:18,22:31 (2),
21:11 (1),21:26,21:34,,21:59,22:00,,22:23,22:33,22:44,
21:32,21:44,21:52,22:17,,,22:20,22:43,22:53,23:04,
21:59,22:11,22:19,,22:44,22:45,,23:06,23:15,23:24,
22:23 (1),22:38,22:46,,23:11,23:11,,23:32,23:41,23:50,
22:50,23:02,23:10,23:35,,,23:35,23:56,0:03,0:12,
23:15,23:27,23:33,,23:55,0:00,,0:21,0:28,0:37,
23:40,23:50,23:56,,0:14,-,,-,-,-,
0:00,0:10,0:16,0:34,,,-,-,-,-,
