SALIDA,PASA por,PASA por,LLEGADA,LLEGADA,SALIDA,SALIDA,PASA por,PASA por,LLEGADA,,,,,,,,,,,,,,,
desde,Av. Américas,Plaza,a,a,desde,desde,Plaza,Av. Américas,a
"Bº Santa
  Lucía",y Racedo,1º de Mayo,Toma Vieja,Toma Nueva,Toma Nueva,Toma Vieja,Alvear,y Racedo,Bº Santa Lucía
-,-,-,-,-,,5:20,5:42,5:51,6:02
-,-,-,-,-,5:45,,6:07,6:16,6:30 (2)
5:20,5:32,5:40,6:05,,,6:06,6:29,6:38,6:49
5:47 (1),6:02,6:10,,6:35,6:38,,7:02,7:11,7:25 (2)
6:15,6:27,6:35,7:00,,,7:04,7:28,7:37,7:48
6:37 (1),6:52,7:00,,7:25,7:29,,7:53,8:02,8:13
7:00,7:12,7:20,7:45,,,7:49,8:13,8:22,8:36 (2)
7:18,7:30,7:38,,8:03,8:07,,8:31,8:40,8:51
7:33 (1),7:48,7:56,8:21,,,8:25,8:49,8:58,9:09
7:54,8:06,8:14,,8:39,8:43,,9:07,9:16,9:30 (2)
8:12,8:24,8:32,8:57,,,9:01,9:25,9:34,9:45,
8:30,8:42,8:50,,9:15,9:19,,9:43,9:52,10:06 (2)
8:45 (1),9:00,9:08,9:33,,,9:37,10:01,10:10,10:21
9:06,9:18,9:26,,9:51,9:55,,10:19,10:28,10:39
9:24,9:36,9:44,10:09,,,10:13,10:37,10:46,11:00 (2)
9:39 (1),9:54,10:02,,10:27,10:31,,10:55,11:04,11:15
10:00,10:12,10:20,10:45,,,10:49,11:13,11:22,11:33
10:15 (1),10:30,10:38,,11:03,11:07,,11:31,11:40,11:51
10:36,10:48,10:56,11:21,,,11:25,11:49,11:58,12:12 (2)
10:54,11:06,11:14,,11:39,11:43,,12:07,12:16,12:27
11:09 (1),11:24,11:32,11:57,,,12:01,12:25,12:34,12:45,
11:30,11:42,11:50,,12:15,12:19,,12:43,12:52,13:03
11:48,12:00,12:08,12:33,,,12:37,13:01,13:10,13:24 (2)
12:06,12:18,12:26,,12:51,12:55,,13:19,13:28,13:39
12:21 (1),12:36,12:44,13:09,,,13:13,13:37,13:46,13:57
12:51,13:03,13:11,,13:36,13:40,,14:04,14:13,14:27 (2)
13:18,13:30,13:38,14:03,,,14:07,14:31,14:40,14:51
13:42 (1),13:57,14:05,,14:30,14:34,,14:58,15:07,15:18
14:12,14:24,14:32,14:57,,,15:01,15:25,15:34,15:48 (2),
14:36 (1),14:51,14:59,,15:24,15:28,,15:52,16:01,16:12,
15:06,15:18,15:26,15:51,,,15:55,16:19,16:28,16:39,
15:33,15:45,15:53,,16:18,16:22,,16:46,16:55,17:09 (2),
15:57 (1),16:12,16:20,16:45,,,16:49,17:13,17:22,17:33,
16:27,16:39,16:47,,17:12,17:16,,17:40,17:49,18:00,
16:54,17:06,17:14,17:39,,,17:43,18:07,18:16,18:30 (2),
17:12,17:24,17:32,,17:57,18:01,,18:25,18:34,18:45,
17:30,17:42,17:50,18:15,,,18:19,18:43,18:52,19:06 (2),
17:45 (1),18:00,18:08,,18:33,18:37,,19:01,19:10,19:21,
18:06,18:18,18:26,18:51,,,18:55,19:19,19:28,19:39,
18:24,18:36,18:44,,19:09,19:13,,19:37,19:46,20:00 (2),
18:39 (1),18:54,19:02,19:27,,,19:31,19:55,20:04,20:15,
19:00,19:12,19:20,,19:45,19:49,,20:13,20:22,20:33,
19:15 (1),19:30,19:38,20:03,,,20:07,20:31,20:40,20:51,
19:36,19:48,19:56,,20:21,20:25,,20:49,20:58,21:12 (2),
19:54,20:06,20:14,20:39,,,20:43,21:07,21:16,21:27,
20:11 (1),20:26,20:34,,20:59,21:03,,21:27,21:36,21:47,
20:34,20:46,20:54,21:19,,,21:23,21:47,21:56,22:07,
20:55,21:07,21:15,,21:40,21:44,,22:08,22:17,22:31 (2),
21:16,21:28,21:36,22:01,,,22:05,22:29,22:38,22:49,
21:40 (1),21:55,22:03,,22:28,22:32,,22:56,23:05,23:18 (2),
22:10,22:22,22:30,22:55,,,23:02,23:25,23:34,23:44,
22:34 (1),22:49,22:57,,23:22,23:31,,23:52,23:59,0:08,
23:08,23:20,23:28,23:53,,,0:00,0:21,0:28,0:37,
23:28 (1),23:44,23:50,,0:08,-,,-,-,-,
0:00,0:10,0:16,0:34,,,-,-,-,-,
