"SALIDA
  Barrio AATRA",Pasa por Plaza de Mayo,Pasa por WALMART,,SALIDA Bajada Grande,,Pasa por WALMART,Pasa por Cervantes y Córdoba,LLEGADA Barrio AATRA
-,-,-,,5:35,,5:45,5:51,6:19 (2)
5:25,5:49,5:56,Entra a Bº Mosconi,6:04,Por Av. Estrada,6:14,6:20,6:48
6:00,6:30,6:37,Por Av. Estrada,6:45,Entra a Bº Mosconi,6:55,7:02,7:30
6:30 (1),7:00,7:07,Entra a Bº Mosconi,7:18,,7:30,7:37,8:06
7:00,7:30,7:39,,7:50,Entra a Bº Mosconi,8:04,8:11,8:41 (2)
7:35,8:05,8:15,Entra a Bº Mosconi,8:26,Por Av. Estrada,8:40,8:47,9:19
8:00,8:30,8:40,Por Av. Estrada,8:51,Entra a Bº Mosconi,9:05,9:12,9:45
8:24,8:54,9:04,Entra a Bº Mosconi,9:15,,9:29,9:36,10:09
8:48,9:18,9:28,,9:39,Entra a Bº Mosconi,9:53,10:00,10:33 (2)
9:12 (1),9:42,9:52,Entra a Bº Mosconi,10:03,Por Av. Estrada,10:17,10:24,10:57,
9:36,10:06,10:16,Por Av. Estrada,10:27,Entra a Bº Mosconi,10:41,10:48,11:21,
10:00,10:30,10:40,Entra a Bº Mosconi,10:51,,11:05,11:12,11:45 (2),
10:24,10:54,11:04,,11:15,Por Av. Estrada,11:29,11:36,12:09,
10:48 (1),11:18,11:28,Entra a Bº Mosconi,11:39,,11:53,12:00,12:33,
11:12,11:42,11:52,Por Av. Estrada,12:03,Entra a Bº Mosconi,12:17,12:24,12:57 (2),
11:36,12:06,12:16,Entra a Bº Mosconi,12:27,,12:41,12:48,13:21,
12:00 (1),12:30,12:40,,12:51,Entra a Bº Mosconi,13:05,13:12,13:45,
12:30,13:00,13:10,Entra a Bº Mosconi,13:21,Por Av. Estrada,13:35,13:42,14:15 (2),
13:00,13:30,13:40,Por Av. Estrada,13:51,Entra a Bº Mosconi,14:05,14:12,14:45,
13:30,14:00,14:10,Entra a Bº Mosconi,14:21,,14:35,14:42,15:15,
14:00 (1),14:30,14:40,,14:51,Entra a Bº Mosconi,15:05,15:12,15:45 (2),
14:30,15:00,15:10,Entra a Bº Mosconi,15:21,Por Av. Estrada,15:35,15:42,16:15,
15:00,15:30,15:40,Por Av. Estrada,15:51,Entra a Bº Mosconi,16:05,16:12,16:45 (2),
15:30,16:00,16:10,Entra a Bº Mosconi,16:21,,16:35,16:42,17:15,
16:00 (1),16:30,16:40,,16:51,Entra a Bº Mosconi,17:05,17:12,17:45,
16:30,17:00,17:10,Entra a Bº Mosconi,17:21,Por Av. Estrada,17:35,17:42,18:15 (2),
16:54 (1),17:24,17:34,Por Av. Estrada,17:45,Entra a Bº Mosconi,17:59,18:06,18:39,
17:18,17:48,17:58,Entra a Bº Mosconi,18:09,,18:23,18:30,19:03,
17:42,18:12,18:22,,18:33,Entra a Bº Mosconi,18:47,18:54,19:27,
18:06,18:36,18:46,Entra a Bº Mosconi,18:57,Por Av. Estrada,19:11,19:18,19:51 (2),
18:30 (1),19:00,19:10,Por Av. Estrada,19:21,Entra a Bº Mosconi,19:35,19:42,20:15,
18:54,19:24,19:34,Entra a Bº Mosconi,19:45,,19:59,20:06,20:39,
19:18,19:48,19:58,,20:09,Entra a Bº Mosconi,20:23,20:30,21:03 (2),
19:42,20:12,20:22,Entra a Bº Mosconi,20:33,Por Av. Estrada,20:47,20:54,21:27,
20:06 (1),20:36,20:46,Por Av. Estrada,20:57,Entra a Bº Mosconi,21:11,21:18,21:51,
20:30,21:00,21:10,Entra a Bº Mosconi,21:21,,21:35,21:42,22:15,
21:00,21:30,21:40,,21:51,Entra a Bº Mosconi,22:05,22:12,22:45 (2),
21:30 (1),22:00,22:10,Entra a Bº Mosconi,22:21,Por Av. Estrada,22:35,22:42,23:15,
22:00,22:30,22:40,Por Av. Estrada,22:51,Entra a Bº Mosconi,23:05,23:12,23:45,
22:30,22:55,23:02,Entra a Bº Mosconi,23:10,,23:24,23:31,0:04,
22:55 (1),23:20,23:27,,23:35,Entra a Bº Mosconi,23:45,23:51,0:16,
23:20,23:45,23:52,Entra a Bº Mosconi,0:00,,0:10,0:16,0:41,
0:00,0:23,0:30,,0:38,,-,-,-,
