"SALIDA
  Barrio AATRA",Pasa por Plaza de Mayo,Pasa por WALMART,,SALIDA Bajada Grande,,Pasa por WALMART,Pasa por Cervantes y Córdoba,LLEGADA Barrio AATRA
-,-,-,,5:10,,5:19,5:25,5:50 (2)
5:00,5:24,5:31,Entra a Bº Mosconi,5:39,Por Av. Estrada,5:49,5:55,6:20
5:25 (1),5:53,6:00,Por Av. Estrada,6:10,,6:20,6:26,6:52
5:50,6:20,6:28,Entra a Bº Mosconi,6:38,Entra a Bº Mosconi,6:51,6:57,7:24
6:10 (1),6:40,6:49,,7:00,,7:13,7:20,7:50
6:30,7:00,7:10,,7:21,Por Av. Estrada,7:34,7:41,8:13 (2)
6:50,7:20,7:30,Entra a Bº Mosconi,7:41,Entra a Bº Mosconi,7:54,8:01,8:33
7:05,7:35,7:45,Por Av. Estrada,7:56,,8:10,8:17,8:50
7:20 (1),7:50,8:00,,8:11,,8:25,8:32,9:05
7:35,8:05,8:15,,8:26,Por Av. Estrada,8:40,8:47,9:20,
7:50,8:20,8:30,,8:41,Entra a Bº Mosconi,8:55,9:02,9:35 (2),
8:05,8:35,8:45,Entra a Bº Mosconi,8:56,,9:10,9:17,9:50,
8:20,8:50,9:00,Por Av. Estrada,9:11,,9:25,9:32,10:05,
8:35 (1),9:05,9:15,,9:26,Entra a Bº Mosconi,9:40,9:47,10:20,
8:50,9:20,9:30,,9:41,Por Av. Estrada,9:55,10:02,10:35,
9:05,9:35,9:45,Entra a Bº Mosconi,9:56,,10:10,10:17,10:50,
9:20,9:50,10:00,Por Av. Estrada,10:11,,10:25,10:32,11:05,
9:35,10:05,10:15,,10:26,Entra a Bº Mosconi,10:40,10:47,11:20 (2),
9:50 (1),10:20,10:30,Entra a Bº Mosconi,10:41,Por Av. Estrada,10:55,11:02,11:35,
10:05,10:35,10:45,,10:56,,11:10,11:17,11:50,
10:20,10:50,11:00,Por Av. Estrada,11:11,,11:25,11:32,12:05,
10:35,11:05,11:15,,11:26,Entra a Bº Mosconi,11:40,11:47,12:20,
10:50,11:20,11:30,Entra a Bº Mosconi,11:41,Por Av. Estrada,11:55,12:02,12:35 (2),
11:05,11:35,11:45,,11:56,,12:10,12:17,12:50,
11:20,11:50,12:00,Por Av. Estrada,12:11,,12:25,12:32,13:05,
11:35 (1),12:05,12:15,,12:26,Entra a Bº Mosconi,12:40,12:47,13:20 (2),
11:50,12:20,12:30,Entra a Bº Mosconi,12:45,Por Av. Estrada,13:00,13:07,13:40,
12:05,12:35,12:45,,12:56,,-,-,-,
12:19,12:48,12:58,,13:09,,13:22,13:29,14:00 (2),
12:43 (1),13:11,13:21,Por Av. Estrada,13:32,,13:45,13:52,14:23,
13:06,13:34,13:44,Entra a Bº Mosconi,13:55,Por Av. Estrada,14:08,14:15,14:46,
13:29,13:57,14:07,,14:18,,14:31,14:38,15:09,
13:52,14:20,14:30,Por Av. Estrada,14:41,Entra a Bº Mosconi,14:54,15:01,15:32 (2),
14:15 (1),14:43,14:53,,15:04,Por Av. Estrada,15:17,15:24,15:55,
14:38,15:06,15:16,Entra a Bº Mosconi,15:27,,15:40,15:47,16:18,
15:01,15:29,15:39,Por Av. Estrada,15:50,,16:03,16:10,16:41,
15:24,15:52,16:02,,16:13,Entra a Bº Mosconi,16:26,16:33,17:04 (2),
15:47 (1),16:15,16:25,Entra a Bº Mosconi,16:36,Por Av. Estrada,16:49,16:56,17:27,
16:10,16:38,16:48,Por Av. Estrada,16:59,,17:13,17:20,17:51,
16:30,17:00,17:10,,17:21,,17:35,17:42,18:14,
16:45,17:15,17:25,,17:36,Entra a Bº Mosconi,17:50,17:57,18:30 (2),
17:00,17:30,17:40,,17:51,Por Av. Estrada,18:05,18:12,18:45,
17:15 (1),17:45,17:55,Entra a Bº Mosconi,18:06,,18:20,18:27,19:00,
17:30,18:00,18:10,Por Av. Estrada,18:21,,18:35,18:42,19:15,
17:45,18:15,18:25,,18:36,Entra a Bº Mosconi,18:50,18:57,19:30,
18:00 (1),18:30,18:40,Entra a Bº Mosconi,18:51,,19:05,19:12,19:45,
18:15,18:45,18:55,,19:06,Por Av. Estrada,19:20,19:27,20:00 (2),
18:30,19:00,19:10,,19:21,,19:35,19:42,20:15,
18:45 (1),19:15,19:25,Por Av. Estrada,19:36,Entra a Bº Mosconi,19:50,19:57,20:30,
19:00,19:30,19:40,Entra a Bº Mosconi,19:51,,20:05,20:12,20:45,
19:15,19:45,19:55,,20:06,,20:20,20:27,21:00,
19:30,20:00,20:10,,20:21,Por Av. Estrada,20:35,20:42,21:15 (2),
19:45,20:15,20:25,,20:36,Entra a Bº Mosconi,20:50,20:57,21:30,
20:00,20:30,20:40,Entra a Bº Mosconi,20:51,,21:05,21:12,21:45,
20:15 (1),20:45,20:55,Por Av. Estrada,21:06,,21:20,21:27,22:00,
20:30,21:00,21:10,,21:21,Por Av. Estrada,21:35,21:42,22:15,
20:50,21:19,21:29,,21:40,Entra a Bº Mosconi,21:53,22:00,22:32 (2),
21:10,21:38,21:48,Entra a Bº Mosconi,21:59,,22:12,22:19,22:50,
21:30 (1),21:58,22:07,Por Av. Estrada,22:16,,22:28,22:35,23:06,
21:50,22:18,22:27,,22:36,Entra a Bº Mosconi,22:48,22:55,23:24 (2),
22:10,22:38,22:47,Entra a Bº Mosconi,22:56,Por Av. Estrada,23:07,23:14,23:42,
22:30,22:58,23:07,,23:16,,23:27,23:33,23:59,
22:55 (1),23:23,23:32,,23:41,Entra a Bº Mosconi,23:51,23:57,0:23,
23:16,23:44,23:53,Por Av. Estrada,0:02,,0:12,0:18,0:43,
23:38 (1),0:01,0:08,Entra a Bº Mosconi,0:16,,-,-,-,
0:00,0:23,0:30,,0:38,,-,-,-,
