SALIDA,PASA por,,PASA por,PASA por,PASA por,PASA por,,PASA por,LLEGADA,,,,,,,,,,,,,,
desde,,,Plaza,Balneario,Plaza,Plaza,,,a
ORO VERDE,Km. 5 1/2,PASA,1º de Mayo,Thompson,Alvear,Alberdi,PASA,Km. 5 1/2,ORO VERDE
,,,,6:07,6:17,6:24,,6:43,6:50
6:00,6:08,por PARACAO,6:31,6:42,6:52,6:59,por PARACAO,7:18,7:25
6:30,6:40,,7:07,7:18,7:30,7:38,,7:58,8:05
7:00,7:10,por PARACAO,7:37,7:48,8:00,8:08,por PARACAO,8:28,8:35
7:22,7:32,,7:59,8:10,8:22,8:30,,8:50,8:57
7:44,7:54,por PARACAO,8:21,8:32,8:44,8:52,por PARACAO,9:12,9:19
8:06,8:16,,8:43,8:54,9:06,9:14,,9:34,9:41
8:28,8:38,por PARACAO,9:05,9:16,9:28,9:36,por PARACAO,9:56,10:03
8:50,9:00,,9:27,9:38,9:50,9:58,,10:18,10:25
9:12,9:22,por PARACAO,9:49,10:00,10:12,10:20,por PARACAO,10:40,10:47
9:34,9:44,,10:11,10:22,10:34,10:42,,11:02,11:09,
9:56,10:06,por PARACAO,10:33,10:44,10:56,11:04,por PARACAO,11:24,11:31
10:18,10:28,,10:55,11:06,11:18,11:26,,11:46,11:53
10:40,10:50,por PARACAO,11:17,11:28,11:40,11:48,por PARACAO,12:08,12:15
11:02,11:12,,11:39,11:50,12:02,12:10,,12:30,12:37
11:24,11:34,por PARACAO,12:01,12:12,12:24,12:32,por PARACAO,12:52,12:59
11:46,11:56,,12:23,12:34,12:46,12:54,,13:14,13:21
12:08,12:18,por PARACAO,12:45,12:56,13:08,13:16,por PARACAO,13:36,13:43
12:30,12:40,,13:07,13:18,13:30,13:38,,13:58,14:05,
12:58,13:08,por PARACAO,13:35,13:46,13:58,14:06,por PARACAO,14:26,14:33,
13:26,13:36,,14:03,14:14,14:26,14:34,,14:54,15:01,
13:54,14:04,por PARACAO,14:31,14:42,14:54,15:02,por PARACAO,15:22,15:29,
14:22,14:32,,14:59,15:10,15:22,15:30,,15:50,15:57,
14:50,15:00,por PARACAO,15:27,15:38,15:50,15:58,por PARACAO,16:18,16:25,
15:18,15:28,,15:55,16:06,16:18,16:26,,16:46,16:53,
15:46,15:56,por PARACAO,16:23,16:34,16:46,16:54,por PARACAO,17:14,17:21,
16:14,16:24,,16:51,17:02,17:14,17:22,,17:42,17:49,
16:42,16:52,por PARACAO,17:19,17:30,17:42,17:50,por PARACAO,18:10,18:17,
17:04,17:14,,17:41,17:52,18:04,18:12,,18:32,18:39,
17:26,17:36,por PARACAO,18:03,18:14,18:26,18:34,por PARACAO,18:54,19:01,
17:48,17:58,,18:25,18:36,18:48,18:56,,19:16,19:23,
18:10,18:20,por PARACAO,18:47,18:58,19:10,19:18,por PARACAO,19:38,19:45,
18:32,18:42,,19:09,19:20,19:32,19:40,,20:00,20:07,
18:54,19:04,por PARACAO,19:31,19:42,19:54,20:02,por PARACAO,20:22,20:29
19:16,19:26,,19:53,20:04,20:16,20:24,,20:44,20:51
19:38,19:48,por PARACAO,20:15,20:26,20:38,20:46,por PARACAO,21:06,21:13
20:00,20:10,,20:37,20:48,21:00,21:08,,21:28,21:35
20:22,20:32,por PARACAO,20:59,21:10,21:22,21:30,por PARACAO,21:50,21:57
20:44,20:54,,21:21,21:32,21:44,21:52,,22:12,22:19,
21:06,21:16,por PARACAO,21:43,21:54,22:06,22:14,por PARACAO,22:34,22:41
21:28,21:38,,22:05,22:16,22:28,22:36,,22:56,23:03
21:50,22:00,por PARACAO,22:27,22:38,22:50,22:58,por PARACAO,23:18,23:25
22:12,22:22,,22:49,23:00,23:12,23:20,,23:40,23:47
22:40,22:50,por PARACAO,23:17,23:28,23:38,23:45,por PARACAO,0:03,0:10
23:10,23:20,,23:47,23:58,0:08,0:15,,0:33,0:40
23:35,23:43,por PARACAO,0:04,0:14,-,-,,-,-
0:00,0:08,,0:29,0:39,-,-,,-,-
