SALIDA,,PASA por,PASA por,PASA por,PASA por,PASA por,PASA por,,LLEGADA,,,,,,,,,,,,,,
desde,,Av. Américas,Plaza,Balneario,Plaza,Plaza,Av. Américas,,a
ORO VERDE,PASA,y Lebenshon,1º de Mayo,Thompson,Alvear,Alberdi,y Racedo,PASA,ORO VERDE
-,,-,-,5:10,5:20,5:27,5:34,,5:55
-,,-,-,5:40,5:50,5:57,6:04,por PARACAO,6:25
5:10,por PARACAO,5:33,5:48,6:02,6:13,6:20,6:28,,6:52
5:23,,5:46,6:01,6:15,6:27,6:34,6:42,por PARACAO,7:06
5:35,por PARACAO,5:59,6:14,6:28,6:40,6:48,6:56,,7:21 (EA)
5:47,,6:12,6:28,6:42,6:54,7:02,7:10,por PARACAO,7:35 (EA)
6:00,por PARACAO,6:25,6:41,6:55,7:07,7:15,7:23,,7:48 (EA)
6:12,,6:37,6:53,7:08,7:20,7:28,7:36,por PARACAO,8:01
6:25,por PARACAO,6:50,7:06,7:21,7:33,7:41,7:49,,8:14
6:37,,7:03,7:19,7:34,7:46,7:54,8:02,por PARACAO,8:27
6:50,por PARACAO,7:16,7:32,7:47,7:59,8:07,8:15,,8:40,
7:02,,7:28,7:44,7:59,8:11,8:19,8:27,por PARACAO,8:52
7:15,por PARACAO,7:41,7:57,8:12,8:24,8:32,8:40,,9:05
7:27,,7:53,8:09,8:24,8:36,8:44,8:52,por PARACAO,9:17
7:40 (EA),por PARACAO,8:06,8:22,8:37,8:49,8:57,9:05,,9:30
7:52 (EA),,8:18,8:34,8:49,9:01,9:09,9:17,por PARACAO,9:42
8:05 (EA),por PARACAO,8:31,8:47,9:02,9:14,9:22,9:30,,9:55
8:17,,8:43,8:59,9:14,9:26,9:34,9:42,por PARACAO,10:07
8:30,por PARACAO,8:56,9:12,9:27,9:39,9:47,9:55,,10:20,
8:42,,9:08,9:24,9:39,9:51,9:59,10:07,por PARACAO,10:32,
8:55,por PARACAO,9:21,9:37,9:52,10:04,10:12,10:20,,10:45,
9:07,,9:33,9:49,10:04,10:16,10:24,10:32,por PARACAO,10:57,
9:20,por PARACAO,9:46,10:02,10:17,10:29,10:37,10:45,,11:10,
9:32,,9:58,10:14,10:29,10:41,10:49,10:57,por PARACAO,11:22,
9:45,por PARACAO,10:11,10:27,10:42,10:54,11:02,11:10,,11:35,
9:57,,10:23,10:39,10:54,11:06,11:14,11:22,por PARACAO,11:47,
10:10,por PARACAO,10:36,10:52,11:07,11:19,11:27,11:35,,12:00,
10:22,,10:48,11:04,11:19,11:31,11:39,11:47,por PARACAO,12:12,
10:35,por PARACAO,11:01,11:17,11:32,11:44,11:52,12:00,,12:25,
10:47,,11:13,11:29,11:44,11:56,12:04,12:12,por PARACAO,12:37,
11:00,por PARACAO,11:26,11:42,11:57,12:09,12:17,12:25,,12:50,
11:12,,11:38,11:54,12:09,12:21,12:29,12:37,por PARACAO,13:02,
11:25,por PARACAO,11:51,12:07,12:22,12:34,12:42,12:50,,13:15,
11:37,,12:03,12:19,12:34,12:46,12:54,13:02,por PARACAO,13:27
11:50,por PARACAO,12:16,12:32,12:47,12:59,13:07,13:15,,13:40
12:02,,12:28,12:44,12:59,13:11,13:19,13:27,por PARACAO,13:52
12:15,por PARACAO,12:41,12:57,13:12,13:24,13:32,13:40,,14:05
12:27,,12:53,13:09,13:24,13:36,13:44,13:52,por PARACAO,14:15
12:40,por PARACAO,13:05,13:21,13:36,13:48,13:55,14:02,,14:25,
12:57,,13:21,13:37,13:52,14:04,14:11,14:18,por PARACAO,14:41
13:14,por PARACAO,13:38,13:54,14:09,14:21,14:28,14:35,,14:58
13:31,,13:55,14:11,14:26,14:38,14:45,14:52,por PARACAO,15:15 (EA)
13:48,por PARACAO,14:12,14:28,14:43,14:55,15:02,15:09,,15:32
14:05,,14:29,14:45,15:00,15:12,15:19,15:26,por PARACAO,15:49
14:22,por PARACAO,14:46,15:02,15:17,15:29,15:36,15:43,,16:06
14:39,,15:03,15:19,15:34,15:46,15:53,16:00,por PARACAO,16:23
14:56,por PARACAO,15:20,15:36,15:51,16:03,16:10,16:17,,16:40,
15:13,,15:37,15:53,16:08,16:20,16:27,16:34,por PARACAO,16:57,
15:30 (EA),por PARACAO,15:54,16:10,16:25,16:37,16:45,16:53,,17:17,
15:47,,16:12,16:28,16:43,16:55,17:03,17:11,por PARACAO,17:35,
16:02,por PARACAO,16:27,16:43,16:58,17:10,17:18,17:26,,17:51,
16:14,,16:40,16:56,17:11,17:23,17:31,17:39,por PARACAO,18:04,
16:27,por PARACAO,16:53,17:09,17:24,17:36,17:44,17:52,,18:17,
16:39,,17:05,17:21,17:36,17:48,17:56,18:04,por PARACAO,18:29,
16:52,por PARACAO,17:18,17:34,17:49,18:01,18:09,18:17,,18:42,
17:04,,17:30,17:46,18:01,18:13,18:21,18:29,por PARACAO,18:54,
17:17,por PARACAO,17:43,17:59,18:14,18:26,18:34,18:42,,19:07,
17:29,,17:55,18:11,18:26,18:38,18:46,18:54,por PARACAO,19:19,
17:42,por PARACAO,18:08,18:24,18:39,18:51,18:59,19:07,,19:32,
17:54,,18:20,18:36,18:51,19:03,19:11,19:19,por PARACAO,19:44,
18:07,por PARACAO,18:33,18:49,19:04,19:16,19:24,19:32,,19:57,
18:19,,18:45,19:01,19:16,19:28,19:36,19:44,por PARACAO,20:09,
18:32,por PARACAO,18:58,19:14,19:29,19:41,19:49,19:57,,20:22,
18:44,,19:10,19:26,19:41,19:53,20:01,20:09,por PARACAO,20:34,
18:57,por PARACAO,19:23,19:39,19:54,20:06,20:14,20:22,,20:47
19:09,,19:35,19:51,20:06,20:18,20:26,20:34,por PARACAO,20:59,
19:24,por PARACAO,19:50,20:06,20:21,20:33,20:41,20:49,,21:14,
19:40,,20:06,20:22,20:37,20:49,20:57,21:05,por PARACAO,21:30,
19:56,por PARACAO,20:22,20:38,20:53,21:05,21:13,21:21,,21:46,
20:12,,20:38,20:54,21:09,21:21,21:29,21:37,por PARACAO,22:02,
20:29,por PARACAO,20:53,21:08,21:23,21:35,21:43,21:51,,22:15,
20:46,,21:09,21:24,21:38,21:50,21:57,22:04,por PARACAO,22:26,
21:05,por PARACAO,21:27,21:41,21:55,22:05,22:12,22:19,,22:40,
21:25,,21:47,22:01,22:15,22:25,22:32,22:39,por PARACAO,23:00,
21:45,por PARACAO,22:07,22:21,22:35,22:45,22:52,22:59,,23:20,
22:05,,22:27,22:41,22:55,23:05,23:12,23:19,por PARACAO,23:40,
22:30,por PARACAO,22:52,23:06,23:20,23:31,23:38,23:45,,0:06,
22:50,,23:12,23:26,23:40,23:51,23:58,0:05,por PARACAO,0:26,
23:10,por PARACAO,23:32,23:46,0:00,0:11,0:18,0:25,,0:46,
23:35,,23:51,0:04,0:17,-,-,-,,-,
0:00,por PARACAO,0:16,0:29,0:42,-,-,-,,-,
